ticker,year,roe
069260,2021,
069260,2022,0.11038733944495342
069260,2023,0.17053136802688687
03473K,2022,0.050875444408768365
03473K,2023,-0.03670872018649288
001080,2021,
001080,2022,0.011724839230522616
001080,2023,-0.017497549746895703
039570,2021,
039570,2022,0.04771598061689575
039570,2023,0.05072192307797535
000140,2021,
000140,2022,0.053982781122176804
000140,2023,0.0016500671239259989
016580,2021,
016580,2022,0.07172574285632877
016580,2023,0.08608792987825083
003650,2021,
003650,2022,0.07281218032881963
003650,2023,0.13890914303927174
005960,2021,
005960,2022,0.0686031843060608
005960,2023,-0.007554295794220559
001045,2022,0.038989320941397725
001045,2023,0.0364209604561911
102460,2021,
102460,2022,0.030002924050819394
102460,2023,0.014437738710102116
003460,2021,
003460,2022,0.008420617714559812
003460,2023,0.014608437986454014
005430,2021,
005430,2022,0.017019708207414976
005430,2023,0.09137808760482184
234080,2021,
234080,2022,0.10661303515570228
234080,2023,0.18779824252088584
002100,2021,
002100,2022,0.11560985312002152
002100,2023,0.0797790324927103
006345,2022,0.014782559732174471
006345,2023,0.1001724183507429
017040,2021,
017040,2022,0.049904676878284746
017040,2023,0.08932088906650382
