date,div_yield
2004-01-20,351.523
2004-02-20,371.4688
2004-03-20,356.3937
2004-04-20,376.4643
2004-05-20,188.7795
2004-06-20,169.3013
2004-07-20,204.0281
2004-08-20,175.9872
2004-09-20,148.5566
2004-10-20,102.5729
2004-11-20,97.6219
2004-12-20,92.5339
2005-01-20,95.786
2005-02-20,120.0089
2005-03-20,116.6201
2005-04-20,129.0425
2005-05-20,140.4763
2005-06-20,132.2417
2005-07-20,100.4945
2005-08-20,96.8797
2005-09-20,92.3013
2005-10-20,97.7132
2005-11-20,5.4394
2005-12-20,5.3183
2006-01-20,5.295
2006-02-20,5.0848
2006-03-20,4.7674
2006-04-20,4.3632
2006-05-20,129.945
2006-06-20,145.7626
2006-07-20,137.0897
2006-08-20,130.983
2006-09-20,85.6822
2006-10-20,78.1104
2006-11-20,4.1451
2006-12-20,3.8136
2007-01-20,3.6301
2007-02-20,3.3695
2007-03-20,3.4903
2007-04-20,2.9083
2007-05-20,2.8024
2007-06-20,2.5705
2007-07-20,2.3783
2007-08-20,3.1648
2007-09-20,2.6595
2007-10-20,2.5965
2007-11-20,2.3544
2007-12-20,2.4892
2008-01-20,2.7342
2008-02-20,2.4481
2008-03-20,2.7781
2008-04-20,2.6584
2008-05-20,2.3365
2008-06-20,2.6698
2008-07-20,2.8706
2008-08-20,3.0818
2008-09-20,3.0979
2008-10-20,4.049
2008-11-20,4.7394
2008-12-20,4.0353
2009-01-20,4.4778
2009-02-20,4.3258
2009-03-20,4.3944
2009-04-20,4.1719
2009-05-20,3.6259
2009-06-20,3.5584
2009-07-20,3.5584
2009-08-20,3.491
2009-09-20,3.2464
2009-10-20,3.0368
2009-11-20,3.0326
2009-12-20,2.9462
2010-01-20,2.54
2010-02-20,3.0939
2010-03-20,3.0845
2010-04-20,3.3043
2010-05-20,3.9325
2010-06-20,3.5025
2010-07-20,3.3713
2010-08-20,3.451
2010-09-20,3.3246
2010-10-20,3.3146
2010-11-20,3.3388
2010-12-20,3.582
2011-01-20,3.4623
2011-02-20,3.1895
2011-03-20,3.1567
2011-04-20,3.3835
2011-05-20,3.5844
2011-06-20,3.6868
2011-07-20,3.8643
2011-08-20,4.6407
2011-09-20,4.0869
2011-10-20,4.3591
2011-11-20,4.0966
2011-12-20,4.1551
2012-01-20,3.5857
