date,ebitda_margin
2004-01-20,6.1056
2004-02-20,9.0802
2004-03-20,26.9434
2004-04-20,33.4603
2004-05-20,32.5572
2004-06-20,18.1482
2004-07-20,17.0951
2004-08-20,17.0951
2004-09-20,17.0951
2004-10-20,17.0951
2004-11-20,17.0951
2004-12-20,17.0951
2005-01-20,17.0951
2005-02-20,17.0951
2005-03-20,31.2799
2005-04-20,28.4626
2005-05-20,28.4626
2005-06-20,21.9288
2005-07-20,21.9288
2005-08-20,21.9288
2005-09-20,25.9417
2005-10-20,26.9775
2005-11-20,26.9775
2005-12-20,26.2499
2006-01-20,26.2499
2006-02-20,26.2499
2006-03-20,26.4359
2006-04-20,28.3736
2006-05-20,27.8755
2006-06-20,27.0792
2006-07-20,27.0792
2006-08-20,27.0792
2006-09-20,25.1652
2006-10-20,25.1238
2006-11-20,25.1703
2006-12-20,24.9558
2007-01-20,24.9575
2007-02-20,24.9563
2007-03-20,25.2884
2007-04-20,24.2836
2007-05-20,24.2787
2007-06-20,22.675
2007-07-20,22.6723
2007-08-20,22.6729
2007-09-20,24.2534
2007-10-20,24.1757
2007-11-20,24.1753
2007-12-20,24.7462
2008-01-20,24.5317
2008-02-20,23.0289
2008-03-20,23.0397
2008-04-20,25.5785
2008-05-20,25.3717
2008-06-20,22.8732
2008-07-20,22.7014
2008-08-20,22.7247
2008-09-20,21.5613
2008-10-20,21.5607
2008-11-20,21.386
2008-12-20,23.472
2009-01-20,23.4832
2009-02-20,23.4804
2009-03-20,22.0378
2009-04-20,21.9125
2009-05-20,23.1127
2009-06-20,22.5983
2009-07-20,22.9089
2009-08-20,22.9797
2009-09-20,21.5741
2009-10-20,21.5753
2009-11-20,21.5753
2009-12-20,20.4631
2010-01-20,20.8702
2010-02-20,20.9105
2010-03-20,21.6536
2010-04-20,18.4524
2010-05-20,18.4321
2010-06-20,18.3434
2010-07-20,18.3359
2010-08-20,18.326
2010-09-20,17.983
2010-10-20,17.983
2010-11-20,18.3228
2010-12-20,18.9076
2011-01-20,18.9076
2011-02-20,18.0597
2011-03-20,18.275
2011-04-20,24.232
2011-05-20,22.9486
2011-06-20,23.6018
2011-07-20,23.5577
2011-08-20,23.5096
2011-09-20,22.7595
2011-10-20,22.7618
2011-11-20,22.7574
2011-12-20,22.1455
2012-01-20,22.1486
2012-02-20,22.1466
2012-03-20,20.2492
2012-04-20,19.6901
2012-05-20,18.7959
2012-06-20,16.7525
2012-07-20,17.0621
2012-08-20,16.9964
2012-09-20,14.7933
2012-10-20,14.7933
2012-11-20,14.8425
2012-12-20,13.7774
2013-01-20,13.7774
2013-02-20,13.7771
2013-03-20,13.7946
2013-04-20,11.0608
2013-05-20,11.0943
2013-06-20,11.6667
2013-07-20,11.5976
2013-08-20,11.6044
2013-09-20,7.0702
2013-10-20,7.0702
2013-11-20,7.0699
2013-12-20,-16.2299
2014-01-20,-16.623
2014-02-20,-16.623
2014-03-20,18.7693
2014-04-20,17.4596
2014-05-20,16.626
2014-06-20,18.2837
2014-07-20,18.2837
2014-08-20,18.2883
2014-09-20,17.6935
2014-10-20,17.6937
2014-11-20,17.5499
2014-12-20,16.5213
2015-01-20,16.5682
2015-02-20,16.5438
2015-03-20,17.2568
2015-04-20,18.6457
2015-05-20,13.9171
2015-06-20,12.4995
2015-07-20,12.4995
2015-08-20,12.4878
2015-09-20,12.4281
2015-10-20,12.4281
2015-11-20,12.3837
2015-12-20,13.9886
2016-01-20,13.9886
2016-02-20,13.9885
2016-03-20,13.8862
2016-04-20,10.5458
2016-05-20,10.5442
2016-06-20,10.468
2016-07-20,10.468
2016-08-20,10.4657
2016-09-20,9.7318
2016-10-20,9.7318
2016-11-20,9.7374
2016-12-20,9.227
2017-01-20,9.227
2017-02-20,9.2269
2017-03-20,9.2269
2017-04-20,17.2966
2017-05-20,17.2589
2017-06-20,18.2218
2017-07-20,18.2198
2017-08-20,18.2064
2017-09-20,18.054
2017-10-20,18.0576
2017-11-20,18.0095
2017-12-20,19.307
2018-01-20,19.275
2018-02-20,19.2714
2018-03-20,19.2714
2018-04-20,19.6831
2018-05-20,19.6632
2018-06-20,19.6362
2018-07-20,19.6362
2018-08-20,19.638
2018-09-20,18.6358
2018-10-20,18.6358
2018-11-20,18.6378
2018-12-20,18.9549
2019-01-20,18.9549
2019-02-20,18.9543
2019-03-20,24.3463
2019-04-20,22.0694
2019-05-20,22.9934
2019-06-20,19.2871
2019-07-20,19.2872
2019-08-20,19.2142
2019-09-20,21.4846
2019-10-20,21.4846
2019-11-20,21.4807
2019-12-20,21.5084
2020-01-20,21.5084
2020-02-20,21.5081
2020-03-20,23.0989
2020-04-20,21.0355
2020-05-20,20.9488
2020-06-20,17.1885
2020-07-20,17.251
2020-08-20,17.2211
2020-09-20,15.9872
2020-10-20,15.9872
2020-11-20,15.8432
2020-12-20,16.5708
2021-01-20,16.5708
2021-02-20,16.5708
2021-03-20,16.5708
2021-04-20,21.5594
2021-05-20,21.5592
2021-06-20,25.8669
2021-07-20,25.8669
2021-08-20,25.8669
2021-09-20,28.5056
2021-10-20,28.5056
2021-11-20,28.5056
2021-12-20,29.8024
2022-01-20,29.8024
2022-02-20,29.8024
2022-03-20,27.8623
2022-04-20,29.2473
2022-05-20,29.4408
2022-06-20,23.9141
2022-07-20,23.9141
2022-08-20,23.964
2022-09-20,21.8026
2022-10-20,21.8026
2022-11-20,21.2475
2022-12-20,28.1568
2023-01-20,28.1568
2023-02-20,27.7434
2023-03-20,27.0989
2023-04-20,25.0817
2023-05-20,24.4746
2023-06-20,24.5277
2023-07-20,24.3647
2023-08-20,24.0052
2023-09-20,22.805
2023-10-20,22.8071
2023-11-20,22.4457
2023-12-20,22.3045
2024-01-20,22.348
2024-02-20,21.9552
2024-03-20,21.9552
2024-04-20,22.2654
2024-05-20,22.3228
2024-06-20,22.4738
2024-07-20,22.2663
2024-08-20,21.8288
2024-09-20,22.5876
2024-10-20,22.5876
2024-11-20,22.1316
2024-12-20,24.309
2025-01-20,24.309
2025-02-20,23.8333
2025-03-20,22.5626
2025-04-20,22.1083
2025-05-20,21.6336
2025-06-20,21.4066
2025-07-20,21.3208
2025-08-20,21.4145
2025-09-20,22.5487
2025-10-20,22.5487
2025-11-20,22.5527
2025-12-20,20.4445
2026-01-20,20.4445
2026-02-20,20.4506
2026-03-20,20.4506
2026-04-20,20.187
