date,ev_ebitda
2004-01-20,54.4679
2004-02-20,36.6248
2004-03-20,12.3429
2004-04-20,14.6183
2004-05-20,13.8557
2004-06-20,13.5913
2004-07-20,13.0289
2004-08-20,13.0289
2004-09-20,13.0289
2004-10-20,13.0289
2004-11-20,13.0289
2004-12-20,13.0289
2005-01-20,13.0289
2005-02-20,13.0289
2005-03-20,6.6702
2005-04-20,6.2459
2005-05-20,6.2459
2005-06-20,8.6532
2005-07-20,8.6532
2005-08-20,8.6532
2005-09-20,5.5355
2005-10-20,4.9565
2005-11-20,4.9565
2005-12-20,5.6605
2006-01-20,5.6605
2006-02-20,5.6605
2006-03-20,5.6188
2006-04-20,5.2523
2006-05-20,5.3179
2006-06-20,5.8584
2006-07-20,5.8584
2006-08-20,5.8584
2006-09-20,6.1055
2006-10-20,6.1035
2006-11-20,6.0832
2006-12-20,6.1429
2007-01-20,6.1424
2007-02-20,6.1433
2007-03-20,6.0626
2007-04-20,7.2575
2007-05-20,7.265
2007-06-20,7.7726
2007-07-20,7.7823
2007-08-20,7.7814
2007-09-20,7.7404
2007-10-20,7.7763
2007-11-20,7.7764
2007-12-20,7.7571
2008-01-20,7.8438
2008-02-20,8.4419
2008-03-20,8.4379
2008-04-20,7.4439
2008-05-20,7.3306
2008-06-20,7.43
2008-07-20,7.4861
2008-08-20,7.4908
2008-09-20,7.8511
2008-10-20,7.8632
2008-11-20,7.8673
2008-12-20,5.5054
2009-01-20,5.5129
2009-02-20,5.5136
2009-03-20,5.9251
2009-04-20,4.6539
2009-05-20,4.4369
2009-06-20,4.7078
2009-07-20,4.6556
2009-08-20,4.6185
2009-09-20,6.0906
2009-10-20,6.0902
2009-11-20,6.0902
2009-12-20,8.2241
2010-01-20,8.064
2010-02-20,8.0623
2010-03-20,7.7333
2010-04-20,9.5331
2010-05-20,9.5986
2010-06-20,10.2883
2010-07-20,10.2897
2010-08-20,10.3456
2010-09-20,8.4088
2010-10-20,8.4088
2010-11-20,8.277
2010-12-20,8.6712
2011-01-20,8.6574
2011-02-20,9.4728
2011-03-20,9.4587
2011-04-20,7.8577
2011-05-20,8.0802
2011-06-20,7.371
2011-07-20,7.3651
2011-08-20,7.4622
2011-09-20,6.998
2011-10-20,6.9973
2011-11-20,7.0013
2011-12-20,6.2857
2012-01-20,6.2849
2012-02-20,6.2715
2012-03-20,6.7918
2012-04-20,7.5352
2012-05-20,7.9159
2012-06-20,9.3974
2012-07-20,9.2271
2012-08-20,9.2611
2012-09-20,9.7614
2012-10-20,9.7614
2012-11-20,9.7266
2012-12-20,11.683
2013-01-20,11.683
2013-02-20,11.6833
2013-03-20,11.6715
2013-04-20,15.0021
2013-05-20,15.0169
2013-06-20,13.2973
2013-07-20,13.2583
2013-08-20,13.2834
