date,oper_margin
2004-01-20,21.0093
2004-02-20,21.0093
2004-03-20,21.0093
2004-04-20,23.3967
2004-05-20,22.8318
2004-06-20,18.5627
2004-07-20,17.4164
2004-08-20,17.4164
2004-09-20,16.5637
2004-10-20,16.6116
2004-11-20,16.6116
2004-12-20,20.7064
2005-01-20,20.7064
2005-02-20,20.7064
2005-03-20,20.7062
2005-04-20,19.6729
2005-05-20,19.6729
2005-06-20,22.5548
2005-07-20,22.5548
2005-08-20,22.5548
2005-09-20,23.1127
2005-10-20,23.1621
2005-11-20,23.1621
2005-12-20,21.332
2006-01-20,21.332
2006-02-20,21.332
2006-03-20,21.4271
2006-04-20,19.8313
2006-05-20,19.5039
2006-06-20,18.6802
2006-07-20,18.6802
2006-08-20,18.6803
2006-09-20,16.7742
2006-10-20,16.8965
2006-11-20,16.9461
2006-12-20,16.127
2007-01-20,16.127
2007-02-20,16.1259
2007-03-20,16.1023
2007-04-20,15.8404
2007-05-20,15.84
2007-06-20,15.102
2007-07-20,14.9893
2007-08-20,14.9893
2007-09-20,15.6896
2007-10-20,15.5412
2007-11-20,15.5412
2007-12-20,16.3664
2008-01-20,16.0933
2008-02-20,14.6622
2008-03-20,14.6601
2008-04-20,17.3374
2008-05-20,17.1214
2008-06-20,11.4465
2008-07-20,11.3211
2008-08-20,11.332
2008-09-20,11.8877
2008-10-20,11.8905
2008-11-20,11.81
2008-12-20,13.5331
2009-01-20,13.5384
2009-02-20,13.5385
2009-03-20,11.8983
2009-04-20,14.6477
2009-05-20,15.7065
2009-06-20,15.5727
2009-07-20,15.8234
2009-08-20,15.8722
2009-09-20,14.1231
2009-10-20,14.1231
2009-11-20,14.1231
2009-12-20,14.0215
2010-01-20,14.0184
2010-02-20,14.5004
2010-03-20,14.1662
2010-04-20,11.858
2010-05-20,11.8467
2010-06-20,12.4235
2010-07-20,12.455
2010-08-20,12.4531
2010-09-20,13.8319
2010-10-20,13.8319
2010-11-20,13.8628
2010-12-20,14.0439
2011-01-20,14.0439
2011-02-20,13.5705
2011-03-20,13.7602
2011-04-20,16.8297
2011-05-20,16.3934
2011-06-20,17.1341
2011-07-20,17.231
2011-08-20,17.2663
2011-09-20,16.9904
2011-10-20,16.9903
2011-11-20,16.9886
2011-12-20,15.9387
2012-01-20,15.9387
2012-02-20,15.9404
2012-03-20,14.3435
2012-04-20,14.1208
2012-05-20,13.4892
2012-06-20,11.8979
2012-07-20,12.0447
2012-08-20,11.9786
2012-09-20,10.0369
2012-10-20,10.0369
2012-11-20,10.0799
2012-12-20,8.9824
2013-01-20,8.9824
2013-02-20,8.9824
2013-03-20,9.0062
2013-04-20,6.5799
2013-05-20,6.5938
2013-06-20,4.8793
2013-07-20,4.8931
2013-08-20,4.891
2013-09-20,0.4413
2013-10-20,0.4413
2013-11-20,0.4326
2013-12-20,-19.7541
2014-01-20,-20.0842
2014-02-20,-20.0842
2014-03-20,12.0024
2014-04-20,10.8015
2014-05-20,10.1442
2014-06-20,12.1422
2014-07-20,12.1422
2014-08-20,12.145
2014-09-20,12.4852
2014-10-20,12.4836
2014-11-20,12.3676
2014-12-20,11.3847
2015-01-20,11.39
2015-02-20,11.6188
2015-03-20,12.0344
2015-04-20,12.2972
2015-05-20,8.8623
2015-06-20,7.8197
2015-07-20,7.8194
2015-08-20,7.8086
2015-09-20,8.0494
2015-10-20,8.0504
2015-11-20,8.0327
2015-12-20,7.3106
2016-01-20,7.3099
2016-02-20,7.3099
2016-03-20,7.2975
2016-04-20,3.8389
2016-05-20,3.8443
2016-06-20,4.2968
2016-07-20,4.2968
2016-08-20,4.2988
2016-09-20,4.1088
2016-10-20,4.1088
2016-11-20,4.1495
2016-12-20,4.8358
2017-01-20,4.8358
2017-02-20,4.8358
2017-03-20,4.8358
2017-04-20,10.9965
2017-05-20,10.9878
