date,pb
2004-01-20,9.0415
2004-02-20,8.885
2004-03-20,8.8458
2004-04-20,9.5
2004-05-20,7.9007
2004-06-20,5.5444
2004-07-20,5.9663
2004-08-20,6.3014
2004-09-20,5.5144
2004-10-20,5.6107
2004-11-20,5.5641
2004-12-20,3.8865
2005-01-20,4.0517
2005-02-20,3.7663
2005-03-20,4.3522
2005-04-20,3.5394
2005-05-20,3.3044
2005-06-20,3.2369
2005-07-20,3.2169
2005-08-20,3.3442
2005-09-20,2.7713
2005-10-20,3.1046
2005-11-20,2.9679
2005-12-20,2.8358
2006-01-20,2.9725
2006-02-20,3.4103
2006-03-20,3.4305
2006-04-20,3.2727
2006-05-20,3.4859
2006-06-20,2.8301
2006-07-20,2.8379
2006-08-20,2.8725
2006-09-20,2.8394
2006-10-20,2.8507
2006-11-20,3.0708
2006-12-20,3.0732
2007-01-20,3.2595
2007-02-20,3.2718
2007-03-20,3.2169
2007-04-20,3.1871
2007-05-20,3.4103
2007-06-20,3.4344
2007-07-20,3.5731
2007-08-20,3.5574
2007-09-20,2.7886
2007-10-20,3.0857
2007-11-20,3.3334
2007-12-20,2.4882
2008-01-20,2.5222
2008-02-20,2.3765
2008-03-20,2.5363
2008-04-20,2.36
2008-05-20,2.5451
2008-06-20,2.5935
2008-07-20,2.3385
2008-08-20,2.1433
2008-09-20,1.9293
2008-10-20,1.717
2008-11-20,1.2883
2008-12-20,1.3358
2009-01-20,1.365
2009-02-20,1.4286
2009-03-20,1.388
2009-04-20,1.5431
2009-05-20,1.7953
2009-06-20,1.9504
2009-07-20,1.8884
2009-08-20,2.0257
2009-09-20,1.9633
2009-10-20,2.1381
2009-11-20,2.139
2009-12-20,2.1905
2010-01-20,2.2409
2010-02-20,2.1382
2010-03-20,2.1742
2010-04-20,2.0306
2010-05-20,1.9723
2010-06-20,1.7557
2010-07-20,1.6981
2010-08-20,1.8906
2010-09-20,1.8194
2010-10-20,1.9391
2010-11-20,1.9987
2010-12-20,1.6523
2011-01-20,1.6935
2011-02-20,1.7732
2011-03-20,1.8198
2011-04-20,1.6419
2011-05-20,1.5923
2011-06-20,1.5576
2011-07-20,1.4946
2011-08-20,1.4321
2011-09-20,1.3204
2011-10-20,1.2229
2011-11-20,1.3647
2011-12-20,1.2676
2012-01-20,1.2649
2012-02-20,1.4175
2012-03-20,1.479
2012-04-20,1.4084
2012-05-20,1.3575
2012-06-20,1.1526
2012-07-20,1.1491
2012-08-20,1.1854
2012-09-20,1.1406
2012-10-20,1.1829
2012-11-20,1.1466
2012-12-20,1.1736
2013-01-20,1.2446
2013-02-20,1.2202
2013-03-20,1.1725
2013-04-20,1.1688
2013-05-20,1.1718
2013-06-20,1.0936
2013-07-20,0.9696
2013-08-20,0.9865
2013-09-20,0.9813
2013-10-20,1.0269
2013-11-20,1.0643
2013-12-20,1.0917
2014-01-20,1.0744
2014-02-20,0.9937
2014-03-20,0.896
2014-04-20,1.0197
2014-05-20,1.0466
2014-06-20,1.1758
2014-07-20,1.2201
2014-08-20,1.2815
2014-09-20,1.5443
2014-10-20,1.3636
2014-11-20,1.3782
2014-12-20,1.3737
2015-01-20,1.2553
2015-02-20,1.1738
2015-03-20,1.2952
2015-04-20,1.2748
2015-05-20,1.4432
2015-06-20,1.2962
2015-07-20,1.3041
2015-08-20,1.2452
2015-09-20,1.1306
2015-10-20,1.0926
2015-11-20,1.1119
2015-12-20,1.0632
2016-01-20,1.0215
2016-02-20,0.9521
2016-03-20,1.0084
2016-04-20,1.2738
2016-05-20,1.3708
2016-06-20,1.2198
2016-07-20,1.2967
2016-08-20,1.4411
2016-09-20,1.4787
2016-10-20,1.4906
2016-11-20,1.6572
2016-12-20,1.5685
2017-01-20,1.526
2017-02-20,1.6386
2017-03-20,1.689
2017-04-20,1.6441
2017-05-20,1.6444
2017-06-20,1.5198
2017-07-20,1.5243
2017-08-20,1.5975
2017-09-20,1.6702
2017-10-20,1.7518
2017-11-20,1.7541
2017-12-20,1.6587
2018-01-20,1.7608
2018-02-20,1.957
2018-03-20,1.9672
2018-04-20,1.928
2018-05-20,1.9454
2018-06-20,1.693
2018-07-20,1.605
2018-08-20,1.7474
2018-09-20,1.6965
2018-10-20,1.7554
2018-11-20,1.9342
2018-12-20,1.9016
2019-01-20,1.8672
2019-02-20,2.0692
2019-03-20,1.932
2019-04-20,1.9109
2019-05-20,2.0047
2019-06-20,2.0054
2019-07-20,2.0868
2019-08-20,2.1042
2019-09-20,2.0493
2019-10-20,2.1224
2019-11-20,2.1726
2019-12-20,2.1681
2020-01-20,2.3166
