date,pe
2004-01-20,32.4373
2004-02-20,31.8758
2004-03-20,31.7352
2004-04-20,31.3344
2004-05-20,26.609
2004-06-20,17.6857
2004-07-20,17.9213
2004-08-20,18.928
2004-09-20,0.6504
2004-10-20,0.6683
2004-11-20,0.6627
2004-12-20,0.6408
2005-01-20,0.668
2005-02-20,0.6209
2005-03-20,0.7211
2005-04-20,14.6853
2005-05-20,13.7102
2005-06-20,10.9939
2005-07-20,10.926
2005-08-20,11.3582
2005-09-20,9.5843
2005-10-20,10.4691
2005-11-20,10.0082
2005-12-20,10.5099
2006-01-20,11.0168
2006-02-20,12.6391
2006-03-20,12.5159
2006-04-20,12.6457
2006-05-20,13.4106
2006-06-20,11.7958
2006-07-20,11.8283
2006-08-20,11.9725
2006-09-20,12.6687
2006-10-20,12.7182
2006-11-20,13.6175
2006-12-20,14.3466
2007-01-20,15.2163
2007-02-20,15.2772
2007-03-20,15.0208
2007-04-20,15.2117
2007-05-20,16.2645
2007-06-20,16.7253
2007-07-20,17.3816
2007-08-20,17.3141
2007-09-20,14.5302
2007-10-20,16.0399
2007-11-20,17.3108
2007-12-20,14.6141
2008-01-20,14.8025
2008-02-20,15.3742
2008-03-20,16.3845
2008-04-20,13.5118
2008-05-20,14.8311
2008-06-20,17.6724
2008-07-20,15.849
2008-08-20,14.5185
2008-09-20,13.2982
2008-10-20,12.0704
2008-11-20,9.0707
2008-12-20,9.0122
2009-01-20,9.3642
2009-02-20,9.8024
2009-03-20,9.2425
2009-04-20,12.3879
2009-05-20,14.3814
2009-06-20,19.7676
2009-07-20,19.0617
2009-08-20,19.9368
2009-09-20,19.7972
2009-10-20,21.5595
2009-11-20,21.5686
2009-12-20,19.5327
2010-01-20,19.9919
2010-02-20,19.0218
2010-03-20,18.6155
2010-04-20,15.1938
2010-05-20,14.6243
2010-06-20,13.5758
2010-07-20,13.1223
2010-08-20,14.5669
2010-09-20,13.745
2010-10-20,14.649
2010-11-20,14.9808
2010-12-20,13.6252
2011-01-20,13.9471
2011-02-20,14.5134
2011-03-20,14.6463
2011-04-20,12.4908
2011-05-20,12.111
2011-06-20,11.4569
2011-07-20,11.0222
2011-08-20,10.4551
2011-09-20,9.6158
2011-10-20,8.9126
2011-11-20,9.9496
2011-12-20,11.0144
2012-01-20,10.9943
2012-02-20,12.222
2012-03-20,13.1244
2012-04-20,13.8794
2012-05-20,14.0641
2012-06-20,13.0549
2012-07-20,13.2876
2012-08-20,13.7192
2012-09-20,18.2713
2012-10-20,18.9483
2012-11-20,18.1211
2012-12-20,22.2567
2013-01-20,23.6051
2013-02-20,23.1856
2013-03-20,22.3265
2013-04-20,37.7692
2013-05-20,36.839
2013-06-20,62.1694
2013-07-20,54.8012
2013-08-20,55.3339
2013-09-20,55.3339
2013-10-20,55.3339
2013-11-20,55.3339
2013-12-20,55.3339
2014-01-20,55.3339
2014-02-20,55.3339
2014-03-20,16.3689
2014-04-20,23.2667
2014-05-20,27.4041
2014-06-20,17.8844
2014-07-20,18.5576
2014-08-20,19.498
2014-09-20,17.5025
2014-10-20,15.386
2014-11-20,15.8431
2014-12-20,17.5554
2015-01-20,16.0423
2015-02-20,15.0531
2015-03-20,16.5535
2015-04-20,14.392
2015-05-20,16.9486
2015-06-20,19.4745
2015-07-20,19.5928
2015-08-20,18.8439
2015-09-20,16.4519
2015-10-20,15.8992
2015-11-20,16.2836
2015-12-20,16.7087
2016-01-20,16.0531
2016-02-20,14.9632
2016-03-20,15.8129
2016-04-20,18.6755
2016-05-20,20.0732
2016-06-20,16.8226
2016-07-20,17.8829
2016-08-20,19.8813
2016-09-20,18.0802
2016-10-20,18.2257
2016-11-20,20.1429
2016-12-20,18.313
2017-01-20,17.8163
2017-02-20,19.1307
2017-03-20,19.7198
2017-04-20,14.9608
2017-05-20,15.139
2017-06-20,14.0757
2017-07-20,14.1169
2017-08-20,14.6549
2017-09-20,18.6549
2017-10-20,19.5658
2017-11-20,19.4892
2017-12-20,17.0573
2018-01-20,18.2372
2018-02-20,20.2686
2018-03-20,20.3739
2018-04-20,18.9107
2018-05-20,19.0399
2018-06-20,16.7182
2018-07-20,15.8489
2018-08-20,17.2555
2018-09-20,15.7515
2018-10-20,16.2989
2018-11-20,17.959
2018-12-20,17.5719
2019-01-20,17.2545
2019-02-20,19.1208
2019-03-20,14.5199
2019-04-20,14.1299
2019-05-20,15.1297
2019-06-20,15.1704
2019-07-20,15.7859
2019-08-20,15.918
2019-09-20,14.4559
2019-10-20,14.972
2019-11-20,15.3257
2019-12-20,15.9082
2020-01-20,16.9976
2020-02-20,16.7206
2020-03-20,15.4709
2020-04-20,11.3408
2020-05-20,12.5887
2020-06-20,19.3889
2020-07-20,21.2907
2020-08-20,23.1537
2020-09-20,26.2557
2020-10-20,24.9965
2020-11-20,25.1554
2020-12-20,27.3669
2021-01-20,29.9113
2021-02-20,28.9186
2021-03-20,27.6539
2021-04-20,19.1393
2021-05-20,19.5101
2021-06-20,14.2739
2021-07-20,14.3402
2021-08-20,13.7746
2021-09-20,9.0424
2021-10-20,8.4484
2021-11-20,7.8791
2021-12-20,6.4412
2022-01-20,6.6249
2022-02-20,7.0876
2022-03-20,7.6308
2022-04-20,7.4812
2022-05-20,6.6463
2022-06-20,6.701
2022-07-20,5.9302
2022-08-20,6.2084
2022-09-20,7.6353
2022-10-20,7.6712
2022-11-20,8.0895
2022-12-20,6.1428
2023-01-20,5.9926
2023-02-20,6.1944
2023-03-20,5.6664
2023-04-20,5.8395
2023-05-20,5.9506
2023-06-20,6.781
2023-07-20,7.2879
2023-08-20,7.5259
2023-09-20,7.8255
2023-10-20,7.9055
2023-11-20,7.6734
2023-12-20,9.3201
2024-01-20,9.8703
2024-02-20,9.3971
2024-03-20,9.4904
2024-04-20,9.342
2024-05-20,9.1291
2024-06-20,8.9786
2024-07-20,9.0928
2024-08-20,9.3676
2024-09-20,10.223
2024-10-20,9.9082
2024-11-20,9.7502
2024-12-20,8.4679
2025-01-20,8.1051
2025-02-20,8.4994
2025-03-20,10.5986
2025-04-20,11.0479
2025-05-20,11.4557
2025-06-20,10.3258
2025-07-20,10.4377
2025-08-20,10.003
2025-09-20,9.1529
2025-10-20,9.4646
2025-11-20,9.6784
2025-12-20,11.2578
2026-01-20,11.4031
2026-02-20,12.8354
2026-03-20,13.3608
2026-04-20,13.284
