date,roa
2004-01-20,6.5753
2004-02-20,6.5753
2004-03-20,6.5753
2004-04-20,6.9678
2004-05-20,6.8774
2004-06-20,4.9593
2004-07-20,5.2953
2004-08-20,5.2953
2004-09-20,5.022
2004-10-20,5.0062
2004-11-20,5.0062
2004-12-20,5.066
2005-01-20,5.066
2005-02-20,5.066
2005-03-20,5.0409
2005-04-20,5.5424
2005-05-20,5.5424
2005-06-20,7.1362
2005-07-20,7.1362
2005-08-20,7.1362
2005-09-20,8.1143
2005-10-20,8.3215
2005-11-20,8.3215
2005-12-20,7.9405
2006-01-20,7.9405
2006-02-20,7.9405
2006-03-20,8.0662
2006-04-20,7.328
2006-05-20,7.3589
2006-06-20,6.9419
2006-07-20,6.9419
2006-08-20,6.9419
2006-09-20,6.4173
2006-10-20,6.4599
2006-11-20,6.4599
2006-12-20,5.9773
2007-01-20,5.9773
2007-02-20,5.9773
2007-03-20,5.9773
2007-04-20,5.4121
2007-05-20,5.6388
2007-06-20,5.0166
2007-07-20,5.0596
2007-08-20,5.0593
2007-09-20,5.3468
2007-10-20,5.3379
2007-11-20,5.3379
2007-12-20,5.241
2008-01-20,5.2728
2008-02-20,4.7242
2008-03-20,4.7239
2008-04-20,5.2594
2008-05-20,5.2533
2008-06-20,4.1929
2008-07-20,4.2245
2008-08-20,4.2216
2008-09-20,4.0312
2008-10-20,3.9919
2008-11-20,3.9933
2008-12-20,4.1157
2009-01-20,4.0588
2009-02-20,4.0587
2009-03-20,3.8816
2009-04-20,2.8044
2009-05-20,2.7944
2009-06-20,2.3886
2009-07-20,2.3498
2009-08-20,2.3905
2009-09-20,2.0113
2009-10-20,2.0113
2009-11-20,2.0113
2009-12-20,2.3054
2010-01-20,2.3048
2010-02-20,2.3114
2010-03-20,2.2996
2010-04-20,2.9775
2010-05-20,2.9824
2010-06-20,3.1438
2010-07-20,3.1556
2010-08-20,3.147
2010-09-20,3.3671
2010-10-20,3.3671
2010-11-20,3.3518
2010-12-20,3.5926
2011-01-20,3.5992
2011-02-20,3.3189
2011-03-20,3.3556
2011-04-20,4.2154
2011-05-20,4.2163
2011-06-20,4.2486
2011-07-20,4.284
2011-08-20,4.2548
2011-09-20,4.2009
2011-10-20,4.1982
2011-11-20,4.1933
2011-12-20,3.4496
2012-01-20,3.4476
2012-02-20,3.4479
2012-03-20,3.4342
2012-04-20,3.1918
2012-05-20,2.8905
2012-06-20,2.3359
2012-07-20,2.3427
2012-08-20,2.3439
2012-09-20,1.455
2012-10-20,1.455
2012-11-20,1.4682
2012-12-20,1.349
2013-01-20,1.3488
2013-02-20,1.3482
2013-03-20,1.3456
2013-04-20,0.568
2013-05-20,0.5904
2013-06-20,0.1818
2013-07-20,0.1899
2013-08-20,0.1925
2013-09-20,-1.3051
2013-10-20,-1.3051
2013-11-20,-1.3048
2013-12-20,-8.5097
2014-01-20,-8.5132
2014-02-20,-8.5132
2014-03-20,1.7682
2014-04-20,1.3476
2014-05-20,1.1695
2014-06-20,1.7734
2014-07-20,1.7734
2014-08-20,1.7733
2014-09-20,2.084
2014-10-20,2.084
2014-11-20,2.0475
2014-12-20,1.6743
2015-01-20,1.8537
2015-02-20,1.8614
2015-03-20,1.8651
2015-04-20,2.2384
2015-05-20,1.3105
2015-06-20,0.8818
2015-07-20,0.8818
2015-08-20,0.8754
2015-09-20,0.9392
2015-10-20,0.9413
2015-11-20,0.9314
2015-12-20,0.8654
2016-01-20,0.8654
2016-02-20,0.8654
2016-03-20,0.8684
2016-04-20,0.0699
2016-05-20,0.0725
2016-06-20,0.191
2016-07-20,0.1909
2016-08-20,0.1912
2016-09-20,0.2891
2016-10-20,0.2891
2016-11-20,0.3023
2016-12-20,0.162
2017-01-20,0.162
2017-02-20,0.162
2017-03-20,0.162
2017-04-20,1.5337
2017-05-20,1.5203
2017-06-20,1.6561
2017-07-20,1.6561
2017-08-20,1.6617
2017-09-20,1.4215
2017-10-20,1.4215
2017-11-20,1.4264
2017-12-20,1.8155
2018-01-20,1.8002
2018-02-20,1.8002
2018-03-20,1.8002
2018-04-20,1.8585
2018-05-20,1.856
2018-06-20,1.8225
2018-07-20,1.8225
2018-08-20,1.8225
2018-09-20,1.9278
2018-10-20,1.9278
2018-11-20,1.9278
2018-12-20,1.9208
2019-01-20,1.9208
2019-02-20,1.9208
2019-03-20,2.2969
2019-04-20,2.7117
2019-05-20,2.5615
2019-06-20,2.1711
2019-07-20,2.1711
2019-08-20,2.1711
2019-09-20,2.5278
2019-10-20,2.5278
2019-11-20,2.5278
2019-12-20,2.543
2020-01-20,2.543
2020-02-20,2.543
2020-03-20,2.1018
2020-04-20,2.2413
2020-05-20,2.2128
2020-06-20,1.0183
2020-07-20,0.9967
2020-08-20,0.9839
2020-09-20,0.3991
2020-10-20,0.3991
2020-11-20,0.3725
2020-12-20,0.3192
2021-01-20,0.3192
2021-02-20,0.3192
2021-03-20,0.3192
2021-04-20,1.3781
2021-05-20,1.3781
2021-06-20,2.6723
2021-07-20,2.6723
2021-08-20,2.6723
2021-09-20,4.2339
2021-10-20,4.2339
2021-11-20,4.2339
2021-12-20,4.8229
2022-01-20,4.8229
2022-02-20,4.8229
2022-03-20,4.2243
2022-04-20,5.94
2022-05-20,5.94
2022-06-20,4.8062
2022-07-20,4.8062
2022-08-20,4.8062
2022-09-20,4.0089
2022-10-20,4.0089
2022-11-20,4.0089
2022-12-20,5.1788
2023-01-20,5.1788
2023-02-20,5.1788
2023-03-20,5.2384
2023-04-20,4.9286
2023-05-20,4.9684
2023-06-20,4.3064
2023-07-20,4.3878
2023-08-20,4.3878
2023-09-20,3.7932
2023-10-20,3.793
2023-11-20,3.793
2023-12-20,3.4449
2024-01-20,3.419
2024-02-20,3.419
2024-03-20,3.419
2024-04-20,3.2096
2024-05-20,3.2435
2024-06-20,3.0233
2024-07-20,3.0438
2024-08-20,3.0438
2024-09-20,2.889
2024-10-20,2.889
2024-11-20,2.889
2024-12-20,3.1369
2025-01-20,3.1369
2025-02-20,3.1369
2025-03-20,2.0338
2025-04-20,2.2533
2025-05-20,2.2533
2025-06-20,2.5086
2025-07-20,2.518
2025-08-20,2.518
2025-09-20,2.7767
2025-10-20,2.7767
2025-11-20,2.7767
2025-12-20,2.413
2026-01-20,2.413
2026-02-20,2.413
2026-03-20,2.413
2026-04-20,2.4945
