date,roc
2004-01-20,12.5817
2004-02-20,12.5817
2004-03-20,12.5817
2004-04-20,12.9738
2004-05-20,13.197
2004-06-20,11.672
2004-07-20,11.7601
2004-08-20,11.7601
2004-09-20,10.6348
2004-10-20,10.5885
2004-11-20,10.5885
2004-12-20,9.0887
2005-01-20,9.0887
2005-02-20,9.0887
2005-03-20,9.0438
2005-04-20,10.9953
2005-05-20,10.9953
2005-06-20,12.8432
2005-07-20,12.8432
2005-08-20,12.8432
2005-09-20,13.5745
2005-10-20,13.8728
2005-11-20,13.8728
2005-12-20,12.8903
2006-01-20,12.8903
2006-02-20,12.8903
2006-03-20,13.0945
2006-04-20,13.1114
2006-05-20,13.1854
2006-06-20,12.3005
2006-07-20,12.3005
2006-08-20,12.3005
2006-09-20,11.3023
2006-10-20,11.3671
2006-11-20,11.3671
2006-12-20,10.5987
2007-01-20,10.5987
2007-02-20,10.5987
2007-03-20,10.5987
2007-04-20,9.6874
2007-05-20,10.0926
2007-06-20,9.6273
2007-07-20,9.672
2007-08-20,9.6711
2007-09-20,9.6704
2007-10-20,9.66
2007-11-20,9.66
2007-12-20,9.2307
2008-01-20,9.3041
2008-02-20,8.3361
2008-03-20,8.3357
2008-04-20,9.1845
2008-05-20,9.1414
2008-06-20,7.719
2008-07-20,7.7339
2008-08-20,7.7285
2008-09-20,7.5123
2008-10-20,7.4104
2008-11-20,7.4131
2008-12-20,7.8402
2009-01-20,7.73
2009-02-20,7.7299
2009-03-20,7.3926
2009-04-20,5.8835
2009-05-20,5.8595
2009-06-20,4.6525
2009-07-20,4.5661
2009-08-20,4.6452
2009-09-20,3.6534
2009-10-20,3.6534
2009-11-20,3.6534
2009-12-20,4.3103
2010-01-20,4.309
2010-02-20,4.3215
2010-03-20,4.2993
2010-04-20,5.6333
2010-05-20,5.6436
2010-06-20,5.7277
2010-07-20,5.7371
2010-08-20,5.7216
2010-09-20,5.9694
2010-10-20,5.9694
2010-11-20,5.9423
2010-12-20,6.2437
2011-01-20,6.2437
2011-02-20,5.7574
2011-03-20,5.8629
2011-04-20,7.1691
2011-05-20,6.9938
2011-06-20,6.8475
2011-07-20,6.8838
2011-08-20,6.837
2011-09-20,6.7022
2011-10-20,6.6979
2011-11-20,6.69
2011-12-20,5.4498
2012-01-20,5.4466
2012-02-20,5.4471
2012-03-20,5.4255
2012-04-20,5.1201
2012-05-20,4.5883
2012-06-20,3.75
2012-07-20,3.7592
2012-08-20,3.7583
2012-09-20,2.3594
2012-10-20,2.3594
2012-11-20,2.3834
2012-12-20,2.1215
2013-01-20,2.1212
2013-02-20,2.1202
2013-03-20,2.1163
2013-04-20,0.9012
2013-05-20,0.9367
2013-06-20,0.2764
2013-07-20,0.2886
2013-08-20,0.2925
2013-09-20,-1.9691
2013-10-20,-1.9691
2013-11-20,-1.9687
2013-12-20,-12.5593
2014-01-20,-12.6271
2014-02-20,-12.6271
2014-03-20,2.7306
2014-04-20,2.0029
2014-05-20,1.7572
2014-06-20,2.7438
2014-07-20,2.7438
2014-08-20,2.7437
2014-09-20,3.2736
2014-10-20,3.2736
2014-11-20,3.2156
2014-12-20,2.6145
2015-01-20,2.8945
2015-02-20,2.9066
2015-03-20,2.9124
2015-04-20,3.4975
2015-05-20,1.961
2015-06-20,1.3649
2015-07-20,1.3649
2015-08-20,1.3549
2015-09-20,1.437
2015-10-20,1.4402
2015-11-20,1.4251
2015-12-20,1.3299
2016-01-20,1.3299
2016-02-20,1.3299
2016-03-20,1.3344
2016-04-20,0.1073
2016-05-20,0.1113
2016-06-20,0.2954
2016-07-20,0.2952
2016-08-20,0.2957
2016-09-20,0.4575
2016-10-20,0.4574
2016-11-20,0.4784
2016-12-20,0.2566
2017-01-20,0.2566
2017-02-20,0.2566
2017-03-20,0.2566
2017-04-20,2.4039
2017-05-20,2.3818
2017-06-20,2.6692
2017-07-20,2.6692
2017-08-20,2.6783
2017-09-20,2.3198
2017-10-20,2.3198
2017-11-20,2.3226
2017-12-20,2.9725
2018-01-20,2.9474
2018-02-20,2.947
2018-03-20,2.947
2018-04-20,3.0827
2018-05-20,3.0733
2018-06-20,3.1067
2018-07-20,3.1067
2018-08-20,3.1067
2018-09-20,3.2694
2018-10-20,3.2694
2018-11-20,3.2694
2018-12-20,3.3054
2019-01-20,3.3054
2019-02-20,3.3054
2019-03-20,4.0491
2019-04-20,4.6091
2019-05-20,4.3624
2019-06-20,3.7406
2019-07-20,3.7406
2019-08-20,3.7406
2019-09-20,4.4237
2019-10-20,4.4237
2019-11-20,4.4237
2019-12-20,4.4811
2020-01-20,4.4811
2020-02-20,4.4811
2020-03-20,3.8219
2020-04-20,3.9321
2020-05-20,3.8782
2020-06-20,1.8143
2020-07-20,1.7774
2020-08-20,1.7547
2020-09-20,0.7078
2020-10-20,0.7078
2020-11-20,0.6605
2020-12-20,0.5725
2021-01-20,0.5725
2021-02-20,0.5725
2021-03-20,0.5725
2021-04-20,2.415
2021-05-20,2.415
2021-06-20,4.8463
2021-07-20,4.8463
2021-08-20,4.8463
2021-09-20,7.7276
2021-10-20,7.7276
2021-11-20,7.7276
2021-12-20,8.7644
2022-01-20,8.7644
