date,roce
2004-01-20,27.4045
2004-02-20,27.4045
2004-03-20,27.4045
2004-04-20,30.3317
2004-05-20,29.7047
2004-06-20,30.5269
2004-07-20,32.5016
2004-08-20,32.5016
2004-09-20,28.2213
2004-10-20,28.0918
2004-11-20,28.0918
2004-12-20,22.2165
2005-01-20,22.2165
2005-02-20,22.2165
2005-03-20,22.1067
2005-04-20,25.1048
2005-05-20,25.1048
2005-06-20,29.4402
2005-07-20,29.4402
2005-08-20,29.4402
2005-09-20,28.9141
2005-10-20,29.6535
2005-11-20,29.6535
2005-12-20,26.9789
2006-01-20,26.9789
2006-02-20,26.9789
2006-03-20,27.4062
2006-04-20,25.9776
2006-05-20,26.0913
2006-06-20,23.8276
2006-07-20,23.8276
2006-08-20,23.8276
2006-09-20,22.3042
2006-10-20,22.4037
2006-11-20,22.4037
2006-12-20,21.3667
2007-01-20,21.3667
2007-02-20,21.3667
2007-03-20,21.3667
2007-04-20,21.113
2007-05-20,21.1296
2007-06-20,20.3641
2007-07-20,20.4331
2007-08-20,20.423
2007-09-20,19.2928
2007-10-20,19.2615
2007-11-20,19.2615
2007-12-20,16.8934
2008-01-20,16.9697
2008-02-20,15.3842
2008-03-20,15.3834
2008-04-20,17.7114
2008-05-20,17.1826
2008-06-20,14.6459
2008-07-20,14.7445
2008-08-20,14.7557
2008-09-20,14.4373
2008-10-20,14.2399
2008-11-20,14.2124
2008-12-20,15.0711
2009-01-20,14.8217
2009-02-20,14.8217
2009-03-20,14.183
2009-04-20,12.1726
2009-05-20,12.216
2009-06-20,10.3417
2009-07-20,10.1899
2009-08-20,10.4502
2009-09-20,8.0213
2009-10-20,8.0213
2009-11-20,8.0213
2009-12-20,9.2668
2010-01-20,9.264
2010-02-20,9.2973
2010-03-20,9.2496
2010-04-20,12.7528
2010-05-20,12.936
2010-06-20,11.8003
2010-07-20,11.841
2010-08-20,11.8663
2010-09-20,12.4076
2010-10-20,12.4076
2010-11-20,12.5067
2010-12-20,11.6426
2011-01-20,11.6573
2011-02-20,11.7168
2011-03-20,11.9252
2011-04-20,13.2286
2011-05-20,13.2114
2011-06-20,13.6577
2011-07-20,13.6862
2011-08-20,13.8172
2011-09-20,13.8222
2011-10-20,13.8134
2011-11-20,13.81
2011-12-20,11.5115
2012-01-20,11.5048
2012-02-20,11.602
2012-03-20,11.556
2012-04-20,10.3448
2012-05-20,9.6699
2012-06-20,8.1104
2012-07-20,8.1062
2012-08-20,8.1019
2012-09-20,5.4913
2012-10-20,5.4913
2012-11-20,5.5641
2012-12-20,4.8185
