date,div_yield
2004-01-20,1.9966
2004-02-20,2.0121
2004-03-20,2.1077
2004-04-20,1.9532
2004-05-20,2.0712
2004-06-20,1.9844
2004-07-20,2.0484
2004-08-20,2.0838
2004-09-20,2.0843
2004-10-20,2.15
2004-11-20,2.2792
2004-12-20,2.2448
2005-01-20,2.297
2005-02-20,2.2558
2005-03-20,2.3082
2005-04-20,2.4565
2005-05-20,2.3828
2005-06-20,2.3968
2005-07-20,2.4182
2005-08-20,2.478
2005-09-20,2.5108
2005-10-20,2.5833
2005-11-20,2.2765
2005-12-20,2.2853
2006-01-20,2.3303
2006-02-20,2.2378
2006-03-20,2.2295
2006-04-20,2.222
2006-05-20,2.2748
2006-06-20,2.326
2006-07-20,2.3469
2006-08-20,2.2635
2006-09-20,2.2349
2006-10-20,2.1724
2006-11-20,2.1472
2006-12-20,2.1438
2007-01-20,2.1406
2007-02-20,2.1247
2007-03-20,2.2338
2007-04-20,2.1546
2007-05-20,2.0876
2007-06-20,2.1015
2007-07-20,2.058
2007-08-20,2.2005
2007-09-20,2.1044
2007-10-20,2.1538
2007-11-20,2.2985
2007-12-20,2.2716
2008-01-20,2.4956
2008-02-20,2.4858
2008-03-20,2.515
2008-04-20,2.4356
2008-05-20,2.4541
2008-06-20,2.6756
2008-07-20,2.7533
2008-08-20,2.7863
2008-09-20,2.8031
2008-10-20,3.4086
2008-11-20,4.1926
2008-12-20,3.6822
2009-01-20,3.9611
2009-02-20,4.2891
2009-03-20,4.2574
2009-04-20,3.9048
2009-05-20,3.632
2009-06-20,3.3815
2009-07-20,3.2406
2009-08-20,3.0658
2009-09-20,2.8686
2009-10-20,2.7825
2009-11-20,2.7005
2009-12-20,2.6856
2010-01-20,2.5823
2010-02-20,2.6265
2010-03-20,2.5394
2010-04-20,2.4554
2010-05-20,2.7378
2010-06-20,2.6521
2010-07-20,2.7166
2010-08-20,2.7449
2010-09-20,2.6227
2010-10-20,2.5434
2010-11-20,2.5421
2010-12-20,2.4985
2011-01-20,2.4337
2011-02-20,2.3378
2011-03-20,2.4611
2011-04-20,2.3619
2011-05-20,2.378
2011-06-20,2.4802
2011-07-20,2.404
2011-08-20,2.8243
2011-09-20,2.6948
2011-10-20,2.6864
2011-11-20,2.6533
2011-12-20,2.6248
2012-01-20,2.5288
2012-02-20,2.5089
2012-03-20,2.49
2012-04-20,2.5247
2012-05-20,2.6936
2012-06-20,2.6068
2012-07-20,2.6207
2012-08-20,2.5638
2012-09-20,2.5225
2012-10-20,2.5414
2012-11-20,2.6811
2012-12-20,2.61
2013-01-20,2.5528
2013-02-20,2.5306
2013-03-20,2.4525
2013-04-20,2.4557
2013-05-20,2.3574
2013-06-20,2.4725
2013-07-20,2.3646
2013-08-20,2.4727
2013-09-20,2.4229
2013-10-20,2.1885
2013-11-20,2.1423
2013-12-20,2.1248
2014-01-20,2.1037
2014-02-20,2.1863
2014-03-20,2.1756
2014-04-20,2.1745
2014-05-20,2.2094
2014-06-20,2.1601
2014-07-20,2.1496
2014-08-20,2.2017
2014-09-20,2.1801
2014-10-20,2.3049
2014-11-20,2.1673
2014-12-20,2.1835
2015-01-20,2.2269
2015-02-20,2.1834
2015-03-20,2.239
2015-04-20,2.2575
2015-05-20,2.2574
2015-06-20,2.3127
2015-07-20,2.3176
2015-08-20,2.4971
2015-09-20,2.6131
2015-10-20,2.4908
2015-11-20,2.4377
2015-12-20,2.5573
2016-01-20,2.831
2016-02-20,2.7491
2016-03-20,2.577
2016-04-20,2.512
2016-05-20,2.6203
2016-06-20,2.59
2016-07-20,2.4859
2016-08-20,2.5147
2016-09-20,2.5875
2016-10-20,2.5881
2016-11-20,2.5135
2016-12-20,2.3901
2017-01-20,2.4131
2017-02-20,2.3421
2017-03-20,2.3287
2017-04-20,2.3708
2017-05-20,2.3675
2017-06-20,2.3144
2017-07-20,2.305
2017-08-20,2.3191
2017-09-20,2.2859
2017-10-20,2.2015
2017-11-20,2.2085
2017-12-20,2.1142
2018-01-20,2.0068
2018-02-20,2.1197
2018-03-20,2.1508
2018-04-20,2.1791
2018-05-20,2.1822
2018-06-20,2.1976
2018-07-20,2.165
2018-08-20,2.1251
2018-09-20,2.0707
2018-10-20,2.1811
2018-11-20,2.2896
2018-12-20,2.4785
2019-01-20,2.3053
2019-02-20,2.2181
2019-03-20,2.2598
