date,ebitda_margin
2004-01-16,15.8235
2004-02-16,16.3762
2004-03-16,16.7644
2004-04-16,16.2812
2004-05-16,16.2132
2004-06-16,13.7815
2004-07-16,13.5658
2004-08-16,14.1394
2004-09-16,13.7706
2004-10-16,13.7811
2004-11-16,12.9929
2004-12-16,13.3721
2005-01-16,13.7784
2005-02-16,13.3229
2005-03-16,14.0216
2005-04-16,16.5541
2005-05-16,15.4317
2005-06-16,12.8428
2005-07-16,12.8506
2005-08-16,12.7211
2005-09-16,12.6105
2005-10-16,12.6208
2005-11-16,12.3534
2005-12-16,13.0089
2006-01-16,13.0262
2006-02-16,12.6641
2006-03-16,13.1936
2006-04-16,13.7961
2006-05-16,12.6271
2006-06-16,15.3217
2006-07-16,15.3217
2006-08-16,13.1494
2006-09-16,14.3721
2006-10-16,14.3736
2006-11-16,12.7164
2006-12-16,14.6757
2007-01-16,14.6757
2007-02-16,15.7009
2007-03-16,16.0915
2007-04-16,14.5351
2007-05-16,15.1219
2007-06-16,16.5311
2007-07-16,16.5467
2007-08-16,16.2583
2007-09-16,17.3921
2007-10-16,17.2993
2007-11-16,17.2993
2007-12-16,16.1521
2008-01-16,16.1689
2008-02-16,16.118
2008-03-16,15.4222
2008-04-16,15.4222
2008-05-16,15.5963
2008-06-16,16.0361
2008-07-16,16.0375
2008-08-16,16.0375
2008-09-16,14.0175
2008-10-16,14.0188
2008-11-16,14.7371
2008-12-16,14.7225
2009-01-16,14.7225
2009-02-16,14.7225
2009-03-16,13.7606
2009-04-16,12.9479
2009-05-16,12.9531
2009-06-16,12.3509
2009-07-16,12.3521
2009-08-16,12.3521
2009-09-16,16.7959
2009-10-16,16.7959
2009-11-16,16.0614
2009-12-16,16.1083
2010-01-16,16.1099
2010-02-16,16.1099
2010-03-16,15.8593
2010-04-16,16.1964
2010-05-16,16.7228
2010-06-16,17.0028
2010-07-16,17.0028
2010-08-16,17.1697
2010-09-16,17.5048
2010-10-16,17.5048
2010-11-16,17.6658
2010-12-16,17.9751
2011-01-16,17.9751
2011-02-16,18.7827
2011-03-16,18.1871
2011-04-16,18.1871
2011-05-16,18.5509
2011-06-16,18.5758
2011-07-16,18.5758
2011-08-16,19.0077
2011-09-16,18.5918
2011-10-16,18.5918
2011-11-16,19.0382
2011-12-16,18.433
2012-01-16,18.433
2012-02-16,19.2858
2012-03-16,18.0774
2012-04-16,18.0774
2012-05-16,18.8916
2012-06-16,18.1229
2012-07-16,18.1229
2012-08-16,19.0499
2012-09-16,17.6703
2012-10-16,17.6703
2012-11-16,17.6703
2012-12-16,16.7891
2013-01-16,16.7891
2013-02-16,16.7891
2013-03-16,16.7983
2013-04-16,16.7983
2013-05-16,17.478
2013-06-16,16.6941
2013-07-16,16.6941
2013-08-16,16.6941
2013-09-16,16.8502
2013-10-16,16.8502
2013-11-16,16.8502
2013-12-16,20.0666
2014-01-16,20.0666
2014-02-16,20.4384
2014-03-16,20.5707
2014-04-16,20.5707
2014-05-16,20.5707
2014-06-16,20.2915
2014-07-16,20.2915
2014-08-16,20.2915
2014-09-16,19.8849
2014-10-16,20.4406
2014-11-16,19.786
2014-12-16,20.5487
2015-01-16,20.5487
2015-02-16,20.5487
2015-03-16,19.9432
2015-04-16,19.9432
2015-05-16,19.9432
2015-06-16,19.896
2015-07-16,19.896
2015-08-16,19.896
2015-09-16,19.341
2015-10-16,19.341
2015-11-16,19.4427
2015-12-16,18.9789
2016-01-16,18.9789
2016-02-16,19.1142
2016-03-16,18.6756
2016-04-16,18.6756
2016-05-16,18.0024
2016-06-16,17.8726
2016-07-16,17.8726
2016-08-16,17.5436
2016-09-16,17.9128
2016-10-16,17.9128
2016-11-16,17.4083
2016-12-16,17.9406
2017-01-16,17.9406
2017-02-16,18.0927
2017-03-16,18.135
2017-04-16,18.6
2017-05-16,17.9223
2017-06-16,19.0435
2017-07-16,19.0435
2017-08-16,18.567
2017-09-16,19.7785
2017-10-16,19.7785
2017-11-16,18.7868
2017-12-16,19.932
2018-01-16,19.932
2018-02-16,19.932
2018-03-16,20.0078
2018-04-16,20.0078
2018-05-16,18.1811
2018-06-16,20.3613
2018-07-16,20.3613
2018-08-16,17.0648
2018-09-16,19.6679
2018-10-16,19.6679
2018-11-16,19.6679
2018-12-16,19.8624
2019-01-16,19.8624
2019-02-16,19.8624
2019-03-16,20.1043
2019-04-16,20.1043
2019-05-16,16.9865
2019-06-16,20.2629
2019-07-16,20.274
2019-08-16,20.274
2019-09-16,19.7278
2019-10-16,19.7399
2019-11-16,19.7399
2019-12-16,19.719
2020-01-16,19.7318
2020-02-16,19.7318
2020-03-16,19.283
2020-04-16,19.3216
2020-05-16,19.3216
2020-06-16,18.2568
2020-07-16,18.2568
2020-08-16,18.2408
2020-09-16,17.1663
2020-10-16,17.1718
2020-11-16,17.1718
2020-12-16,17.7384
2021-01-16,17.2125
2021-02-16,17.2125
2021-03-16,17.1303
2021-04-16,17.3565
2021-05-16,17.3565
2021-06-16,18.5375
2021-07-16,18.5536
2021-08-16,18.0737
2021-09-16,19.8924
2021-10-16,19.8968
2021-11-16,19.4404
2021-12-16,20.6392
2022-01-16,20.6557
2022-02-16,20.1888
2022-03-16,21.5953
2022-04-16,21.0484
2022-05-16,20.8641
2022-06-16,19.8554
2022-07-16,19.8667
2022-08-16,19.8667
2022-09-16,19.3241
2022-10-16,19.3286
2022-11-16,19.3286
2022-12-16,19.111
2023-01-16,19.122
2023-02-16,19.122
2023-03-16,20.5524
2023-04-16,19.8575
2023-05-16,20.5905
2023-06-16,20.1795
2023-07-16,20.1795
2023-08-16,20.1795
2023-09-16,20.431
2023-10-16,20.431
2023-11-16,21.129
2023-12-16,21.075
2024-01-16,21.075
2024-02-16,21.075
2024-03-16,22.4884
2024-04-16,22.6187
2024-05-16,22.6187
2024-06-16,25.1771
2024-07-16,25.1771
2024-08-16,25.1771
2024-09-16,26.5071
2024-10-16,26.5071
2024-11-16,26.5071
2024-12-16,25.1861
2025-01-16,26.527
2025-02-16,26.527
2025-03-16,27.9773
2025-04-16,28.0881
2025-05-16,28.0881
2025-06-16,27.418
2025-07-16,27.418
2025-08-16,27.418
2025-09-16,25.252
2025-10-16,27.2121
2025-11-16,27.2121
2025-12-16,25.016
2026-01-16,27.1097
2026-02-16,27.1097
2026-03-16,27.524
2026-04-16,27.6911
