date,ev_ebit
2004-01-16,17.8551
2004-02-16,17.0465
2004-03-16,17.3518
2004-04-16,19.2916
2004-05-16,20.6778
2004-06-16,19.1713
2004-07-16,19.4901
2004-08-16,20.2014
2004-09-16,18.7744
2004-10-16,18.5922
2004-11-16,18.9268
2004-12-16,17.8778
2005-01-16,18.1089
2005-02-16,16.3487
2005-03-16,15.7203
2005-04-16,18.6814
2005-05-16,19.2844
2005-06-16,19.195
2005-07-16,18.6724
2005-08-16,19.6906
2005-09-16,17.7296
2005-10-16,17.7296
2005-11-16,18.697
2005-12-16,17.3852
2006-01-16,17.3548
2006-02-16,24.3731
2006-03-16,22.9846
2006-04-16,21.978
2006-05-16,19.6577
2006-06-16,19.1853
2006-07-16,19.1853
2006-08-16,20.2365
2006-09-16,18.3611
2006-10-16,18.3611
2006-11-16,15.3853
2006-12-16,15.0326
2007-01-16,15.0326
2007-02-16,14.9845
2007-03-16,13.213
2007-04-16,16.1734
2007-05-16,14.7523
2007-06-16,14.7651
2007-07-16,14.7461
2007-08-16,14.2586
2007-09-16,13.8351
2007-10-16,13.8351
2007-11-16,13.8351
2007-12-16,15.8855
2008-01-16,15.8628
2008-02-16,15.7603
2008-03-16,15.6868
2008-04-16,15.6868
2008-05-16,15.6868
2008-06-16,16.056
2008-07-16,16.056
2008-08-16,16.056
2008-09-16,17.8756
2008-10-16,17.8756
2008-11-16,18.0465
2008-12-16,16.5746
2009-01-16,16.5769
2009-02-16,16.5769
2009-03-16,16.2959
2009-04-16,16.2959
2009-05-16,16.2951
2009-06-16,18.4149
2009-07-16,18.4139
2009-08-16,18.4139
2009-09-16,11.9927
2009-10-16,11.9922
2009-11-16,15.3475
2009-12-16,14.3825
2010-01-16,14.3819
2010-02-16,14.3819
2010-03-16,14.2589
2010-04-16,14.122
2010-05-16,14.2498
2010-06-16,13.8228
2010-07-16,13.8223
2010-08-16,12.1258
2010-09-16,11.7438
2010-10-16,11.7432
2010-11-16,12.2471
2010-12-16,11.8307
2011-01-16,11.8301
2011-02-16,11.7971
2011-03-16,11.9121
2011-04-16,11.9117
2011-05-16,12.0111
2011-06-16,11.6005
2011-07-16,11.6001
2011-08-16,11.6975
2011-09-16,11.2603
2011-10-16,11.2599
2011-11-16,9.9269
2011-12-16,9.7491
2012-01-16,9.7488
2012-02-16,10.4787
2012-03-16,10.6153
2012-04-16,10.6151
2012-05-16,11.4557
2012-06-16,11.1446
2012-07-16,11.1443
2012-08-16,10.8766
2012-09-16,10.9581
2012-10-16,10.9579
2012-11-16,10.9579
2012-12-16,11.1558
2013-01-16,11.1556
2013-02-16,11.1556
2013-03-16,10.9846
2013-04-16,10.973
2013-05-16,12.3456
2013-06-16,12.0712
2013-07-16,12.0597
2013-08-16,12.0597
2013-09-16,11.888
2013-10-16,11.8768
2013-11-16,11.8768
2013-12-16,12.1857
2014-01-16,12.2015
2014-02-16,11.8537
2014-03-16,12.6812
2014-04-16,12.6732
2014-05-16,12.6732
2014-06-16,12.7493
2014-07-16,12.7493
2014-08-16,12.7412
2014-09-16,12.8585
2014-10-16,12.8433
2014-11-16,12.9394
2014-12-16,12.3375
2015-01-16,12.3312
2015-02-16,12.3312
2015-03-16,12.9088
2015-04-16,12.9088
2015-05-16,12.9028
2015-06-16,12.414
2015-07-16,12.4089
2015-08-16,12.4089
2015-09-16,12.9264
2015-10-16,12.9209
2015-11-16,12.9209
2015-12-16,12.4562
2016-01-16,12.4506
2016-02-16,12.4506
2016-03-16,13.6638
2016-04-16,13.6583
2016-05-16,14.6487
2016-06-16,14.4563
2016-07-16,14.4503
2016-08-16,15.1787
