date,ev_ebitda
2004-01-20,10.5128
2004-02-20,9.6191
2004-03-20,9.3954
2004-04-20,11.112
2004-05-20,11.4067
2004-06-20,13.0908
2004-07-20,13.4376
2004-08-20,13.518
2004-09-20,14.3337
2004-10-20,14.184
2004-11-20,13.7534
2004-12-20,13.1868
2005-01-20,13.4539
2005-02-20,12.2886
2005-03-20,11.3304
2005-04-20,11.5994
2005-05-20,11.4722
2005-06-20,13.8819
2005-07-20,13.877
2005-08-20,13.6801
2005-09-20,13.1808
2005-10-20,13.1701
2005-11-20,14.0561
2005-12-20,12.8179
2006-01-20,12.8002
2006-02-20,13.65
2006-03-20,12.2558
2006-04-20,12.2024
2006-05-20,13.1769
2006-06-20,11.3726
2006-07-20,11.3726
2006-08-20,12.2697
2006-09-20,10.804
2006-10-20,10.8029
2006-11-20,10.8696
2006-12-20,9.427
2007-01-20,9.427
2007-02-20,9.4036
2007-03-20,9.1863
2007-04-20,10.6091
2007-05-20,10.7795
2007-06-20,9.9155
2007-07-20,9.9061
2007-08-20,10.3891
2007-09-20,9.5644
2007-10-20,9.6138
2007-11-20,9.6138
2007-12-20,10.7932
2008-01-20,10.7819
2008-02-20,10.7545
2008-03-20,10.3292
2008-04-20,10.3292
2008-05-20,10.2139
2008-06-20,9.4759
2008-07-20,9.4751
2008-08-20,9.4751
2008-09-20,10.0265
2008-10-20,10.0255
2008-11-20,9.7025
2008-12-20,9.381
2009-01-20,9.3809
2009-02-20,9.3809
2009-03-20,8.5269
2009-04-20,9.0621
2009-05-20,9.058
2009-06-20,8.9425
2009-07-20,8.9412
2009-08-20,8.9412
2009-09-20,8.0927
2009-10-20,8.0924
2009-11-20,10.3226
2009-12-20,9.6432
2010-01-20,9.6419
2010-02-20,9.6419
2010-03-20,10.195
2010-04-20,9.887
2010-05-20,10.323
2010-06-20,9.823
2010-07-20,9.8226
2010-08-20,8.8809
2010-09-20,8.512
2010-10-20,8.5115
2010-11-20,9.1362
2010-12-20,8.7614
2011-01-20,8.7609
2011-02-20,8.8373
2011-03-20,8.8857
2011-04-20,8.8854
2011-05-20,9.1052
2011-06-20,8.8182
2011-07-20,8.8179
2011-08-20,8.5896
2011-09-20,8.4145
2011-10-20,8.4142
2011-11-20,7.4074
2011-12-20,7.3369
2012-01-20,7.3367
2012-02-20,7.7927
2012-03-20,7.9229
2012-04-20,7.9227
2012-05-20,8.4463
2012-06-20,8.2818
2012-07-20,8.2816
2012-08-20,8.2211
2012-09-20,8.3234
2012-10-20,8.3232
2012-11-20,8.3232
2012-12-20,8.5017
2013-01-20,8.5016
2013-02-20,8.5016
2013-03-20,8.2116
2013-04-20,8.2029
2013-05-20,9.2027
2013-06-20,9.012
2013-07-20,9.0034
2013-08-20,9.0034
2013-09-20,9.0057
2013-10-20,8.9972
2013-11-20,8.9972
2013-12-20,9.0707
2014-01-20,9.0824
2014-02-20,9.3973
2014-03-20,9.6552
2014-04-20,9.6491
2014-05-20,9.6491
2014-06-20,9.7525
2014-07-20,9.7525
2014-08-20,9.7463
2014-09-20,10.0915
2014-10-20,9.7969
2014-11-20,10.8078
2014-12-20,9.5147
2015-01-20,9.5099
2015-02-20,9.5099
2015-03-20,9.9182
2015-04-20,9.9182
2015-05-20,9.9136
2015-06-20,9.5801
2015-07-20,9.5761
2015-08-20,9.5761
2015-09-20,9.9048
2015-10-20,9.9006
2015-11-20,9.8489
2015-12-20,9.5655
2016-01-20,9.5613
2016-02-20,9.4936
2016-03-20,10.1882
2016-04-20,10.1841
2016-05-20,11.3319
2016-06-20,10.6775
2016-07-20,10.673
2016-08-20,11.7613
2016-09-20,10.6942
2016-10-20,10.6942
2016-11-20,11.9356
2016-12-20,10.9636
2017-01-20,10.9598
2017-02-20,12.0403
2017-03-20,10.9834
2017-04-20,10.7495
2017-05-20,12.1934
2017-06-20,10.8214
2017-07-20,10.8177
2017-08-20,11.7966
2017-09-20,11.0731
2017-10-20,11.0731
2017-11-20,11.897
2017-12-20,11.1676
2018-01-20,11.163
2018-02-20,11.163
2018-03-20,11.8807
2018-04-20,11.8766
2018-05-20,13.2173
2018-06-20,11.3337
2018-07-20,11.3298
2018-08-20,13.0389
2018-09-20,10.8055
2018-10-20,10.802
2018-11-20,10.802
2018-12-20,11.3059
2019-01-20,11.3059
2019-02-20,11.3059
2019-03-20,9.715
2019-04-20,9.715
2019-05-20,13.9037
2019-06-20,10.8989
2019-07-20,10.8869
2019-08-20,10.8869
2019-09-20,11.312
2019-10-20,11.3019
2019-11-20,11.3019
2019-12-20,11.6266
2020-01-20,11.6158
2020-02-20,11.6151
2020-03-20,12.7662
2020-04-20,12.7407
2020-05-20,12.7407
2020-06-20,10.7823
2020-07-20,10.7823
2020-08-20,10.8425
2020-09-20,13.0399
2020-10-20,13.0365
2020-11-20,13.0365
