date,oper_margin
2004-01-20,9.3167
2004-02-20,9.2409
2004-03-20,9.0773
2004-04-20,9.378
2004-05-20,8.9439
2004-06-20,9.4105
2004-07-20,9.353
2004-08-20,9.4615
2004-09-20,10.5135
2004-10-20,10.5136
2004-11-20,9.4414
2004-12-20,9.8634
2005-01-20,10.2366
2005-02-20,10.0143
2005-03-20,10.1061
2005-04-20,10.2785
2005-05-20,9.1803
2005-06-20,9.288
2005-07-20,9.5504
2005-08-20,8.838
2005-09-20,9.3751
2005-10-20,9.3751
2005-11-20,9.2871
2005-12-20,9.5913
2006-01-20,9.6076
2006-02-20,7.0924
2006-03-20,7.0351
2006-04-20,7.6597
2006-05-20,8.4642
2006-06-20,9.0823
2006-07-20,9.0823
2006-08-20,7.9727
2006-09-20,8.4568
2006-10-20,8.4568
2006-11-20,8.984
2006-12-20,9.2032
2007-01-20,9.2032
2007-02-20,9.8532
2007-03-20,11.1875
2007-04-20,9.5345
2007-05-20,11.0496
2007-06-20,11.1014
2007-07-20,11.1157
2007-08-20,11.8462
2007-09-20,12.0234
2007-10-20,12.021
2007-11-20,12.021
2007-12-20,10.9743
2008-01-20,10.99
2008-02-20,10.9986
2008-03-20,10.155
2008-04-20,10.155
2008-05-20,10.155
2008-06-20,9.4642
2008-07-20,9.4642
2008-08-20,9.4642
2008-09-20,7.8625
2008-10-20,7.8625
2008-11-20,7.9233
2008-12-20,8.3327
2009-01-20,8.3315
2009-02-20,8.3315
2009-03-20,7.2003
2009-04-20,7.2003
2009-05-20,7.2003
2009-06-20,5.9978
2009-07-20,5.9978
2009-08-20,5.9978
2009-09-20,11.3339
2009-10-20,11.3339
2009-11-20,10.8027
2009-12-20,10.8004
2010-01-20,10.8004
2010-02-20,10.8004
2010-03-20,11.3394
2010-04-20,11.3394
2010-05-20,12.1145
2010-06-20,12.0828
2010-07-20,12.0828
2010-08-20,12.5751
2010-09-20,12.6876
2010-10-20,12.6876
2010-11-20,13.1786
2010-12-20,13.3117
2011-01-20,13.3117
2011-02-20,14.0702
2011-03-20,13.5664
2011-04-20,13.5664
2011-05-20,14.0628
2011-06-20,14.1205
2011-07-20,14.1205
2011-08-20,13.9575
2011-09-20,13.8932
2011-10-20,13.8932
2011-11-20,14.2062
2011-12-20,13.8722
2012-01-20,13.8722
2012-02-20,14.3422
2012-03-20,13.4922
2012-04-20,13.4922
2012-05-20,13.9288
2012-06-20,13.4675
2012-07-20,13.4675
2012-08-20,14.3989
2012-09-20,13.4217
2012-10-20,13.4217
2012-11-20,13.4217
2012-12-20,12.7948
2013-01-20,12.7948
2013-02-20,12.7948
2013-03-20,12.5577
2013-04-20,12.5577
2013-05-20,13.0285
2013-06-20,12.4634
2013-07-20,12.4634
2013-08-20,12.4634
2013-09-20,12.7648
2013-10-20,12.7648
2013-11-20,12.7648
2013-12-20,14.937
2014-01-20,14.937
2014-02-20,16.203
2014-03-20,15.6621
2014-04-20,15.6621
2014-05-20,15.6621
2014-06-20,15.5218
2014-07-20,15.5218
2014-08-20,15.5218
2014-09-20,15.6059
2014-10-20,15.5923
2014-11-20,16.5266
2014-12-20,15.8473
2015-01-20,15.8473
2015-02-20,15.8473
2015-03-20,15.3229
2015-04-20,15.3229
2015-05-20,15.3229
2015-06-20,15.3541
2015-07-20,15.3541
2015-08-20,15.3541
2015-09-20,14.82
2015-10-20,14.82
2015-11-20,14.82
2015-12-20,14.5746
2016-01-20,14.5746
2016-02-20,14.5746
2016-03-20,13.9253
2016-04-20,13.9253
2016-05-20,13.9262
2016-06-20,13.2007
2016-07-20,13.2007
2016-08-20,13.5938
2016-09-20,13.0126
2016-10-20,13.0126
2016-11-20,13.5199
2016-12-20,12.9366
2017-01-20,12.9366
2017-02-20,14.2535
2017-03-20,13.4222
2017-04-20,13.4222
2017-05-20,14.2624
2017-06-20,13.8043
2017-07-20,13.8043
2017-08-20,14.9538
2017-09-20,14.4123
2017-10-20,14.4123
2017-11-20,14.872
2017-12-20,14.2611
2018-01-20,14.2611
2018-02-20,14.2611
2018-03-20,14.1652
2018-04-20,14.1652
2018-05-20,14.2727
2018-06-20,14.3182
2018-07-20,14.3182
2018-08-20,13.7666
2018-09-20,13.92
2018-10-20,13.92
2018-11-20,13.92
2018-12-20,14.0922
2019-01-20,14.0922
2019-02-20,14.0922
2019-03-20,14.1439
2019-04-20,14.1439
2019-05-20,13.9418
2019-06-20,14.0006
2019-07-20,14.0015
2019-08-20,14.0015
2019-09-20,13.1194
2019-10-20,13.1194
2019-11-20,13.1194
2019-12-20,12.7367
2020-01-20,12.7367
2020-02-20,12.7367
2020-03-20,11.9349
2020-04-20,11.9349
2020-05-20,11.9349
2020-06-20,10.9409
2020-07-20,10.9409
2020-08-20,10.9245
2020-09-20,9.8978
2020-10-20,9.8978
