date,pe
2004-01-20,19.761
2004-02-20,17.6175
2004-03-20,17.9099
2004-04-20,18.6047
2004-05-20,17.3038
2004-06-20,16.0061
2004-07-20,17.9457
2004-08-20,16.709
2004-09-20,16.7324
2004-10-20,16.5066
2004-11-20,15.7001
2004-12-20,15.5063
2005-01-20,17.3331
2005-02-20,15.6964
2005-03-20,16.5685
2005-04-20,17.0344
2005-05-20,15.6207
2005-06-20,17.2343
2005-07-20,16.738
2005-08-20,15.4653
2005-09-20,16.5602
2005-10-20,16.6232
2005-11-20,14.9852
2005-12-20,16.838
2006-01-20,16.6932
2006-02-20,17.3142
2006-03-20,20.4824
2006-04-20,18.9926
2006-05-20,17.9666
2006-06-20,18.908
2006-07-20,18.8364
2006-08-20,15.5509
2006-09-20,15.6954
2006-10-20,16.1062
2006-11-20,14.1555
2006-12-20,14.1529
2007-01-20,14.4323
2007-02-20,15.6636
2007-03-20,14.328
2007-04-20,15.3334
2007-05-20,16.7662
2007-06-20,15.0221
2007-07-20,14.7807
2007-08-20,15.1103
2007-09-20,15.4017
2007-10-20,16.0219
2007-11-20,16.0615
2007-12-20,16.9056
2008-01-20,16.7686
2008-02-20,15.8142
2008-03-20,14.6432
2008-04-20,14.639
2008-05-20,15.3042
2008-06-20,16.4953
2008-07-20,14.815
2008-08-20,14.8516
2008-09-20,18.0393
2008-10-20,16.955
2008-11-20,19.1231
2008-12-20,13.1613
2009-01-20,13.0828
2009-02-20,11.9268
2009-03-20,12.3001
2009-04-20,13.2402
2009-05-20,14.2133
2009-06-20,20.7039
2009-07-20,20.5747
2009-08-20,22.3396
2009-09-20,13.5632
2009-10-20,13.8661
2009-11-20,15.4005
2009-12-20,15.551
2010-01-20,15.6761
2010-02-20,15.1339
2010-03-20,15.1477
2010-04-20,15.9468
2010-05-20,15.0301
2010-06-20,13.2969
2010-07-20,12.8212
2010-08-20,13.4546
2010-09-20,12.4116
2010-10-20,13.3722
2010-11-20,13.3457
2010-12-20,12.9946
2011-01-20,13.6694
2011-02-20,13.3412
2011-03-20,14.1123
2011-04-20,14.4073
2011-05-20,14.4775
2011-06-20,13.8237
2011-07-20,13.6528
2011-08-20,13.3733
2011-09-20,12.4822
2011-10-20,11.7302
2011-11-20,12.7664
2011-12-20,12.5654
2012-01-20,12.7538
2012-02-20,13.3109
2012-03-20,13.2527
2012-04-20,13.5161
2012-05-20,13.6361
2012-06-20,12.4627
2012-07-20,12.9521
2012-08-20,13.6096
2012-09-20,12.9343
2012-10-20,13.2765
2012-11-20,12.9399
2012-12-20,12.4791
2013-01-20,12.5544
2013-02-20,13.2791
2013-03-20,13.4725
2013-04-20,13.9683
2013-05-20,14.8379
2013-06-20,14.4558
2013-07-20,14.2588
2013-08-20,14.823
2013-09-20,14.1074
2013-10-20,14.411
2013-11-20,14.8073
2013-12-20,15.4559
2014-01-20,15.923
2014-02-20,15.2312
2014-03-20,15.1632
2014-04-20,15.2895
2014-05-20,15.4039
2014-06-20,15.4866
2014-07-20,15.5879
2014-08-20,15.344
2014-09-20,15.5401
2014-10-20,15.4896
2014-11-20,16.0414
2014-12-20,15.5793
2015-01-20,15.5748
2015-02-20,14.9997
2015-03-20,16.239
2015-04-20,15.9211
2015-05-20,15.9787
2015-06-20,15.1335
2015-07-20,14.8048
2015-08-20,14.8639
2015-09-20,14.0285
2015-10-20,13.8226
2015-11-20,14.993
2015-12-20,15.5275
2016-01-20,15.2699
2016-02-20,14.4297
2016-03-20,14.59
2016-04-20,15.6042
2016-05-20,16.5384
2016-06-20,16.4316
2016-07-20,16.5635
2016-08-20,17.6011
2016-09-20,17.3205
2016-10-20,17.2333
2016-11-20,17.3612
2016-12-20,17.8368
2017-01-20,18.4328
2017-02-20,18.3723
2017-03-20,18.8751
