date,profit_margin
2004-01-20,5.3719
2004-02-20,5.9863
2004-03-20,5.903
2004-04-20,6.1188
2004-05-20,6.0917
2004-06-20,6.1797
2004-07-20,6.1496
2004-08-20,6.2813
2004-09-20,6.9354
2004-10-20,6.9354
2004-11-20,6.3634
2004-12-20,6.74
2005-01-20,7.0048
2005-02-20,6.5438
2005-03-20,6.6266
2005-04-20,6.9188
2005-05-20,6.1311
2005-06-20,6.1791
2005-07-20,6.2696
2005-08-20,6.2182
2005-09-20,6.2975
2005-10-20,6.2975
2005-11-20,6.5964
2005-12-20,6.4678
2006-01-20,6.4667
2006-02-20,4.6768
2006-03-20,4.7361
2006-04-20,5.0389
2006-05-20,5.0985
2006-06-20,5.3999
2006-07-20,5.413
2006-08-20,4.9853
2006-09-20,5.256
2006-10-20,5.256
2006-11-20,5.2918
2006-12-20,5.3065
2007-01-20,5.3065
2007-02-20,5.6919
2007-03-20,7.5854
2007-04-20,7.1196
2007-05-20,7.2576
2007-06-20,7.2055
2007-07-20,7.2055
2007-08-20,7.9209
2007-09-20,7.9128
2007-10-20,7.9083
2007-11-20,7.9083
2007-12-20,2.5226
2008-01-20,2.5226
2008-02-20,2.805
2008-03-20,2.0372
2008-04-20,2.0372
2008-05-20,2.0372
2008-06-20,1.4493
2008-07-20,1.4493
2008-08-20,1.4493
2008-09-20,-0.7085
2008-10-20,-0.7085
2008-11-20,4.0727
2008-12-20,4.3752
2009-01-20,4.3752
2009-02-20,4.3752
2009-03-20,3.0342
2009-04-20,3.0342
2009-05-20,3.0342
2009-06-20,2.2473
2009-07-20,2.2473
2009-08-20,2.2473
2009-09-20,7.9569
2009-10-20,7.9569
2009-11-20,7.6252
2009-12-20,7.7265
2010-01-20,7.7265
2010-02-20,7.7265
2010-03-20,8.294
2010-04-20,8.291
2010-05-20,8.7936
2010-06-20,8.7425
2010-07-20,8.7425
2010-08-20,9.1332
2010-09-20,9.187
2010-10-20,9.187
2010-11-20,9.4153
2010-12-20,9.5398
2011-01-20,9.5398
2011-02-20,9.4929
2011-03-20,9.7228
2011-04-20,9.7228
2011-05-20,9.9046
2011-06-20,10.0898
2011-07-20,10.0898
2011-08-20,9.7705
2011-09-20,9.9145
2011-10-20,9.9145
2011-11-20,9.9562
2011-12-20,9.8519
2012-01-20,9.8519
2012-02-20,9.4242
2012-03-20,9.2906
2012-04-20,9.2906
2012-05-20,9.4389
2012-06-20,9.1902
2012-07-20,9.1902
2012-08-20,9.7149
2012-09-20,9.1108
2012-10-20,9.1108
2012-11-20,9.1108
2012-12-20,8.5567
2013-01-20,8.5567
2013-02-20,8.5567
2013-03-20,8.65
2013-04-20,8.65
2013-05-20,9.2092
2013-06-20,8.881
2013-07-20,8.881
2013-08-20,8.881
2013-09-20,9.2255
2013-10-20,9.2255
2013-11-20,9.2255
2013-12-20,10.7843
2014-01-20,10.7843
2014-02-20,11.194
2014-03-20,11.1201
2014-04-20,11.1201
2014-05-20,11.1201
2014-06-20,10.9326
2014-07-20,10.9326
2014-08-20,10.9326
2014-09-20,11.0213
2014-10-20,11.0213
2014-11-20,11.3543
2014-12-20,11.0272
2015-01-20,11.0272
2015-02-20,11.0272
2015-03-20,10.9235
2015-04-20,10.9235
2015-05-20,10.9235
2015-06-20,10.9926
2015-07-20,10.9926
2015-08-20,10.9926
2015-09-20,10.5101
2015-10-20,10.5101
2015-11-20,10.5101
2015-12-20,10.5664
2016-01-20,10.5664
2016-02-20,10.5664
2016-03-20,10.1627
2016-04-20,10.1627
2016-05-20,10.2391
2016-06-20,9.7596
2016-07-20,9.7596
2016-08-20,9.9342
2016-09-20,9.5865
2016-10-20,9.5865
2016-11-20,10.0382
2016-12-20,9.6513
2017-01-20,9.6513
2017-02-20,10.1711
2017-03-20,9.7856
2017-04-20,9.7856
2017-05-20,10.394
2017-06-20,10.113
2017-07-20,10.113
2017-08-20,10.8904
2017-09-20,10.5972
2017-10-20,10.5972
2017-11-20,10.759
2017-12-20,10.4318
2018-01-20,10.4318
2018-02-20,10.4318
2018-03-20,8.6853
2018-04-20,8.6853
2018-05-20,8.8727
2018-06-20,8.9184
2018-07-20,8.9184
2018-08-20,8.8525
2018-09-20,8.9348
2018-10-20,8.9348
2018-11-20,8.9348
2018-12-20,9.4144
2019-01-20,9.4144
2019-02-20,9.4144
2019-03-20,10.9481
2019-04-20,10.9481
2019-05-20,10.7987
2019-06-20,11.0029
2019-07-20,10.9998
2019-08-20,10.9998
2019-09-20,10.346
2019-10-20,10.346
2019-11-20,10.346
2019-12-20,9.8579
2020-01-20,9.8579
2020-02-20,9.8579
2020-03-20,9.4389
2020-04-20,9.4389
2020-05-20,9.4389
2020-06-20,8.5359
2020-07-20,8.5359
2020-08-20,8.576
2020-09-20,7.419
2020-10-20,7.419
2020-11-20,7.419
2020-12-20,8.3633
2021-01-20,8.24
2021-02-20,8.24
2021-03-20,7.9328
2021-04-20,7.9328
2021-05-20,7.9328
2021-06-20,9.4957
2021-07-20,9.4957
2021-08-20,9.2918
2021-09-20,11.3277
2021-10-20,11.3277
2021-11-20,11.131
2021-12-20,11.9977
2022-01-20,11.9977
2022-02-20,11.829
2022-03-20,13.0775
2022-04-20,12.9473
2022-05-20,12.5994
2022-06-20,12.2972
2022-07-20,12.2972
2022-08-20,12.2972
2022-09-20,11.6538
2022-10-20,11.6538
2022-11-20,11.6538
2022-12-20,10.7691
2023-01-20,10.7691
2023-02-20,10.7691
2023-03-20,10.0916
2023-04-20,9.8026
2023-05-20,9.7874
2023-06-20,9.4653
2023-07-20,9.4653
2023-08-20,9.4653
2023-09-20,8.4642
2023-10-20,8.4642
2023-11-20,8.5558
2023-12-20,8.5539
2024-01-20,8.5539
2024-02-20,8.5539
2024-03-20,8.7551
2024-04-20,8.7551
2024-05-20,8.7551
2024-06-20,9.4704
2024-07-20,9.4704
2024-08-20,9.4704
2024-09-20,10.3355
2024-10-20,10.3355
2024-11-20,10.3355
2024-12-20,9.2243
2025-01-20,9.8007
2025-02-20,9.8007
2025-03-20,10.8412
2025-04-20,10.8412
2025-05-20,10.8412
2025-06-20,11.3104
2025-07-20,11.3104
2025-08-20,11.3104
2025-09-20,10.6175
2025-10-20,11.4435
2025-11-20,11.4435
2025-12-20,10.8677
2026-01-20,11.7433
2026-02-20,11.7433
2026-03-20,12.1997
2026-04-20,12.1997
