date,roa
2004-01-16,2.5212
2004-02-16,3.4389
2004-03-16,3.6491
2004-04-16,2.8205
2004-05-16,2.7781
2004-06-16,2.8878
2004-07-16,2.8449
2004-08-16,2.5681
2004-09-16,2.792
2004-10-16,2.7918
2004-11-16,2.7718
2004-12-16,2.9396
2005-01-16,2.9051
2005-02-16,3.5869
2005-03-16,4.132
2005-04-16,3.0554
2005-05-16,2.8727
2005-06-16,2.6642
2005-07-16,2.695
2005-08-16,2.6475
2005-09-16,2.7562
2005-10-16,2.7562
2005-11-16,2.8517
2005-12-16,2.9062
2006-01-16,2.9062
2006-02-16,1.8401
2006-03-16,2.2679
2006-04-16,2.1659
2006-05-16,2.3607
2006-06-16,2.3568
2006-07-16,2.3625
2006-08-16,2.2499
2006-09-16,2.2146
2006-10-16,2.2146
2006-11-16,2.3832
2006-12-16,2.4317
2007-01-16,2.4318
2007-02-16,2.4442
2007-03-16,4.8144
2007-04-16,3.6349
2007-05-16,3.6431
2007-06-16,3.6014
2007-07-16,3.6014
2007-08-16,3.8051
2007-09-16,3.8835
2007-10-16,3.8821
2007-11-16,3.8821
2007-12-16,1.2436
2008-01-16,1.2436
2008-02-16,1.3908
2008-03-16,1.0017
2008-04-16,1.0017
2008-05-16,1.0017
2008-06-16,0.6587
2008-07-16,0.6587
2008-08-16,0.6587
2008-09-16,-0.3278
2008-10-16,-0.3278
2008-11-16,1.9737
2008-12-16,2.2751
2009-01-16,2.2751
2009-02-16,2.2751
2009-03-16,1.5731
2009-04-16,1.5731
2009-05-16,1.5731
2009-06-16,1.1384
2009-07-16,1.1384
2009-08-16,1.1384
2009-09-16,3.8281
2009-10-16,3.8281
2009-11-16,3.3075
2009-12-16,3.5442
2010-01-16,3.5442
2010-02-16,3.5442
2010-03-16,3.708
2010-04-16,3.8715
2010-05-16,3.9209
2010-06-16,4.0029
2010-07-16,4.0029
2010-08-16,4.1313
2010-09-16,4.3505
2010-10-16,4.3505
2010-11-16,4.326
2010-12-16,4.4736
2011-01-16,4.4736
2011-02-16,3.5097
2011-03-16,4.6386
2011-04-16,4.6388
2011-05-16,4.6412
2011-06-16,4.848
2011-07-16,4.848
2011-08-16,4.5022
2011-09-16,4.8134
2011-10-16,4.8134
2011-11-16,4.7881
2011-12-16,4.888
2012-01-16,4.888
2012-02-16,3.3948
2012-03-16,4.6728
2012-04-16,4.6728
2012-05-16,4.5183
2012-06-16,4.6447
2012-07-16,4.6447
2012-08-16,4.5213
2012-09-16,4.6116
2012-10-16,4.6116
2012-11-16,4.6116
2012-12-16,4.442
2013-01-16,4.442
2013-02-16,4.442
2013-03-16,4.4519
2013-04-16,4.4519
2013-05-16,4.4156
2013-06-16,4.5518
2013-07-16,4.5518
2013-08-16,4.5518
2013-09-16,4.7288
2013-10-16,4.7288
2013-11-16,4.7288
2013-12-16,3.4807
2014-01-16,3.4748
2014-02-16,4.8594
2014-03-16,3.6264
2014-04-16,3.6264
2014-05-16,3.6264
2014-06-16,3.565
2014-07-16,3.565
2014-08-16,3.565
2014-09-16,3.6819
2014-10-16,3.6819
2014-11-16,3.3858
2014-12-16,3.6928
2015-01-16,3.6928
2015-02-16,3.6928
2015-03-16,3.6356
2015-04-16,3.6356
2015-05-16,3.6356
2015-06-16,3.6653
2015-07-16,3.6653
2015-08-16,3.6653
2015-09-16,3.4882
2015-10-16,3.4882
2015-11-16,3.4882
2015-12-16,3.4313
2016-01-16,3.4313
2016-02-16,3.4313
2016-03-16,3.2517
2016-04-16,3.2517
2016-05-16,3.0603
2016-06-16,3.0648
2016-07-16,3.0648
2016-08-16,2.8431
2016-09-16,2.9547
2016-10-16,2.9547
2016-11-16,2.8556
2016-12-16,2.9694
2017-01-16,2.9694
2017-02-16,4.1903
2017-03-16,2.9561
2017-04-16,3.0626
2017-05-16,3.0649
2017-06-16,3.1303
2017-07-16,3.1303
2017-08-16,3.1934
2017-09-16,3.2393
2017-10-16,3.2393
2017-11-16,2.9813
2017-12-16,3.1547
2018-01-16,3.1547
2018-02-16,3.1547
2018-03-16,2.6634
2018-04-16,2.6634
2018-05-16,2.5772
2018-06-16,2.6921
2018-07-16,2.6921
2018-08-16,2.8025
2018-09-16,2.9575
2018-10-16,2.9575
2018-11-16,2.9575
2018-12-16,3.1845
2019-01-16,3.1845
2019-02-16,3.1845
2019-03-16,3.7955
2019-04-16,3.7955
2019-05-16,3.4979
2019-06-16,3.7198
2019-07-16,3.7198
2019-08-16,3.7198
2019-09-16,3.495
2019-10-16,3.495
2019-11-16,3.495
2019-12-16,3.2468
2020-01-16,3.2468
2020-02-16,3.2468
2020-03-16,3.063
2020-04-16,3.063
2020-05-16,3.063
2020-06-16,2.5925
2020-07-16,2.5925
2020-08-16,2.5925
2020-09-16,2.0907
2020-10-16,2.0907
2020-11-16,2.0907
2020-12-16,2.1902
2021-01-16,2.2333
2021-02-16,2.2333
2021-03-16,2.1014
2021-04-16,2.1014
