date,roc
2004-01-16,4.4993
2004-02-16,6.4555
2004-03-16,6.8481
2004-04-16,4.9791
2004-05-16,4.6995
2004-06-16,4.8874
2004-07-16,4.8149
2004-08-16,4.5921
2004-09-16,4.9485
2004-10-16,5.0277
2004-11-16,5.0368
2004-12-16,5.0676
2005-01-16,5.0087
2005-02-16,6.4137
2005-03-16,7.3061
2005-04-16,5.1479
2005-05-16,4.8583
2005-06-16,4.7724
2005-07-16,4.8357
2005-08-16,4.6811
2005-09-16,4.953
2005-10-16,4.953
2005-11-16,5.1538
2005-12-16,5.2497
2006-01-16,5.2488
2006-02-16,3.1363
2006-03-16,3.8993
2006-04-16,4.1594
2006-05-16,4.3291
2006-06-16,4.3141
2006-07-16,4.3241
2006-08-16,4.0569
2006-09-16,5.1759
2006-10-16,5.1759
2006-11-16,5.915
2006-12-16,5.952
2007-01-16,5.952
2007-02-16,5.9824
2007-03-16,8.6229
2007-04-16,7.593
2007-05-16,7.4701
2007-06-16,7.3775
2007-07-16,7.3775
2007-08-16,7.6885
2007-09-16,7.7911
2007-10-16,7.782
2007-11-16,7.782
2007-12-16,2.6014
2008-01-16,2.6014
2008-02-16,2.9091
2008-03-16,2.125
2008-04-16,2.125
2008-05-16,2.125
2008-06-16,1.3821
2008-07-16,1.3821
2008-08-16,1.3821
2008-09-16,-0.6905
2008-10-16,-0.6905
2008-11-16,3.8897
2008-12-16,4.4936
2009-01-16,4.4936
2009-02-16,4.4936
2009-03-16,3.352
2009-04-16,3.352
2009-05-16,3.3522
2009-06-16,2.3241
2009-07-16,2.3242
2009-08-16,2.3242
2009-09-16,7.155
2009-10-16,7.1555
2009-11-16,6.2436
2009-12-16,6.6469
2010-01-16,6.6473
2010-02-16,6.6473
2010-03-16,7.1386
2010-04-16,7.322
2010-05-16,6.8262
2010-06-16,7.3684
2010-07-16,7.3688
2010-08-16,7.2901
2010-09-16,8.085
2010-10-16,8.0855
2010-11-16,7.6492
2010-12-16,8.2764
2011-01-16,8.2769
2011-02-16,7.0544
2011-03-16,8.7805
2011-04-16,8.7816
2011-05-16,8.2502
2011-06-16,9.1455
2011-07-16,9.146
2011-08-16,8.4357
2011-09-16,9.1613
2011-10-16,9.1618
2011-11-16,8.7962
2011-12-16,9.4244
2012-01-16,9.4248
2012-02-16,7.4509
2012-03-16,9.4068
2012-04-16,9.407
2012-05-16,8.5045
2012-06-16,9.2001
2012-07-16,9.2004
2012-08-16,8.6799
2012-09-16,9.0789
2012-10-16,9.0792
2012-11-16,9.0792
2012-12-16,8.7725
2013-01-16,8.7727
2013-02-16,8.7727
2013-03-16,8.9887
2013-04-16,9.0023
2013-05-16,8.4064
2013-06-16,9.1001
2013-07-16,9.1135
2013-08-16,9.1135
2013-09-16,9.4641
2013-10-16,9.4779
2013-11-16,9.4779
2013-12-16,6.1982
2014-01-16,6.1825
2014-02-16,9.8829
2014-03-16,6.3917
2014-04-16,6.3963
2014-05-16,6.3963
2014-06-16,6.3365
2014-07-16,6.3365
2014-08-16,6.3412
2014-09-16,6.5738
2014-10-16,6.6218
2014-11-16,5.9502
2014-12-16,6.7559
2015-01-16,6.76
2015-02-16,6.76
2015-03-16,6.9147
2015-04-16,6.9147
2015-05-16,6.9187
2015-06-16,6.9966
2015-07-16,7.0001
2015-08-16,7.0001
2015-09-16,6.5191
2015-10-16,6.5224
2015-11-16,6.5224
2015-12-16,6.4671
2016-01-16,6.4703
2016-02-16,6.4703
2016-03-16,6.1498
2016-04-16,6.1527
2016-05-16,5.7849
2016-06-16,5.8022
2016-07-16,5.8049
2016-08-16,5.5526
2016-09-16,5.6481
2016-10-16,5.6481
2016-11-16,5.3537
2016-12-16,5.6294
2017-01-16,5.6316
2017-02-16,9.2071
2017-03-16,5.6688
2017-04-16,5.8547
2017-05-16,5.7381
2017-06-16,5.9729
2017-07-16,5.9754
2017-08-16,6.0209
2017-09-16,6.036
2017-10-16,6.036
2017-11-16,5.6816
2017-12-16,5.8738
2018-01-16,5.8768
2018-02-16,5.8768
2018-03-16,4.9466
2018-04-16,4.9489
2018-05-16,4.746
2018-06-16,4.9946
2018-07-16,4.9968
2018-08-16,5.1842
2018-09-16,5.5386
2018-10-16,5.541
2018-11-16,5.541
2018-12-16,5.984
2019-01-16,5.984
2019-02-16,5.984
2019-03-16,7.2332
2019-04-16,7.2332
2019-05-16,6.358
2019-06-16,7.0209
2019-07-16,7.0234
2019-08-16,7.0234
2019-09-16,6.6527
2019-10-16,6.6554
2019-11-16,6.6554
2019-12-16,6.1277
2020-01-16,6.1301
2020-02-16,6.1307
2020-03-16,5.8138
2020-04-16,5.8138
2020-05-16,5.8138
2020-06-16,5.1001
2020-07-16,5.1001
2020-08-16,5.1001
2020-09-16,4.1363
2020-10-16,4.136
2020-11-16,4.136
2020-12-16,4.3248
2021-01-16,4.404
2021-02-16,4.404
2021-03-16,4.1578
2021-04-16,4.1523
2021-05-16,4.1523
2021-06-16,4.6155
2021-07-16,4.6153
2021-08-16,4.6152
2021-09-16,5.4893
2021-10-16,5.4889
2021-11-16,5.4956
2021-12-16,5.9354
2022-01-16,5.935
2022-02-16,5.9466
2022-03-16,6.4323
2022-04-16,6.6349
2022-05-16,6.0298
2022-06-16,6.2634
2022-07-16,6.2629
2022-08-16,6.2629
2022-09-16,6.0262
2022-10-16,6.0259
2022-11-16,6.0259
2022-12-16,5.9204
2023-01-16,5.9195
2023-02-16,5.9195
2023-03-16,5.8442
2023-04-16,5.7527
2023-05-16,5.0925
2023-06-16,5.1714
2023-07-16,5.1714
2023-08-16,5.1714
2023-09-16,4.6422
2023-10-16,4.6422
2023-11-16,4.382
2023-12-16,4.7969
2024-01-16,4.7969
2024-02-16,4.7969
2024-03-16,4.8037
2024-04-16,4.8025
2024-05-16,4.8025
2024-06-16,4.7006
2024-07-16,4.7006
2024-08-16,4.7006
2024-09-16,5.2161
2024-10-16,5.2161
2024-11-16,5.2161
2024-12-16,4.6104
2025-01-16,4.8006
2025-02-16,4.8006
2025-03-16,5.4763
2025-04-16,5.4753
2025-05-16,5.4753
2025-06-16,5.5347
2025-07-16,5.5347
2025-08-16,5.5347
2025-09-16,5.2397
2025-10-16,5.5157
2025-11-16,5.5157
2025-12-16,5.4055
2026-01-16,5.6713
2026-02-16,5.6713
2026-03-16,5.9414
2026-04-16,5.9352
