date,roce
2004-01-20,17.4265
2004-02-20,18.8818
2004-03-20,18.6572
2004-04-20,17.8017
2004-05-20,17.4831
2004-06-20,18.0655
2004-07-20,17.8141
2004-08-20,17.3619
2004-09-20,18.5633
2004-10-20,18.575
2004-11-20,18.2114
2004-12-20,18.586
2005-01-20,18.3764
2005-02-20,18.6716
2005-03-20,18.633
2005-04-20,18.3551
2005-05-20,17.2243
2005-06-20,16.6373
2005-07-20,16.8683
2005-08-20,17.0719
2005-09-20,17.449
2005-10-20,17.449
2005-11-20,19.0208
2005-12-20,18.4753
2006-01-20,18.4753
2006-02-20,13.2945
2006-03-20,14.2531
2006-04-20,13.6874
2006-05-20,15.4144
2006-06-20,14.8814
2006-07-20,14.9122
2006-08-20,14.6909
2006-09-20,14.4381
2006-10-20,14.4381
2006-11-20,15.8307
2006-12-20,15.5347
2007-01-20,15.5347
2007-02-20,15.6175
2007-03-20,21.3318
2007-04-20,21.3373
2007-05-20,22.3389
2007-06-20,21.8787
2007-07-20,21.8787
2007-08-20,23.9296
2007-09-20,24.3526
2007-10-20,24.2838
2007-11-20,24.2838
2007-12-20,9.1355
2008-01-20,9.1355
2008-02-20,10.2199
2008-03-20,6.9974
2008-04-20,6.9974
2008-05-20,6.9974
2008-06-20,4.7606
2008-07-20,4.7606
2008-08-20,4.7606
2008-09-20,-2.5607
2008-10-20,-2.5607
2008-11-20,13.5495
2008-12-20,16.1729
2009-01-20,16.1729
2009-02-20,16.1729
2009-03-20,15.6074
2009-04-20,15.6074
2009-05-20,15.6074
2009-06-20,10.1299
2009-07-20,10.1299
2009-08-20,10.1299
2009-09-20,17.2853
2009-10-20,17.2853
2009-11-20,14.8806
2009-12-20,15.5235
2010-01-20,15.5235
2010-02-20,15.5235
2010-03-20,15.432
2010-04-20,15.9782
2010-05-20,16.4379
2010-06-20,16.8627
2010-07-20,16.8627
2010-08-20,17.1391
2010-09-20,18.0723
2010-10-20,18.0724
2010-11-20,17.5987
2010-12-20,18.4899
2011-01-20,18.4899
2011-02-20,17.6319
2011-03-20,19.1619
2011-04-20,19.1645
2011-05-20,18.9204
2011-06-20,19.7633
2011-07-20,19.7633
2011-08-20,18.3667
2011-09-20,19.5601
2011-10-20,19.5603
2011-11-20,19.4083
2011-12-20,20.1156
2012-01-20,20.1156
2012-02-20,19.1263
2012-03-20,19.8965
2012-04-20,19.8965
2012-05-20,18.8468
2012-06-20,19.2665
2012-07-20,19.2665
2012-08-20,19.9908
2012-09-20,19.1033
2012-10-20,19.1034
2012-11-20,19.1034
2012-12-20,18.2244
2013-01-20,18.2244
2013-02-20,18.2244
2013-03-20,18.5234
2013-04-20,18.5234
2013-05-20,18.1237
2013-06-20,18.686
2013-07-20,18.686
2013-08-20,18.686
2013-09-20,19.4541
2013-10-20,19.4542
2013-11-20,19.4542
2013-12-20,18.9573
2014-01-20,18.8417
2014-02-20,18.7647
2014-03-20,18.7218
2014-04-20,18.7218
2014-05-20,18.7218
2014-06-20,18.5087
2014-07-20,18.5087
2014-08-20,18.5087
2014-09-20,18.5477
2014-10-20,18.5476
2014-11-20,19.3667
2014-12-20,18.9031
2015-01-20,18.9031
2015-02-20,18.9031
2015-03-20,19.2601
2015-04-20,19.2601
2015-05-20,19.2601
2015-06-20,19.7686
2015-07-20,19.7686
2015-08-20,19.7686
2015-09-20,18.6276
2015-10-20,18.6276
2015-11-20,18.6276
2015-12-20,18.7039
2016-01-20,18.7039
2016-02-20,18.7039
2016-03-20,17.8357
2016-04-20,17.8357
2016-05-20,16.9664
2016-06-20,17.1135
2016-07-20,17.1135
2016-08-20,17.0235
2016-09-20,16.9016
2016-10-20,16.9016
2016-11-20,17.2105
2016-12-20,16.9524
2017-01-20,16.9524
2017-02-20,17.9634
2017-03-20,18.582
2017-04-20,17.7858
2017-05-20,17.6643
2017-06-20,18.3738
2017-07-20,18.3738
2017-08-20,19.4712
2017-09-20,19.2396
2017-10-20,19.2396
2017-11-20,19.1744
2017-12-20,18.3358
2018-01-20,18.3358
2018-02-20,18.3358
2018-03-20,15.9458
2018-04-20,15.9458
2018-05-20,15.5403
2018-06-20,16.681
2018-07-20,16.681
2018-08-20,18.1514
2018-09-20,17.9803
2018-10-20,17.9803
2018-11-20,17.9803
2018-12-20,19.2825
2019-01-20,19.2825
2019-02-20,19.2825
2019-03-20,22.6559
2019-04-20,22.6559
2019-05-20,21.0585
2019-06-20,22.3811
2019-07-20,22.3811
2019-08-20,22.3811
2019-09-20,21.7465
2019-10-20,21.7465
2019-11-20,21.7465
2019-12-20,20.8044
2020-01-20,20.8044
2020-02-20,20.8044
2020-03-20,19.8638
2020-04-20,19.8638
2020-05-20,19.8638
2020-06-20,18.3264
2020-07-20,18.3264
2020-08-20,18.3264
2020-09-20,15.1556
2020-10-20,15.1556
2020-11-20,15.1556
2020-12-20,15.9575
2021-01-20,16.1382
2021-02-20,16.1382
2021-03-20,15.341
2021-04-20,15.3898
2021-05-20,15.3898
2021-06-20,17.9889
2021-07-20,17.9889
2021-08-20,17.9707
2021-09-20,21.301
2021-10-20,21.301
2021-11-20,21.3087
2021-12-20,22.7673
2022-01-20,22.7673
2022-02-20,22.7934
2022-03-20,25.7931
2022-04-20,24.9458
2022-05-20,24.6636
2022-06-20,24.3238
2022-07-20,24.3238
2022-08-20,24.3238
2022-09-20,23.4486
2022-10-20,23.4486
2022-11-20,23.4486
2022-12-20,22.2502
2023-01-20,22.2502
2023-02-20,22.2502
2023-03-20,21.3658
2023-04-20,20.3923
2023-05-20,20.4084
2023-06-20,19.8121
2023-07-20,19.8121
2023-08-20,19.8121
2023-09-20,18.1946
2023-10-20,18.1946
2023-11-20,18.8448
2023-12-20,18.7632
2024-01-20,18.7632
2024-02-20,18.7632
2024-03-20,19.2594
2024-04-20,19.2594
2024-05-20,19.2594
2024-06-20,19.3202
2024-07-20,19.3202
2024-08-20,19.3202
2024-09-20,21.1571
2024-10-20,21.1571
2024-11-20,21.1571
2024-12-20,19.0106
2025-01-20,19.7972
2025-02-20,19.7972
2025-03-20,21.9466
2025-04-20,21.9466
2025-05-20,21.9466
2025-06-20,22.7977
2025-07-20,22.7977
2025-08-20,22.7977
2025-09-20,21.7623
2025-10-20,22.9039
2025-11-20,22.9039
2025-12-20,21.9834
2026-01-20,23.0738
2026-02-20,23.0738
2026-03-20,23.4869
2026-04-20,23.5963
