date,div_yield
2004-01-16,3.1074
2004-02-16,3.1535
2004-03-16,3.1544
2004-04-16,3.2462
2004-05-16,3.3336
2004-06-16,3.2723
2004-07-16,3.395
2004-08-16,3.4653
2004-09-16,3.3109
2004-10-16,3.2557
2004-11-16,3.1681
2004-12-16,3.2451
2005-01-16,3.0629
2005-02-16,3.0743
2005-03-16,3.2146
2005-04-16,3.2499
2005-05-16,3.2998
2005-06-16,3.2729
2005-07-16,3.1702
2005-08-16,3.0374
2005-09-16,3.0185
2005-10-16,3.0949
2005-11-16,3.088
2005-12-16,3.0632
2006-01-16,2.9497
2006-02-16,2.9823
2006-03-16,2.9793
2006-04-16,3.003
2006-05-16,3.1902
2006-06-16,3.4209
2006-07-16,3.3455
2006-08-16,3.2778
2006-09-16,3.315
2006-10-16,3.1227
2006-11-16,3.1017
2006-12-16,3.1076
2007-01-16,3.1349
2007-02-16,3.053
2007-03-16,3.2682
2007-04-16,3.1013
2007-05-16,3.143
2007-06-16,3.1063
2007-07-16,3.1418
2007-08-16,3.6486
2007-09-16,3.4408
2007-10-16,3.2757
2007-11-16,3.4388
2007-12-16,3.4045
2008-01-16,3.6635
2008-02-16,3.7868
2008-03-16,4.0031
2008-04-16,3.6789
2008-05-16,3.6641
2008-06-16,4.0432
2008-07-16,4.5424
2008-08-16,4.1969
2008-09-16,4.6103
2008-10-16,5.9689
2008-11-16,5.5736
2008-12-16,5.578
2009-01-16,5.8056
2009-02-16,5.8794
2009-03-16,5.5231
2009-04-16,5.1548
2009-05-16,4.8983
2009-06-16,4.8482
2009-07-16,4.7754
2009-08-16,4.3239
2009-09-16,3.7972
2009-10-16,3.7178
2009-11-16,3.5681
2009-12-16,3.5555
2010-01-16,3.4453
2010-02-16,3.6096
2010-03-16,3.3595
2010-04-16,3.2537
2010-05-16,3.4511
2010-06-16,3.4091
2010-07-16,3.4549
2010-08-16,3.4681
2010-09-16,3.3521
2010-10-16,3.2527
2010-11-16,3.274
2010-12-16,3.1719
2011-01-16,3.0066
2011-02-16,3.1235
2011-03-16,3.4484
2011-04-16,3.1553
2011-05-16,3.2933
2011-06-16,3.4471
2011-07-16,3.3966
2011-08-16,3.7953
2011-09-16,3.826
2011-10-16,3.7625
2011-11-16,3.9583
2011-12-16,4.07
2012-01-16,3.8645
2012-02-16,3.7381
2012-03-16,3.7541
2012-04-16,3.8985
2012-05-16,4.2101
2012-06-16,4.1812
2012-07-16,4.0586
2012-08-16,4.0223
2012-09-16,3.9778
2012-10-16,4.03
2012-11-16,4.1061
2012-12-16,3.9311
2013-01-16,3.8218
2013-02-16,3.7082
2013-03-16,3.6501
2013-04-16,3.7998
2013-05-16,3.5933
2013-06-16,3.8537
2013-07-16,3.6987
2013-08-16,3.7634
2013-09-16,3.7271
2013-10-16,3.7114
2013-11-16,3.675
2013-12-16,3.777
2014-01-16,3.6124
2014-02-16,3.7053
2014-03-16,4.812
2014-04-16,4.7307
2014-05-16,4.544
2014-06-16,4.565
2014-07-16,4.6247
2014-08-16,4.7005
2014-09-16,4.6262
2014-10-16,5.0617
2014-11-16,4.7063
2014-12-16,4.8855
2015-01-16,4.6787
2015-02-16,4.4918
2015-03-16,3.8289
2015-04-16,3.7345
2015-05-16,3.7537
2015-06-16,3.8795
2015-07-16,3.7613
2015-08-16,3.9491
2015-09-16,4.1621
2015-10-16,4.0706
2015-11-16,4.2455
2015-12-16,4.3482
2016-01-16,4.5409
2016-02-16,4.6367
2016-03-16,4.3304
2016-04-16,4.3663
2016-05-16,4.5216
2016-06-16,4.6542
2016-07-16,4.1324
2016-08-16,4.0129
2016-09-16,4.1288
2016-10-16,3.9969
2016-11-16,4.2222
2016-12-16,4.0771
2017-01-16,3.8907
2017-02-16,3.8915
2017-03-16,3.8481
2017-04-16,3.879
2017-05-16,3.7647
2017-06-16,4.0117
2017-07-16,4.1262
2017-08-16,4.1514
2017-09-16,4.3644
2017-10-16,4.193
2017-11-16,4.2733
2017-12-16,4.2214
2018-01-16,4.0882
2018-02-16,4.3128
2018-03-16,4.4535
2018-04-16,4.4623
2018-05-16,4.1868
2018-06-16,4.1588
2018-07-16,4.1185
2018-08-16,4.2028
2018-09-16,4.349
2018-10-16,4.5173
2018-11-16,4.6025
2018-12-16,4.7333
2019-01-16,4.927
2019-02-16,4.7015
2019-03-16,4.88
2019-04-16,4.7542
2019-05-16,4.9492
2019-06-16,4.8414
2019-07-16,4.74
2019-08-16,5.1755
2019-09-16,5.0529
2019-10-16,5.0586
2019-11-16,4.9362
2019-12-16,4.7921
2020-01-16,4.6227
2020-02-16,4.7357
2020-03-16,6.3476
2020-04-16,5.534
2020-05-16,4.964
2020-06-16,4.4087
2020-07-16,4.26
2020-08-16,4.0216
2020-09-16,3.9557
2020-10-16,3.8434
2020-11-16,3.3889
2020-12-16,3.2229
2021-01-16,3.1386
2021-02-16,3.3629
2021-03-16,3.4063
2021-04-16,3.42
2021-05-16,3.3565
2021-06-16,3.303
2021-07-16,3.3994
2021-08-16,3.5729
2021-09-16,4.0836
2021-10-16,4.0041
2021-11-16,3.8612
2021-12-16,3.9167
2022-01-16,3.7766
2022-02-16,3.3852
2022-03-16,3.7827
2022-04-16,3.6723
2022-05-16,4.0357
2022-06-16,4.3268
2022-07-16,4.1789
2022-08-16,3.9279
2022-09-16,3.8826
2022-10-16,4.088
2022-11-16,3.841
2022-12-16,3.8308
2023-01-16,3.5757
2023-02-16,3.5569
2023-03-16,4.4107
2023-04-16,4.1618
2023-05-16,4.0447
2023-06-16,4.1351
2023-07-16,4.2414
2023-08-16,4.1923
2023-09-16,3.9343
2023-10-16,3.9627
2023-11-16,4.0696
2023-12-16,3.9889
2024-01-16,3.9977
2024-02-16,3.9804
2024-03-16,4.0249
2024-04-16,3.9619
2024-05-16,3.777
2024-06-16,3.9817
2024-07-16,3.9718
2024-08-16,3.9111
2024-09-16,3.835
2024-10-16,3.7981
2024-11-16,3.9265
2024-12-16,3.815
2025-01-16,3.7437
2025-02-16,3.5648
2025-03-16,3.6455
2025-04-16,3.8024
2025-05-16,3.5319
2025-06-16,3.4391
2025-07-16,3.4326
2025-08-16,3.3774
2025-09-16,3.3402
2025-10-16,3.2304
2025-11-16,3.1593
2025-12-16,3.1785
2026-01-16,3.0284
2026-02-16,3.0195
