date,ebitda_margin
2004-01-20,16.7011
2004-02-20,16.7011
2004-03-20,15.5003
2004-04-20,16.0165
2004-05-20,15.1879
2004-06-20,16.0474
2004-07-20,16.8024
2004-08-20,16.0325
2004-09-20,16.8952
2004-10-20,16.8952
2004-11-20,16.8952
2004-12-20,16.262
2005-01-20,16.3001
2005-02-20,16.3082
2005-03-20,17.4784
2005-04-20,16.3541
2005-05-20,15.2654
2005-06-20,14.4963
2005-07-20,14.6263
2005-08-20,14.6263
2005-09-20,15.7576
2005-10-20,16.2252
2005-11-20,15.8625
2005-12-20,15.6425
2006-01-20,15.7919
2006-02-20,19.2152
2006-03-20,17.15
2006-04-20,17.7938
2006-05-20,14.5129
2006-06-20,14.5569
2006-07-20,14.3758
2006-08-20,12.7938
2006-09-20,15.8079
2006-10-20,15.7146
2006-11-20,15.3507
2006-12-20,14.9592
2007-01-20,14.9573
2007-02-20,13.6942
2007-03-20,13.8454
2007-04-20,16.7922
2007-05-20,16.4218
2007-06-20,15.9691
2007-07-20,15.8144
2007-08-20,15.685
2007-09-20,16.5264
2007-10-20,16.544
2007-11-20,16.5531
2007-12-20,16.4648
2008-01-20,16.4474
2008-02-20,17.848
2008-03-20,17.4696
2008-04-20,16.6119
2008-05-20,16.6909
2008-06-20,16.2698
2008-07-20,16.1059
2008-08-20,17.1823
2008-09-20,17.0831
2008-10-20,17.1246
2008-11-20,17.1762
2008-12-20,16.6851
2009-01-20,16.6682
2009-02-20,17.1479
2009-03-20,16.8144
2009-04-20,16.533
2009-05-20,16.563
2009-06-20,16.3131
2009-07-20,16.0636
2009-08-20,14.4867
2009-09-20,13.0704
2009-10-20,13.0696
2009-11-20,13.2879
2009-12-20,13.3134
2010-01-20,13.2768
2010-02-20,14.1309
2010-03-20,13.9128
2010-04-20,13.861
2010-05-20,13.853
2010-06-20,13.8164
2010-07-20,13.7225
2010-08-20,15.2891
2010-09-20,14.1819
2010-10-20,14.1678
2010-11-20,13.8572
2010-12-20,13.8397
2011-01-20,13.7861
2011-02-20,14.6277
2011-03-20,14.787
2011-04-20,15.0432
2011-05-20,14.8942
2011-06-20,14.6643
2011-07-20,14.4354
2011-08-20,14.7532
2011-09-20,17.0568
2011-10-20,17.074
2011-11-20,17.3141
2011-12-20,16.6445
2012-01-20,16.5985
2012-02-20,16.387
2012-03-20,16.8417
2012-04-20,16.3511
2012-05-20,16.4956
2012-06-20,16.1577
2012-07-20,16.1583
2012-08-20,16.0098
2012-09-20,14.5518
2012-10-20,14.5572
2012-11-20,14.5674
2012-12-20,14.2588
2013-01-20,14.2715
2013-02-20,14.125
2013-03-20,13.7899
2013-04-20,12.8119
2013-05-20,12.7489
2013-06-20,12.8389
2013-07-20,12.687
2013-08-20,13.4134
2013-09-20,13.4622
2013-10-20,13.4556
2013-11-20,14.0547
2013-12-20,13.9266
2014-01-20,13.8895
2014-02-20,14.6664
2014-03-20,14.8385
2014-04-20,14.0709
2014-05-20,14.0573
2014-06-20,14.0316
2014-07-20,13.4608
2014-08-20,12.8579
2014-09-20,13.6981
2014-10-20,13.6832
2014-11-20,13.663
2014-12-20,13.5667
2015-01-20,13.5415
2015-02-20,13.8192
2015-03-20,13.7435
2015-04-20,11.9803
2015-05-20,11.7302
2015-06-20,11.6576
2015-07-20,11.6629
2015-08-20,12.1075
2015-09-20,12.1807
2015-10-20,12.1043
2015-11-20,11.9998
2015-12-20,11.9654
2016-01-20,11.9129
2016-02-20,11.8753
2016-03-20,11.9017
2016-04-20,12.9191
2016-05-20,12.9691
2016-06-20,12.9475
2016-07-20,12.9572
2016-08-20,11.7408
2016-09-20,11.2015
2016-10-20,11.2189
2016-11-20,11.2254
2016-12-20,10.9102
2017-01-20,10.8911
2017-02-20,12.4406
2017-03-20,12.4297
2017-04-20,12.6372
2017-05-20,12.6825
2017-06-20,12.4868
2017-07-20,12.44
2017-08-20,14.336
2017-09-20,14.8454
2017-10-20,14.8562
2017-11-20,14.73
2017-12-20,14.873
2018-01-20,14.8469
2018-02-20,16.3161
2018-03-20,16.2718
2018-04-20,15.3602
2018-05-20,15.307
2018-06-20,15.15
2018-07-20,15.1597
2018-08-20,15.9662
2018-09-20,16.3497
2018-10-20,16.3106
2018-11-20,16.3337
2018-12-20,16.1367
2019-01-20,16.0919
2019-02-20,16.0793
2019-03-20,16.6179
2019-04-20,16.6936
2019-05-20,16.4414
2019-06-20,16.4003
2019-07-20,16.4043
2019-08-20,17.0043
2019-09-20,16.2429
2019-10-20,16.2098
2019-11-20,16.2341
2019-12-20,16.3721
2020-01-20,16.3345
2020-02-20,17.3125
2020-03-20,16.1268
2020-04-20,14.5525
2020-05-20,14.3853
2020-06-20,14.3583
2020-07-20,14.3302
2020-08-20,14.1613
2020-09-20,13.8793
2020-10-20,13.7199
2020-11-20,13.7006
2020-12-20,13.6767
2021-01-20,13.6784
2021-02-20,13.6427
2021-03-20,13.5243
2021-04-20,13.6606
2021-05-20,14.0433
2021-06-20,13.9755
2021-07-20,13.9895
2021-08-20,17.7175
2021-09-20,19.4408
2021-10-20,19.4253
2021-11-20,19.405
2021-12-20,19.3811
2022-01-20,19.3831
2022-02-20,20.6429
2022-03-20,19.9572
2022-04-20,19.9529
2022-05-20,19.9228
2022-06-20,20.0969
2022-07-20,20.0728
2022-08-20,18.5857
2022-09-20,20.8702
2022-10-20,20.7518
2022-11-20,20.7743
2022-12-20,20.6836
2023-01-20,20.6275
2023-02-20,19.4577
2023-03-20,19.4161
2023-04-20,21.0201
2023-05-20,20.8743
2023-06-20,20.8903
2023-07-20,20.8877
2023-08-20,21.9262
2023-09-20,21.2189
2023-10-20,20.583
2023-11-20,20.5993
2023-12-20,20.3937
2024-01-20,20.3473
2024-02-20,21.4811
2024-03-20,21.1014
2024-04-20,18.655
2024-05-20,18.5954
2024-06-20,18.4157
2024-07-20,18.4155
2024-08-20,18.4261
2024-09-20,18.7177
2024-10-20,18.5439
2024-11-20,18.5003
2024-12-20,18.5283
2025-01-20,18.5289
2025-02-20,18.6191
2025-03-20,17.7211
2025-04-20,16.5076
2025-05-20,16.5077
2025-06-20,16.3127
2025-07-20,16.3422
2025-08-20,17.3862
2025-09-20,17.9776
2025-10-20,17.8816
2025-11-20,17.8804
2025-12-20,17.7742
2026-01-20,17.7739
2026-02-20,19.1234
2026-03-20,18.5664
2026-04-20,18.7298
