date,ev_ebit
2004-01-20,24.4176
2004-02-20,24.5049
2004-03-20,23.8439
2004-04-20,20.217
2004-05-20,18.4584
2004-06-20,18.3871
2004-07-20,21.649
2004-08-20,21.3372
2004-09-20,19.9324
2004-10-20,16.8168
2004-11-20,16.8056
2004-12-20,19.6319
2005-01-20,19.6052
2005-02-20,19.5248
2005-03-20,20.8755
2005-04-20,19.5325
2005-05-20,19.3264
2005-06-20,16.3858
2005-07-20,19.0786
2005-08-20,22.9156
2005-09-20,19.0377
2005-10-20,19.1351
2005-11-20,16.8599
2005-12-20,16.8338
2006-01-20,16.8206
2006-02-20,17.2047
2006-03-20,16.9496
2006-04-20,17.7228
2006-05-20,17.55
2006-06-20,17.6354
2006-07-20,17.6262
2006-08-20,19.678
2006-09-20,16.9611
2006-10-20,16.8756
2006-11-20,17.0006
2006-12-20,17.6866
2007-01-20,17.6861
2007-02-20,19.8119
2007-03-20,19.9514
2007-04-20,16.3541
2007-05-20,16.2428
2007-06-20,17.0348
2007-07-20,17.1754
2007-08-20,17.2553
2007-09-20,17.0048
2007-10-20,16.9441
2007-11-20,16.9393
2007-12-20,15.8052
2008-01-20,15.8535
2008-02-20,15.0859
2008-03-20,15.3244
2008-04-20,16.2185
2008-05-20,16.1637
2008-06-20,16.3276
2008-07-20,16.4961
2008-08-20,14.6828
2008-09-20,15.6306
2008-10-20,15.626
2008-11-20,15.6381
2008-12-20,16.1396
2009-01-20,16.1554
2009-02-20,12.4079
2009-03-20,13.4307
2009-04-20,13.5137
2009-05-20,14.1018
2009-06-20,14.7793
2009-07-20,15.022
2009-08-20,9.174
2009-09-20,23.5496
2009-10-20,23.528
2009-11-20,21.0854
2009-12-20,21.7514
2010-01-20,21.7495
2010-02-20,20.848
2010-03-20,22.4146
2010-04-20,22.085
2010-05-20,19.387
2010-06-20,20.193
2010-07-20,20.1921
2010-08-20,17.9745
2010-09-20,15.813
2010-10-20,15.8058
2010-11-20,16.2377
2010-12-20,16.1628
2011-01-20,16.2048
2011-02-20,16.341
2011-03-20,16.6744
2011-04-20,15.6703
2011-05-20,15.848
2011-06-20,16.3406
2011-07-20,16.2287
2011-08-20,16.0446
2011-09-20,13.0139
2011-10-20,12.9862
2011-11-20,13.0534
2011-12-20,12.9854
2012-01-20,12.9862
2012-02-20,10.5264
2012-03-20,10.6506
2012-04-20,10.6102
2012-05-20,10.7156
2012-06-20,11.0855
2012-07-20,11.0857
2012-08-20,11.7836
2012-09-20,12.3375
2012-10-20,12.3233
2012-11-20,12.3981
2012-12-20,12.8134
2013-01-20,12.818
2013-02-20,14.0244
2013-03-20,14.6104
2013-04-20,15.92
2013-05-20,16.0612
2013-06-20,16.4644
2013-07-20,16.5453
2013-08-20,15.3015
2013-09-20,14.266
2013-10-20,14.3462
2013-11-20,14.2224
2013-12-20,14.5296
2014-01-20,14.5555
2014-02-20,14.4796
2014-03-20,15.229
2014-04-20,15.2434
2014-05-20,15.3276
2014-06-20,16.3568
2014-07-20,16.3474
2014-08-20,17.6789
2014-09-20,16.3735
2014-10-20,16.4379
2014-11-20,16.5787
2014-12-20,16.5974
2015-01-20,16.609
2015-02-20,15.882
2015-03-20,16.1716
2015-04-20,18.4011
2015-05-20,19.0014
2015-06-20,19.1197
2015-07-20,19.1095
2015-08-20,19.5857
2015-09-20,20.8107
2015-10-20,20.9872
2015-11-20,21.3431
2015-12-20,21.4751
2016-01-20,21.4687
2016-02-20,22.4379
2016-03-20,23.4744
2016-04-20,23.3083
2016-05-20,23.3025
2016-06-20,23.6676
2016-07-20,23.6851
2016-08-20,27.8361
2016-09-20,30.0441
2016-10-20,30.233
2016-11-20,30.0648
2016-12-20,31.7417
2017-01-20,31.748
2017-02-20,26.5378
2017-03-20,29.4299
2017-04-20,21.8795
2017-05-20,21.8806
2017-06-20,23.8803
2017-07-20,24.0137
2017-08-20,21.107
2017-09-20,19.1236
2017-10-20,19.0861
2017-11-20,19.1364
2017-12-20,19.2649
2018-01-20,19.2649
2018-02-20,16.7853
2018-03-20,17.4167
2018-04-20,16.9594
2018-05-20,17.0235
2018-06-20,17.3028
2018-07-20,17.2934
2018-08-20,15.6591
2018-09-20,15.1499
2018-10-20,15.2549
2018-11-20,15.3003
2018-12-20,15.6007
2019-01-20,15.6043
2019-02-20,13.7193
2019-03-20,11.6432
2019-04-20,11.6455
2019-05-20,11.8851
2019-06-20,12.0764
2019-07-20,12.0911
2019-08-20,13.3884
2019-09-20,14.0871
2019-10-20,14.1838
2019-11-20,14.2043
2019-12-20,14.2996
2020-01-20,14.3027
2020-02-20,14.4701
2020-03-20,16.6066
2020-04-20,16.7963
2020-05-20,16.9023
2020-06-20,16.9989
2020-07-20,17.1267
2020-08-20,16.3104
2020-09-20,31.0715
2020-10-20,31.9604
2020-11-20,32.1449
2020-12-20,32.3719
2021-01-20,32.3996
2021-02-20,33.9804
2021-03-20,34.7158
2021-04-20,32.3923
2021-05-20,29.9815
2021-06-20,30.341
2021-07-20,30.307
2021-08-20,21.7353
2021-09-20,13.711
2021-10-20,13.6927
2021-11-20,13.6839
2021-12-20,13.6721
2022-01-20,13.6735
2022-02-20,12.6027
2022-03-20,12.7145
2022-04-20,11.6652
2022-05-20,11.5274
2022-06-20,11.4169
2022-07-20,11.4378
2022-08-20,12.6447
2022-09-20,10.7142
2022-10-20,10.7935
2022-11-20,10.7564
2022-12-20,10.7545
2023-01-20,10.7559
2023-02-20,9.0866
2023-03-20,9.35
2023-04-20,9.6068
2023-05-20,9.6763
2023-06-20,9.7209
2023-07-20,9.7236
2023-08-20,8.7329
2023-09-20,9.4875
2023-10-20,9.5337
2023-11-20,9.5233
2023-12-20,9.6309
2024-01-20,9.6315
2024-02-20,9.1224
