date,ev_ebitda
2004-01-20,11.6583
2004-02-20,11.6583
2004-03-20,12.2676
2004-04-20,11.7292
2004-05-20,12.278
2004-06-20,11.789
2004-07-20,11.7868
2004-08-20,11.5978
2004-09-20,11.7221
2004-10-20,11.7221
2004-11-20,11.7221
2004-12-20,13.2957
2005-01-20,13.3037
2005-02-20,13.2459
2005-03-20,12.9619
2005-04-20,13.4731
2005-05-20,13.4068
2005-06-20,14.0653
2005-07-20,13.4914
2005-08-20,13.6835
2005-09-20,12.423
2005-10-20,12.7309
2005-11-20,12.2316
2005-12-20,12.3639
2006-01-20,12.3584
2006-02-20,10.9436
2006-03-20,11.1937
2006-04-20,13.8253
2006-05-20,13.4064
2006-06-20,13.3949
2006-07-20,13.4345
2006-08-20,15.5648
2006-09-20,13.7165
2006-10-20,13.7306
2006-11-20,13.8207
2006-12-20,14.2916
2007-01-20,14.2966
2007-02-20,16.1465
2007-03-20,16.2233
2007-04-20,13.2436
2007-05-20,13.174
2007-06-20,13.5638
2007-07-20,13.6942
2007-08-20,13.9766
2007-09-20,13.7541
2007-10-20,13.7878
2007-11-20,13.8631
2007-12-20,13.7932
2008-01-20,13.7972
2008-02-20,12.7472
2008-03-20,13.0137
2008-04-20,13.2221
2008-05-20,13.1594
2008-06-20,13.3957
2008-07-20,13.5344
2008-08-20,11.7248
2008-09-20,12.1084
2008-10-20,12.0742
2008-11-20,11.9607
2008-12-20,12.2433
2009-01-20,12.2464
2009-02-20,9.3164
2009-03-20,9.3572
2009-04-20,9.4063
2009-05-20,9.5814
2009-06-20,9.6854
2009-07-20,9.8315
2009-08-20,6.2322
2009-09-20,13.3129
2009-10-20,13.3201
2009-11-20,11.7672
2009-12-20,11.7246
2010-01-20,11.7436
2010-02-20,11.381
2010-03-20,11.7961
2010-04-20,13.0061
2010-05-20,11.6068
2010-06-20,11.6717
2010-07-20,11.7377
2010-08-20,11.0474
2010-09-20,10.1295
2010-10-20,10.1257
2010-11-20,10.4478
2010-12-20,10.4379
2011-01-20,10.4564
2011-02-20,10.9513
2011-03-20,10.8979
2011-04-20,10.7878
2011-05-20,10.9318
2011-06-20,11.0538
2011-07-20,11.2305
2011-08-20,11.028
2011-09-20,9.1817
2011-10-20,9.1601
2011-11-20,9.2679
2011-12-20,9.2988
2012-01-20,9.2997
2012-02-20,7.9686
2012-03-20,7.9036
2012-04-20,7.8333
2012-05-20,7.954
2012-06-20,8.2276
2012-07-20,8.2278
2012-08-20,8.5132
