date,gross_margin
2008-06-20,27.029
2008-07-20,27.2175
2008-08-20,26.4339
2008-09-20,26.4339
2008-10-20,26.4339
2008-11-20,26.4339
2008-12-20,26.4339
2009-01-20,26.4339
2009-02-20,26.4339
2009-03-20,24.6807
2009-04-20,25.7036
2009-05-20,28.1154
2009-06-20,26.472
2009-07-20,26.555
2009-08-20,25.1403
2009-09-20,30.2324
2009-10-20,30.3146
2009-11-20,28.5076
2009-12-20,25.0602
2010-01-20,24.977
2010-02-20,25.9306
2010-03-20,26.4357
2010-04-20,30.4234
2010-05-20,28.008
2010-06-20,27.0718
2010-07-20,27.1231
2010-08-20,32.8047
2010-09-20,29.3679
2010-10-20,29.3315
2010-11-20,29.8109
2010-12-20,29.7451
2011-01-20,29.6974
2011-02-20,36.8942
2011-03-20,37.1138
2011-04-20,28.6104
2011-05-20,27.6102
2011-06-20,25.059
2011-07-20,25.3368
2011-08-20,34.4014
2011-09-20,31.4034
2011-10-20,31.4043
2011-11-20,32.2206
2011-12-20,31.0777
2012-01-20,30.995
2012-02-20,32.9999
2012-03-20,29.1636
2012-04-20,27.2618
2012-05-20,27.2407
2012-06-20,26.0183
2012-07-20,25.8867
2012-08-20,28.4801
2012-09-20,28.1552
2012-10-20,27.898
2012-11-20,25.8585
2012-12-20,24.1988
2013-01-20,24.2437
2013-02-20,31.5717
2013-03-20,24.4367
2013-04-20,27.8516
2013-05-20,25.2857
2013-06-20,24.195
2013-07-20,23.9073
2013-08-20,32.5936
2013-09-20,25.9894
2013-10-20,24.5389
2013-11-20,24.527
2013-12-20,23.4149
2014-01-20,23.3885
2014-02-20,28.3046
2014-03-20,28.168
2014-04-20,26.7539
2014-05-20,25.8189
2014-06-20,24.2457
2014-07-20,24.2314
2014-08-20,30.8749
2014-09-20,25.2477
2014-10-20,24.7765
2014-11-20,23.5436
2014-12-20,23.3623
2015-01-20,23.3023
2015-02-20,30.1228
2015-03-20,30.2704
2015-04-20,25.3049
2015-05-20,24.0302
2015-06-20,22.8637
2015-07-20,22.7911
2015-08-20,30.4795
2015-09-20,26.8077
2015-10-20,26.3082
2015-11-20,24.3897
2015-12-20,22.9506
2016-01-20,22.8917
2016-02-20,34.2552
2016-03-20,22.2558
2016-04-20,27.1349
2016-05-20,25.9352
2016-06-20,25.3357
2016-07-20,25.2619
2016-08-20,23.5295
2016-09-20,23.3343
2016-10-20,22.9455
2016-11-20,23.4065
2016-12-20,22.2015
2017-01-20,22.1711
2017-02-20,25.871
2017-03-20,23.5933
2017-04-20,25.2033
2017-05-20,25.19
2017-06-20,23.9039
2017-07-20,24.1808
2017-08-20,24.6091
2017-09-20,26.4918
2017-10-20,26.4358
2017-11-20,26.5879
2017-12-20,25.7415
2018-01-20,25.6111
2018-02-20,30.1602
2018-03-20,25.9379
2018-04-20,26.2901
2018-05-20,25.8714
2018-06-20,24.7219
2018-07-20,25.0268
2018-08-20,31.2635
2018-09-20,29.394
2018-10-20,27.6977
2018-11-20,26.3162
2018-12-20,26.5276
2019-01-20,26.4601
2019-02-20,28.9226
2019-03-20,28.8952
2019-04-20,28.1195
2019-05-20,29.3671
2019-06-20,28.8996
2019-07-20,28.835
2019-08-20,30.1037
2019-09-20,28.6414
2019-10-20,28.8238
2019-11-20,28.7378
2019-12-20,28.7963
2020-01-20,28.5511
2020-02-20,33.024
2020-03-20,29.0328
2020-04-20,26.8075
2020-05-20,26.4016
2020-06-20,25.9031
2020-07-20,25.8156
2020-08-20,28.4216
2020-09-20,29.7457
2020-10-20,29.6849
2020-11-20,29.7766
2020-12-20,29.18
2021-01-20,29.1784
2021-02-20,24.8356
2021-03-20,24.9527
2021-04-20,28.9725
2021-05-20,29.3537
2021-06-20,29.839
2021-07-20,30.0649
2021-08-20,33.2172
2021-09-20,33.4623
2021-10-20,33.5723
2021-11-20,33.5302
2021-12-20,34.0173
2022-01-20,34.0085
2022-02-20,28.75
2022-03-20,33.6753
2022-04-20,32.7971
2022-05-20,32.6471
2022-06-20,32.9978
2022-07-20,33.2299
2022-08-20,35.0426
2022-09-20,38.237
2022-10-20,38.1655
2022-11-20,38.2554
2022-12-20,37.6146
2023-01-20,37.4155
2023-02-20,29.2459
2023-03-20,35.6982
2023-04-20,38.5589
2023-05-20,38.149
2023-06-20,38.4569
2023-07-20,38.7092
2023-08-20,38.3352
2023-09-20,38.6412
2023-10-20,37.3976
2023-11-20,37.4353
2023-12-20,37.2507
2024-01-20,37.0256
2024-02-20,32.1012
2024-03-20,38.2476
2024-04-20,35.0663
2024-05-20,35.5534
2024-06-20,34.731
2024-07-20,34.8741
2024-08-20,33.7393
2024-09-20,36.829
2024-10-20,36.3045
2024-11-20,36.1926
2024-12-20,36.8428
2025-01-20,35.4228
2025-02-20,31.5748
2025-03-20,36.5543
2025-04-20,32.844
2025-05-20,32.8675
2025-06-20,32.8502
2025-07-20,33.3903
2025-08-20,35.6054
2025-09-20,37.167
2025-10-20,37.1742
2025-11-20,36.9732
2025-12-20,36.5764
2026-01-20,36.2203
2026-02-20,32.4025
2026-03-20,32.0798
2026-04-20,37.8285
