date,oper_margin
2004-01-16,7.974
2004-02-16,8.0117
2004-03-16,7.9767
2004-04-16,9.2935
2004-05-16,10.1044
2004-06-16,10.2906
2004-07-16,9.1496
2004-08-16,8.7144
2004-09-16,9.9359
2004-10-16,12.1737
2004-11-16,12.2025
2004-12-16,11.0134
2005-01-16,11.0609
2005-02-16,11.0637
2005-03-16,10.8526
2005-04-16,11.2807
2005-05-16,10.5896
2005-06-16,12.4434
2005-07-16,10.3429
2005-08-16,8.7337
2005-09-16,10.2826
2005-10-16,10.7949
2005-11-16,11.5079
2005-12-16,11.489
2006-01-16,11.6026
2006-02-16,12.2224
2006-03-16,11.3261
2006-04-16,13.8807
2006-05-16,11.0864
2006-06-16,11.0566
2006-07-16,10.9571
2006-08-16,10.1266
2006-09-16,12.7836
2006-10-16,12.7857
2006-11-16,12.4853
2006-12-16,12.0939
2007-01-16,12.0969
2007-02-16,11.2116
2007-03-16,11.2858
2007-04-16,13.5935
2007-05-16,13.3266
2007-06-16,12.7228
2007-07-16,12.6168
2007-08-16,12.7409
2007-09-16,13.3661
2007-10-16,13.4611
2007-11-16,13.547
2007-12-16,14.3689
2008-01-16,14.3141
2008-02-16,15.1154
2008-03-16,14.841
2008-04-16,13.5412
2008-05-16,13.5887
2008-06-16,13.3483
2008-07-16,13.2143
2008-08-16,13.7207
2008-09-16,13.2338
2008-10-16,13.2325
2008-11-16,13.137
2008-12-16,12.657
2009-01-16,12.6351
2009-02-16,12.9035
2009-03-16,11.7146
2009-04-16,11.5137
2009-05-16,11.2537
2009-06-16,10.6906
2009-07-16,10.5133
2009-08-16,10.0835
2009-09-16,7.3934
2009-10-16,7.4037
2009-11-16,7.5815
2009-12-16,7.3193
2010-01-16,7.3106
2010-02-16,8.0488
2010-03-16,7.6066
2010-04-16,8.1733
2010-05-16,8.5178
2010-06-16,8.1876
2010-07-16,8.1776
2010-08-16,9.3969
2010-09-16,9.072
2010-10-16,9.0637
2010-11-16,8.9161
2010-12-16,8.9377
2011-01-16,8.8957
2011-02-16,9.8125
2011-03-16,9.6643
2011-04-16,10.3562
2011-05-16,10.2739
2011-06-16,9.9199
2011-07-16,9.9895
2011-08-16,10.1395
2011-09-16,12.0334
2011-10-16,12.0436
2011-11-16,12.293
2011-12-16,11.919
2012-01-16,11.8866
2012-02-16,12.4169
2012-03-16,12.4983
2012-04-16,12.0721
2012-05-16,12.2443
2012-06-16,11.9922
2012-07-16,11.9927
2012-08-16,11.5665
