date,pb
2004-01-16,2.0468
2004-02-16,2.034
2004-03-16,2.0814
2004-04-16,2.0344
2004-05-16,2.1018
2004-06-16,2.0742
2004-07-16,2.0992
2004-08-16,2.1603
2004-09-16,2.183
2004-10-16,2.1349
2004-11-16,2.1599
2004-12-16,2.1968
2005-01-16,2.2487
2005-02-16,2.167
2005-03-16,2.2143
2005-04-16,2.1112
2005-05-16,2.093
2005-06-16,2.1687
2005-07-16,2.2421
2005-08-16,2.4673
2005-09-16,2.4688
2005-10-16,2.5531
2005-11-16,2.4106
2005-12-16,2.4586
2006-01-16,2.5473
2006-02-16,2.5292
2006-03-16,2.5469
2006-04-16,2.4727
2006-05-16,2.5082
2006-06-16,2.3782
2006-07-16,2.4208
2006-08-16,2.5201
2006-09-16,2.5073
2006-10-16,2.5186
2006-11-16,2.5898
2006-12-16,2.5558
2007-01-16,2.6285
2007-02-16,2.6371
2007-03-16,2.6237
2007-04-16,2.556
2007-05-16,2.6202
2007-06-16,2.6902
2007-07-16,2.6862
2007-08-16,2.5462
2007-09-16,2.4075
2007-10-16,2.4713
2007-11-16,2.5745
2007-12-16,2.4638
2008-01-16,2.4731
2008-02-16,2.2246
2008-03-16,2.2263
2008-04-16,1.9863
2008-05-16,2.1371
2008-06-16,2.1252
2008-07-16,1.9827
2008-08-16,1.8782
2008-09-16,1.9804
2008-10-16,1.722
2008-11-16,1.5515
2008-12-16,1.5198
2009-01-16,1.5716
2009-02-16,1.5733
2009-03-16,1.4521
2009-04-16,1.3603
2009-05-16,1.4778
2009-06-16,1.5385
2009-07-16,1.4748
2009-08-16,1.6393
2009-09-16,1.7721
2009-10-16,1.8534
2009-11-16,1.9252
2009-12-16,1.981
2010-01-16,2.0658
2010-02-16,1.9578
2010-03-16,2.0205
2010-04-16,1.8958
2010-05-16,1.9634
2010-06-16,1.8344
2010-07-16,1.7381
2010-08-16,1.7467
2010-09-16,1.7243
2010-10-16,1.8303
2010-11-16,1.9196
2010-12-16,1.8699
2011-01-16,1.9945
2011-02-16,1.9912
2011-03-16,2.0357
2011-04-16,1.819
2011-05-16,1.8793
2011-06-16,1.8546
2011-07-16,1.842
2011-08-16,1.8026
2011-09-16,1.6004
2011-10-16,1.5214
2011-11-16,1.649
2011-12-16,1.6374
2012-01-16,1.6573
2012-02-16,1.6883
2012-03-16,1.6695
2012-04-16,1.6381
2012-05-16,1.6508
2012-06-16,1.5308
2012-07-16,1.602
2012-08-16,1.6389
2012-09-16,1.6486
2012-10-16,1.6591
2012-11-16,1.6762
2012-12-16,1.7006
2013-01-16,1.7096
2013-02-16,1.8406
2013-03-16,1.8652
2013-04-16,1.878
2013-05-16,1.8876
2013-06-16,1.9325
2013-07-16,1.8253
2013-08-16,1.8771
2013-09-16,1.8014
2013-10-16,1.8143
2013-11-16,1.9404
2013-12-16,1.9171
2014-01-16,1.9455
2014-02-16,1.9119
2014-03-16,1.9977
2014-04-16,1.9514
2014-05-16,2.0197
2014-06-16,2.0405
2014-07-16,2.0105
2014-08-16,1.9694
2014-09-16,1.9758
2014-10-16,1.9191
2014-11-16,1.9137
2014-12-16,1.9647
2015-01-16,1.919
2015-02-16,1.9329
2015-03-16,1.9895
2015-04-16,1.9364
2015-05-16,2.0066
2015-06-16,2.0117
2015-07-16,1.8782
2015-08-16,1.8957
2015-09-16,1.8357
2015-10-16,1.7809
2015-11-16,1.8708
2015-12-16,1.8694
2016-01-16,1.8359
2016-02-16,1.767
2016-03-16,1.7709
2016-04-16,1.799
2016-05-16,1.8389
2016-06-16,1.8357
2016-07-16,1.9162
2016-08-16,1.886
2016-09-16,1.8111
2016-10-16,1.8414
2016-11-16,1.8788
2016-12-16,1.8327
2017-01-16,1.9297
2017-02-16,1.8794
2017-03-16,1.9229
2017-04-16,1.8436
2017-05-16,1.8207
2017-06-16,1.9022
2017-07-16,1.8498
2017-08-16,1.8433
2017-09-16,1.8699
2017-10-16,1.8543
2017-11-16,1.886
2017-12-16,1.8442
2018-01-16,1.9351
2018-02-16,1.9425
2018-03-16,1.8647
2018-04-16,1.7135
2018-05-16,1.851
2018-06-16,1.8926
2018-07-16,1.8824
2018-08-16,1.9068
2018-09-16,1.8034
2018-10-16,1.8146
2018-11-16,1.7223
2018-12-16,1.6865
2019-01-16,1.6257
2019-02-16,1.6457
2019-03-16,1.6637
2019-04-16,1.7143
2019-05-16,1.747
2019-06-16,1.6866
2019-07-16,1.7487
2019-08-16,1.782
2019-09-16,1.6864
2019-10-16,1.7354
2019-11-16,1.6959
2019-12-16,1.7196
2020-01-16,1.7655
2020-02-16,1.6612
2020-03-16,1.5882
2020-04-16,1.3812
2020-05-16,1.4381
2020-06-16,1.4808
2020-07-16,1.5039
2020-08-16,1.3799
2020-09-16,1.4622
2020-10-16,1.4376
2020-11-16,1.3668
2020-12-16,1.5357
2021-01-16,1.5833
2021-02-16,1.5788
2021-03-16,1.5975
2021-04-16,1.755
2021-05-16,1.8274
2021-06-16,1.8415
2021-07-16,1.8454
2021-08-16,1.87
2021-09-16,1.8125
2021-10-16,1.8003
2021-11-16,1.8387
2021-12-16,1.7934
2022-01-16,1.876
2022-02-16,1.8582
2022-03-16,1.8567
2022-04-16,1.8324
2022-05-16,1.8441
2022-06-16,1.8596
2022-07-16,1.7525
2022-08-16,1.7655
2022-09-16,1.6365
2022-10-16,1.5464
2022-11-16,1.5914
2022-12-16,1.6987
2023-01-16,1.6715
2023-02-16,1.6963
2023-03-16,1.7192
2023-04-16,1.6869
2023-05-16,1.7371
2023-06-16,1.66
2023-07-16,1.679
2023-08-16,1.6895
2023-09-16,1.6998
2023-10-16,1.7415
2023-11-16,1.6759
2023-12-16,1.7061
2024-01-16,1.7701
2024-02-16,1.7224
2024-03-16,1.7223
2024-04-16,1.853
2024-05-16,1.8953
2024-06-16,1.9264
2024-07-16,1.9005
2024-08-16,1.9211
2024-09-16,1.9113
2024-10-16,1.8859
2024-11-16,1.8557
2024-12-16,1.8962
2025-01-16,1.8701
2025-02-16,1.9757
2025-03-16,2.0067
2025-04-16,1.934
2025-05-16,1.9191
2025-06-16,1.9819
2025-07-16,1.9793
2025-08-16,2.0637
2025-09-16,2.1436
2025-10-16,2.1824
2025-11-16,2.2681
2025-12-16,2.2688
2026-01-16,2.318
2026-02-16,2.3479
2026-03-16,2.5057
2026-04-16,2.3823
