date,pe
2004-01-20,65.5797
2004-02-20,63.1228
2004-03-20,124.2282
2004-04-20,36.6135
2004-05-20,17.9642
2004-06-20,19.8094
2004-07-20,28.14
2004-08-20,23.0141
2004-09-20,22.0628
2004-10-20,15.539
2004-11-20,15.7135
2004-12-20,20.9943
2005-01-20,21.4725
2005-02-20,21.5974
2005-03-20,24.2729
2005-04-20,15.992
2005-05-20,15.9715
2005-06-20,17.0826
2005-07-20,23.1808
2005-08-20,25.7203
2005-09-20,19.1569
2005-10-20,19.8215
2005-11-20,16.0983
2005-12-20,16.3719
2006-01-20,17.0551
2006-02-20,17.8953
2006-03-20,17.5638
2006-04-20,14.5658
2006-05-20,14.3213
2006-06-20,13.726
2006-07-20,13.9941
2006-08-20,21.8733
2006-09-20,15.7073
2006-10-20,15.9088
2006-11-20,16.4551
2006-12-20,14.734
2007-01-20,15.1203
2007-02-20,18.2222
2007-03-20,17.4441
2007-04-20,14.6182
2007-05-20,15.2432
2007-06-20,15.5228
2007-07-20,15.4965
2007-08-20,13.5465
2007-09-20,12.0266
2007-10-20,12.195
2007-11-20,12.9062
2007-12-20,12.1907
2008-01-20,12.256
2008-02-20,10.8481
2008-03-20,10.8849
2008-04-20,10.7323
2008-05-20,11.3678
2008-06-20,11.365
2008-07-20,10.4767
2008-08-20,9.773
2008-09-20,10.4285
2008-10-20,9.0492
2008-11-20,8.1645
2008-12-20,8.0842
2009-01-20,8.3661
2009-02-20,8.353
2009-03-20,8.4067
2009-04-20,8.8695
2009-05-20,9.081
2009-06-20,9.444
2009-07-20,9.0882
2009-08-20,13.542
2009-09-20,19.0144
2009-10-20,19.8483
2009-11-20,18.8118
2009-12-20,19.5753
2010-01-20,20.4308
2010-02-20,19.8144
2010-03-20,19.8261
2010-04-20,15.5215
2010-05-20,14.288
2010-06-20,13.5
2010-07-20,12.7915
2010-08-20,12.4403
2010-09-20,11.734
2010-10-20,12.448
2010-11-20,13.0746
2010-12-20,12.7242
2011-01-20,13.6114
