date,profit_margin
2004-01-16,1.2633
2004-02-16,1.3047
2004-03-16,1.0668
2004-04-16,2.9575
2004-05-16,6.387
2004-06-16,5.7955
2004-07-16,4.0845
2004-08-16,4.5008
2004-09-16,5.4364
2004-10-16,8.0696
2004-11-16,8.0831
2004-12-16,6.4951
2005-01-16,6.5184
2005-02-16,6.5125
2005-03-16,6.0428
2005-04-16,7.8484
2005-05-16,7.3676
2005-06-16,7.0707
2005-07-16,5.4683
2005-08-16,5.4872
2005-09-16,6.7115
2005-10-16,7.1028
2005-11-16,7.8715
2005-12-16,8.14
2006-01-16,8.1542
2006-02-16,8.8855
2006-03-16,8.2402
2006-04-16,9.444
2006-05-16,7.1305
2006-06-16,7.3832
2006-07-16,7.4978
2006-08-16,5.9142
2006-09-16,8.4015
2006-10-16,8.3999
2006-11-16,8.2343
2006-12-16,7.936
2007-01-16,7.9497
2007-02-16,6.7426
2007-03-16,7.4665
2007-04-16,9.9842
2007-05-16,9.792
2007-06-16,9.6454
2007-07-16,9.6445
2007-08-16,10.0691
2007-09-16,10.734
2007-10-16,10.9452
2007-11-16,11.0675
2007-12-16,11.323
2008-01-16,11.3194
2008-02-16,11.4865
2008-03-16,11.3344
2008-04-16,10.2345
2008-05-16,10.2279
2008-06-16,10.3535
2008-07-16,10.3805
2008-08-16,9.7815
2008-09-16,9.2238
2008-10-16,9.2206
2008-11-16,9.089
2008-12-16,8.7979
2009-01-16,8.7827
2009-02-16,7.608
2009-03-16,6.2145
2009-04-16,5.2115
2009-05-16,4.9733
2009-06-16,4.6303
2009-07-16,4.6265
2009-08-16,4.1501
2009-09-16,3.0482
2009-10-16,3.0713
2009-11-16,3.4269
2009-12-16,3.3729
2010-01-16,3.3661
2010-02-16,4.4602
2010-03-16,4.2682
2010-04-16,6.2736
2010-05-16,6.4176
2010-06-16,6.3296
2010-07-16,6.3217
2010-08-16,7.3367
2010-09-16,6.4785
2010-10-16,6.4692
2010-11-16,6.4145
2010-12-16,6.4467
2011-01-16,6.4243
2011-02-16,7.1986
2011-03-16,7.3204
2011-04-16,7.4751
2011-05-16,7.4602
2011-06-16,7.4162
2011-07-16,7.3505
2011-08-16,7.74
2011-09-16,8.7808
2011-10-16,8.7623
2011-11-16,8.9653
2011-12-16,8.5743
2012-01-16,8.5512
2012-02-16,8.7722
2012-03-16,8.6866
2012-04-16,8.5872
2012-05-16,8.7298
2012-06-16,8.7104
2012-07-16,8.7127
2012-08-16,7.9739
2012-09-16,7.2818
2012-10-16,7.2688
2012-11-16,7.247
2012-12-16,6.9302
2013-01-16,6.9427
2013-02-16,6.2816
2013-03-16,6.3405
2013-04-16,5.7293
2013-05-16,5.1545
2013-06-16,5.1729
2013-07-16,5.1687
2013-08-16,5.7759
2013-09-16,4.9318
2013-10-16,4.9078
2013-11-16,5.3772
2013-12-16,5.8928
2014-01-16,5.8753
2014-02-16,6.9399
2014-03-16,6.0178
2014-04-16,5.9393
2014-05-16,6.012
2014-06-16,8.1548
2014-07-16,8.1611
2014-08-16,8.7029
2014-09-16,8.297
2014-10-16,8.2823
2014-11-16,8.1749
2014-12-16,5.5875
2015-01-16,5.5765
2015-02-16,5.6225
2015-03-16,5.5907
2015-04-16,5.7334
2015-05-16,5.5718
2015-06-16,5.6167
2015-07-16,5.6191
2015-08-16,5.3067
2015-09-16,4.9928
2015-10-16,4.9508
2015-11-16,4.8533
2015-12-16,4.7218
2016-01-16,4.7216
2016-02-16,4.3059
2016-03-16,4.0747
2016-04-16,4.1636
2016-05-16,4.21
2016-06-16,4.011
2016-07-16,4.0005
2016-08-16,3.2627
2016-09-16,2.6272
2016-10-16,2.6157
2016-11-16,2.7417
2016-12-16,2.4898
2017-01-16,2.4896
2017-02-16,3.3935
2017-03-16,3.3761
2017-04-16,3.9895
2017-05-16,4.0469
2017-06-16,4.0349
2017-07-16,4.0372
