date,roa
2004-01-16,0.2896
2004-02-16,0.2974
2004-03-16,0.251
2004-04-16,0.7043
2004-05-16,1.5136
2004-06-16,1.3538
2004-07-16,0.9089
2004-08-16,1.0651
2004-09-16,1.2078
2004-10-16,1.7348
2004-11-16,1.7347
2004-12-16,1.3221
2005-01-16,1.3229
2005-02-16,1.3314
2005-03-16,1.1801
2005-04-16,1.6224
2005-05-16,1.5933
2005-06-16,1.5362
2005-07-16,1.2308
2005-08-16,1.2577
2005-09-16,1.574
2005-10-16,1.5786
2005-11-16,1.5282
2005-12-16,1.5854
2006-01-16,1.5738
2006-02-16,1.7269
2006-03-16,1.7543
2006-04-16,1.5982
2006-05-16,1.4932
2006-06-16,1.5455
2006-07-16,1.5829
2006-08-16,1.2482
2006-09-16,1.5964
2006-10-16,1.5956
2006-11-16,1.5874
2006-12-16,1.5182
2007-01-16,1.5205
2007-02-16,1.2421
2007-03-16,1.3633
2007-04-16,1.8216
2007-05-16,1.8076
2007-06-16,1.7784
2007-07-16,1.7786
2007-08-16,1.8384
2007-09-16,1.8511
2007-10-16,1.8862
2007-11-16,1.895
2007-12-16,1.959
2008-01-16,1.9599
2008-02-16,1.9637
2008-03-16,1.9455
2008-04-16,1.5806
2008-05-16,1.5827
2008-06-16,1.6146
2008-07-16,1.626
2008-08-16,1.5591
2008-09-16,1.4819
2008-10-16,1.486
2008-11-16,1.4536
2008-12-16,1.415
2009-01-16,1.4137
2009-02-16,1.5189
2009-03-16,1.2639
2009-04-16,0.8687
2009-05-16,0.799
2009-06-16,0.7472
2009-07-16,0.7469
2009-08-16,0.6926
2009-09-16,0.5817
2009-10-16,0.587
2009-11-16,0.6404
2009-12-16,0.6318
2010-01-16,0.6314
2010-02-16,0.8064
2010-03-16,0.7632
2010-04-16,1.3045
2010-05-16,1.3077
2010-06-16,1.286
2010-07-16,1.286
2010-08-16,1.5429
2010-09-16,1.376
2010-10-16,1.3796
2010-11-16,1.3506
2010-12-16,1.3604
2011-01-16,1.3576
2011-02-16,1.4599
2011-03-16,1.4817
2011-04-16,1.6083
2011-05-16,1.5484
2011-06-16,1.5461
2011-07-16,1.5323
2011-08-16,1.6067
2011-09-16,1.8711
2011-10-16,1.8735
2011-11-16,1.8684
2011-12-16,1.8526
