date,roc
2004-01-20,0.6856
2004-02-20,0.7069
2004-03-20,0.5967
2004-04-20,1.6757
2004-05-20,3.8679
2004-06-20,3.4598
2004-07-20,2.3312
2004-08-20,2.7477
2004-09-20,3.1156
2004-10-20,4.2805
2004-11-20,4.2804
2004-12-20,3.2622
2005-01-20,3.265
2005-02-20,3.2851
2005-03-20,2.8924
2005-04-20,3.8895
2005-05-20,3.9685
2005-06-20,3.8323
2005-07-20,3.0705
2005-08-20,3.1094
2005-09-20,3.8863
2005-10-20,3.8977
2005-11-20,4.277
2005-12-20,4.4371
2006-01-20,4.4048
2006-02-20,4.7219
2006-03-20,4.7984
2006-04-20,4.1063
2006-05-20,4.0555
2006-06-20,4.194
2006-07-20,4.2972
2006-08-20,3.3909
2006-09-20,4.2514
2006-10-20,4.2775
2006-11-20,4.235
2006-12-20,4.0493
2007-01-20,4.0555
2007-02-20,3.307
2007-03-20,3.6343
2007-04-20,4.8574
2007-05-20,4.8204
2007-06-20,4.7426
2007-07-20,4.7437
2007-08-20,4.9366
2007-09-20,5.2261
2007-10-20,5.318
2007-11-20,5.3396
2007-12-20,5.52
2008-01-20,5.5224
2008-02-20,5.4986
2008-03-20,5.446
2008-04-20,4.5101
2008-05-20,4.5183
2008-06-20,4.6094
2008-07-20,4.6261
2008-08-20,4.3873
2008-09-20,4.1935
2008-10-20,4.2038
2008-11-20,4.1164
2008-12-20,4.0072
2009-01-20,4.0033
2009-02-20,4.3304
2009-03-20,3.6023
2009-04-20,2.8085
2009-05-20,2.6509
2009-06-20,2.479
2009-07-20,2.4759
2009-08-20,2.7591
2009-09-20,1.5589
2009-10-20,1.573
2009-11-20,1.9134
2009-12-20,1.8893
2010-01-20,1.8877
2010-02-20,2.3073
2010-03-20,2.1814
2010-04-20,3.5309
2010-05-20,3.7088
2010-06-20,3.6496
2010-07-20,3.6495
2010-08-20,4.2387
2010-09-20,3.8464
2010-10-20,3.855
2010-11-20,3.7555
2010-12-20,3.7827
2011-01-20,3.7715
2011-02-20,4.0746
2011-03-20,4.1328
2011-04-20,4.2931
2011-05-20,4.268
2011-06-20,4.2618
2011-07-20,4.2244
2011-08-20,4.4063
2011-09-20,5.0892
2011-10-20,5.0931
2011-11-20,5.0792
2011-12-20,5.0363
2012-01-20,5.0361
2012-02-20,5.477
2012-03-20,5.5769
2012-04-20,5.7485
2012-05-20,5.6973
2012-06-20,5.6105
2012-07-20,5.6105
2012-08-20,5.1462
2012-09-20,4.6891
2012-10-20,4.6977
2012-11-20,4.6655
2012-12-20,4.4728
2013-01-20,4.4725
2013-02-20,4.0319
2013-03-20,4.0507
2013-04-20,3.9395
2013-05-20,3.5444
2013-06-20,3.5031
2013-07-20,3.4987
2013-08-20,3.8813
2013-09-20,3.5184
2013-10-20,3.5128
2013-11-20,3.6572
2013-12-20,4.0033
2014-01-20,3.9935
2014-02-20,4.6791
2014-03-20,4.3308
2014-04-20,4.3923
2014-05-20,4.4481
2014-06-20,5.9373
2014-07-20,5.9357
2014-08-20,5.9734
2014-09-20,5.7788
2014-10-20,5.7926
2014-11-20,5.7391
2014-12-20,3.978
2015-01-20,3.971
2015-02-20,3.973
2015-03-20,3.9266
2015-04-20,4.3003
2015-05-20,4.1517
2015-06-20,4.1252
2015-07-20,4.1269
2015-08-20,3.6366
2015-09-20,3.3388
2015-10-20,3.329
2015-11-20,3.2487
2015-12-20,3.1612
2016-01-20,3.1647
2016-02-20,2.7836
2016-03-20,2.5874
2016-04-20,2.7273
2016-05-20,2.7485
2016-06-20,2.5704
2016-07-20,2.565
2016-08-20,1.8939
2016-09-20,1.5
2016-10-20,1.4955
2016-11-20,1.5604
2016-12-20,1.412
2017-01-20,1.4144
2017-02-20,1.9561
2017-03-20,1.7878
2017-04-20,2.4608
2017-05-20,2.4852
2017-06-20,2.4843
2017-07-20,2.4836
2017-08-20,2.799
