date,roce
2004-01-16,1.7616
2004-02-16,1.8541
2004-03-16,1.3383
2004-04-16,4.7953
2004-05-16,11.2852
2004-06-16,10.094
2004-07-16,6.7364
2004-08-16,8.5518
2004-09-16,9.2439
2004-10-16,13.6293
2004-11-16,13.6375
2004-12-16,10.3651
2005-01-16,10.3739
2005-02-16,9.9394
2005-03-16,9.0514
2005-04-16,12.5782
2005-05-16,12.7102
2005-06-16,12.25
2005-07-16,9.7834
2005-08-16,10.5212
2005-09-16,13.0561
2005-10-16,13.0954
2005-11-16,15.2591
2005-12-16,15.8358
2006-01-16,15.7211
2006-02-16,15.8668
2006-03-16,16.1441
2006-04-16,15.1058
2006-05-16,13.8162
2006-06-16,14.2495
2006-07-16,14.5935
2006-08-16,11.8572
2006-09-16,16.0031
2006-10-16,15.978
2006-11-16,15.8967
2006-12-16,15.2
2007-01-16,15.2231
2007-02-16,12.8067
2007-03-16,14.0314
2007-04-16,18.7011
2007-05-16,18.5826
2007-06-16,18.2844
2007-07-16,18.2943
2007-08-16,18.8749
2007-09-16,19.7218
2007-10-16,20.0379
2007-11-16,20.1783
2007-12-16,20.8649
2008-01-16,20.8741
2008-02-16,20.6598
2008-03-16,20.4106
2008-04-16,18.1189
2008-05-16,18.2146
2008-06-16,18.5865
2008-07-16,18.7406
2008-08-16,17.916
2008-09-16,17.0403
2008-10-16,17.0365
2008-11-16,16.8103
2008-12-16,16.3602
2009-01-16,16.3443
2009-02-16,16.5774
2009-03-16,13.7398
2009-04-16,10.7539
2009-05-16,10.0793
2009-06-16,9.4188
2009-07-16,9.3889
2009-08-16,8.2531
2009-09-16,5.5567
2009-10-16,5.5965
2009-11-16,6.4699
2009-12-16,6.3809
2010-01-16,6.3774
2010-02-16,8.0436
2010-03-16,7.6041
2010-04-16,10.9999
2010-05-16,11.6864
2010-06-16,11.4904
2010-07-16,11.489
2010-08-16,13.3972
2010-09-16,12.1687
2010-10-16,12.1617
2010-11-16,12.2091
2010-12-16,12.2974
2011-01-16,12.2672
2011-02-16,13.177
2011-03-16,13.3616
2011-04-16,12.8003
2011-05-16,12.7408
2011-06-16,12.7199
2011-07-16,12.6114
2011-08-16,13.2469
2011-09-16,15.1907
2011-10-16,15.158
2011-11-16,15.1554
2011-12-16,15.0221
2012-01-16,15.0217
