date,div_yield
2013-01-16,3.0242
2013-02-16,3.0159
2013-03-16,3.1196
2013-04-16,3.2991
2013-05-16,3.0919
2013-06-16,3.5469
2013-07-16,3.526
2013-08-16,3.3437
2013-09-16,3.3041
2013-10-16,3.3108
2013-11-16,3.3536
2013-12-16,3.3512
2014-01-16,3.3699
2014-02-16,3.5067
2014-03-16,3.6189
2014-04-16,3.4375
2014-05-16,3.7774
2014-06-16,3.8008
2014-07-16,3.8274
2014-08-16,3.6196
2014-09-16,3.7187
2014-10-16,3.9277
2014-11-16,3.7283
2014-12-16,3.9849
2015-01-16,3.7467
2015-02-16,3.6162
2015-03-16,3.7624
2015-04-16,3.2519
2015-05-16,3.0033
2015-06-16,3.1067
2015-07-16,3.2659
2015-08-16,3.4389
2015-09-16,3.7003
2015-10-16,3.7243
2015-11-16,3.9043
2015-12-16,3.9921
2016-01-16,4.438
2016-02-16,4.5305
2016-03-16,4.1669
2016-04-16,3.9667
2016-05-16,4.1653
2016-06-16,4.2302
2016-07-16,3.784
2016-08-16,3.5672
2016-09-16,3.4711
2016-10-16,3.5235
2016-11-16,3.6761
2016-12-16,3.7002
2017-01-16,3.5866
2017-02-16,3.468
2017-03-16,3.3939
2017-04-16,3.3904
2017-05-16,3.2456
2017-06-16,3.2893
2017-07-16,3.3467
2017-08-16,3.2238
2017-09-16,3.6581
2017-10-16,3.5274
2017-11-16,3.4921
2017-12-16,3.548
2018-01-16,3.2081
2018-02-16,3.2189
2018-03-16,3.1957
2018-04-16,3.4248
2018-05-16,3.364
2018-06-16,3.5889
2018-07-16,3.793
2018-08-16,4.0045
2018-09-16,3.6697
2018-10-16,3.938
2018-11-16,3.8363
2018-12-16,3.8436
2019-01-16,3.7283
2019-02-16,3.5949
2019-03-16,3.471
2019-04-16,3.2649
2019-05-16,3.4848
2019-06-16,3.5932
2019-07-16,3.4212
2019-08-16,3.7991
2019-09-16,3.657
2019-10-16,3.7227
2019-11-16,3.7742
2019-12-16,3.6062
2020-01-16,3.4345
2020-02-16,3.5663
2020-03-16,4.0447
2020-04-16,3.8833
2020-05-16,3.7686
2020-06-16,3.7556
2020-07-16,3.7383
2020-08-16,3.7013
2020-09-16,3.2379
2020-10-16,3.112
2020-11-16,2.8767
2020-12-16,2.4705
2021-01-16,2.2877
2021-02-16,2.0891
2021-03-16,2.3719
2021-04-16,2.3652
2021-05-16,2.4333
2021-06-16,2.2156
2021-07-16,2.3262
2021-08-16,2.4124
2021-09-16,2.6202
2021-10-16,2.5434
2021-11-16,2.5066
2021-12-16,2.6262
2022-01-16,2.5308
2022-02-16,2.4965
2022-03-16,3.0297
2022-04-16,2.833
2022-05-16,3.0381
2022-06-16,3.1957
2022-07-16,3.3675
2022-08-16,3.4404
2022-09-16,3.611
2022-10-16,4.0859
2022-11-16,3.6983
2022-12-16,3.4233
2023-01-16,3.076
2023-02-16,3.1872
2023-03-16,4.3458
2023-04-16,4.1118
2023-05-16,3.9227
2023-06-16,3.6119
2023-07-16,3.7138
2023-08-16,3.8401
2023-09-16,3.9097
2023-10-16,4.0275
2023-11-16,3.9271
2023-12-16,4.0151
2024-01-16,4.3615
2024-02-16,4.2336
2024-03-16,4.2205
2024-04-16,4.3551
2024-05-16,3.8492
2024-06-16,4.3864
2024-07-16,4.4305
2024-08-16,4.5108
2024-09-16,4.58
2024-10-16,3.9405
2024-11-16,4.1301
2024-12-16,3.9686
2025-01-16,4.2977
2025-02-16,3.7042
2025-03-16,3.6271
2025-04-16,4.1343
2025-05-16,3.5203
2025-06-16,3.4159
2025-07-16,3.1979
2025-08-16,3.098
2025-09-16,2.9464
2025-10-16,3.0186
2025-11-16,2.9547
2025-12-16,3.0548
2026-01-16,2.8613
2026-02-16,2.8762
2026-03-16,2.9331
2026-04-16,2.9286
