date,ev_ebitda
2013-04-16,7.5626
2013-05-16,7.5531
2013-06-16,7.5531
2013-07-16,7.5531
2013-08-16,6.9519
2013-09-16,6.4176
2013-10-16,6.1933
2013-11-16,6.3199
2013-12-16,6.32
2014-01-16,6.32
2014-02-16,7.0998
2014-03-16,7.1009
2014-04-16,6.4639
2014-05-16,6.5172
2014-06-16,6.5172
2014-07-16,6.5172
2014-08-16,6.3683
2014-09-16,6.3073
2014-10-16,6.2137
2014-11-16,6.3141
2014-12-16,6.3141
2015-01-16,6.3141
2015-02-16,6.3399
2015-03-16,5.9301
2015-04-16,5.8094
2015-05-16,5.9398
2015-06-16,5.9388
2015-07-16,5.7669
2015-08-16,6.5097
2015-09-16,7.5209
2015-10-16,7.2563
2015-11-16,7.4063
2015-12-16,7.3917
2016-01-16,7.3917
2016-02-16,6.3798
2016-03-16,6.371
2016-04-16,6.7901
2016-05-16,6.9714
2016-06-16,6.9846
2016-07-16,6.9023
2016-08-16,6.5795
2016-09-16,6.9508
2016-10-16,6.7087
2016-11-16,7.0467
2016-12-16,7.028
2017-01-16,7.028
2017-02-16,7.7014
2017-03-16,7.999
2017-04-16,6.6468
2017-05-16,6.8267
2017-06-16,6.8337
2017-07-16,6.7458
2017-08-16,7.1235
2017-09-16,7.253
2017-10-16,7.1435
2017-11-16,7.1609
2017-12-16,7.089
2018-01-16,7.089
2018-02-16,7.6521
2018-03-16,7.516
2018-04-16,7.3846
2018-05-16,7.3435
2018-06-16,7.3436
2018-07-16,7.0927
2018-08-16,6.6377
2018-09-16,6.5717
2018-10-16,6.4099
2018-11-16,6.4123
2018-12-16,6.3485
2019-01-16,6.3485
2019-02-16,6.832
2019-03-16,6.8401
2019-04-16,6.3339
2019-05-16,6.3304
2019-06-16,6.3304
2019-07-16,6.2162
2019-08-16,7.0563
2019-09-16,7.1166
2019-10-16,7.1766
2019-11-16,7.1751
2019-12-16,7.1602
2020-01-16,7.1602
2020-02-16,7.0154
2020-03-16,7.0513
2020-04-16,7.1906
2020-05-16,7.1981
2020-06-16,7.1983
2020-07-16,6.3219
2020-08-16,6.3445
2020-09-16,6.5875
2020-10-16,6.6191
2020-11-16,6.6155
2020-12-16,6.7346
2021-01-16,6.7346
2021-02-16,7.5579
2021-03-16,7.6882
2021-04-16,9.2838
2021-05-16,9.3618
2021-06-16,9.3621
2021-07-16,9.5532
2021-08-16,8.7415
2021-09-16,9.9262
2021-10-16,10.1521
2021-11-16,10.1465
2021-12-16,10.0996
2022-01-16,10.078
2022-02-16,9.2811
2022-03-16,9.3304
2022-04-16,8.9321
2022-05-16,8.9649
2022-06-16,8.9639
2022-07-16,8.9266
2022-08-16,7.6203
2022-09-16,8.1561
2022-10-16,8.1972
2022-11-16,8.2455
2022-12-16,8.212
2023-01-16,8.212
2023-02-16,6.655
2023-03-16,6.7368
2023-04-16,7.3353
2023-05-16,7.0473
2023-06-16,7.8588
2023-07-16,7.8569
2023-08-16,7.7885
2023-09-16,7.0058
2023-10-16,7.1785
2023-11-16,7.1945
2023-12-16,7.4996
2024-01-16,7.512
2024-02-16,7.5388
2024-03-16,7.518
2024-04-16,6.7669
2024-05-16,6.9729
2024-06-16,7.0368
2024-07-16,7.2196
2024-08-16,7.2382
2024-09-16,7.7132
2024-10-16,7.8518
2024-11-16,7.845
2024-12-16,9.6192
2025-01-16,9.6308
2025-02-16,9.69
2025-03-16,9.7447
2025-04-16,8.5312
2025-05-16,8.5814
2025-06-16,10.0351
2025-07-16,10.0358
2025-08-16,10.0389
2025-09-16,9.4569
2025-10-16,9.4855
2025-11-16,9.4626
2025-12-16,12.3846
2026-01-16,12.3857
2026-02-16,12.6689
2026-03-16,12.6688
2026-04-16,11.3154
