date,gross_margin
2014-04-20,33.4616
2014-05-20,34.7558
2014-06-20,34.7558
2014-07-20,34.7558
2014-08-20,35.3804
2014-09-20,36.1387
2014-10-20,36.0445
2014-11-20,37.3382
2014-12-20,37.3382
2015-01-20,37.3382
2015-02-20,38.8837
2015-03-20,38.8877
2015-04-20,33.8837
2015-05-20,35.2666
2015-06-20,35.2688
2015-07-20,35.2687
2015-08-20,33.7561
2015-09-20,34.5946
2015-10-20,34.521
2015-11-20,34.8854
2015-12-20,34.8856
2016-01-20,34.8856
2016-02-20,35.8494
2016-03-20,36.0413
2016-04-20,33.213
2016-05-20,33.9216
2016-06-20,33.9221
2016-07-20,33.9217
2016-08-20,32.4561
2016-09-20,34.457
2016-10-20,34.3944
2016-11-20,35.5363
2016-12-20,35.5362
2017-01-20,35.5362
2017-02-20,37.0123
2017-03-20,36.637
2017-04-20,34.9534
2017-05-20,35.9935
2017-06-20,35.9922
2017-07-20,35.9925
2017-08-20,36.9489
2017-09-20,35.8107
2017-10-20,35.8577
2017-11-20,35.9644
2017-12-20,35.9643
2018-01-20,35.9643
2018-02-20,34.7966
2018-03-20,34.5709
2018-04-20,34.8198
2018-05-20,34.8386
2018-06-20,34.8386
2018-07-20,34.8426
2018-08-20,35.3018
2018-09-20,38.117
2018-10-20,38.1028
2018-11-20,38.0983
2018-12-20,38.1
2019-01-20,38.1
2019-02-20,38.2725
2019-03-20,38.6162
2019-04-20,37.2426
2019-05-20,37.2439
2019-06-20,37.2439
2019-07-20,37.2448
2019-08-20,35.458
2019-09-20,35.0402
2019-10-20,35.0554
2019-11-20,35.0562
2019-12-20,35.0542
2020-01-20,35.0542
2020-02-20,35.5285
2020-03-20,35.4999
2020-04-20,35.4999
2020-05-20,35.4999
2020-06-20,35.4999
2020-07-20,35.4999
2020-08-20,35.4999
2020-09-20,35.4999
2020-10-20,35.4999
2020-11-20,35.4999
2020-12-20,35.4999
2021-01-20,35.4999
2021-02-20,35.4999
2021-03-20,35.4999
2021-04-20,31.7327
2021-05-20,32.3257
2021-06-20,32.3257
2021-07-20,32.3247
2021-08-20,33.0024
2021-09-20,31.4212
2021-10-20,29.9558
2021-11-20,29.9559
2021-12-20,29.9536
2022-01-20,27.3401
2022-02-20,18.523
2022-03-20,18.5307
2022-04-20,26.6478
2022-05-20,30.9897
2022-06-20,30.988
2022-07-20,30.9881
2022-08-20,26.5356
2022-09-20,32.4174
2022-10-20,29.8548
2022-11-20,29.8858
2022-12-20,29.885
2023-01-20,29.885
2023-02-20,26.8363
2023-03-20,26.8044
2023-04-20,32.764
2023-05-20,32.4606
2023-06-20,28.5639
2023-07-20,28.5719
2023-08-20,28.5595
2023-09-20,30.8234
2023-10-20,31.5008
2023-11-20,31.5246
2023-12-20,25.5422
2024-01-20,25.5476
2024-02-20,25.5474
2024-03-20,25.5564
2024-04-20,29.2041
2024-05-20,30.9959
2024-06-20,31.0001
2024-07-20,29.5634
2024-08-20,29.5652
2024-09-20,32.0088
2024-10-20,31.9183
2024-11-20,31.9363
2024-12-20,29.3569
2025-01-20,29.357
2025-02-20,29.4815
2025-03-20,29.5527
2025-04-20,29.1639
2025-05-20,31.2587
2025-06-20,29.942
2025-07-20,30.0097
2025-08-20,29.9458
2025-09-20,32.5306
2025-10-20,32.6207
2025-11-20,32.7582
2025-12-20,30.1561
2026-01-20,30.1561
2026-02-20,29.9981
2026-03-20,29.8673
2026-04-20,32.8693
