date,pe
2013-04-20,11.6149
2013-05-20,11.8463
2013-06-20,11.6666
2013-07-20,10.8388
2013-08-20,10.9693
2013-09-20,10.5282
2013-10-20,11.1049
2013-11-20,11.3536
2013-12-20,11.6839
2014-01-20,11.4026
2014-02-20,10.6953
2014-03-20,11.0833
2014-04-20,10.6981
2014-05-20,10.7606
2014-06-20,11.2213
2014-07-20,11.2743
2014-08-20,12.2804
2014-09-20,11.8221
2014-10-20,10.9672
2014-11-20,11.5539
2014-12-20,11.5488
2015-01-20,11.3647
2015-02-20,11.522
2015-03-20,11.6139
2015-04-20,11.8005
2015-05-20,13.4516
2015-06-20,13.1112
2015-07-20,12.5515
2015-08-20,11.9577
2015-09-20,9.8794
2015-10-20,11.2956
2015-11-20,11.9918
2015-12-20,11.6505
2016-01-20,11.607
2016-02-20,10.1295
2016-03-20,9.9113
2016-04-20,11.1257
2016-05-20,11.5538
2016-06-20,11.4209
2016-07-20,11.4083
2016-08-20,12.6286
2016-09-20,12.7927
2016-10-20,13.0736
2016-11-20,13.3121
2016-12-20,13.2263
2017-01-20,12.7683
2017-02-20,13.077
2017-03-20,13.2519
2017-04-20,13.0974
2017-05-20,13.77
2017-06-20,14.3575
2017-07-20,14.3954
2017-08-20,14.0867
2017-09-20,13.2091
2017-10-20,13.0622
2017-11-20,13.5018
2017-12-20,13.914
2018-01-20,14.2677
2018-02-20,14.7548
2018-03-20,13.6991
2018-04-20,12.6465
2018-05-20,12.9814
2018-06-20,12.8381
2018-07-20,12.183
2018-08-20,11.6745
2018-09-20,11.6963
2018-10-20,11.5829
2018-11-20,10.411
2018-12-20,11.047
2019-01-20,10.7715
2019-02-20,11.7133
2019-03-20,12.0708
2019-04-20,12.5142
2019-05-20,12.7751
2019-06-20,11.5772
2019-07-20,12.2769
2019-08-20,11.4715
2019-09-20,10.5216
2019-10-20,10.6796
2019-11-20,11.0139
2019-12-20,10.7815
2020-01-20,11.5358
2020-02-20,10.6251
2020-03-20,10.5744
2020-04-20,9.475
2020-05-20,9.784
2020-06-20,9.1145
2020-07-20,10.1472
2020-08-20,10.2452
2020-09-20,11.5147
2020-10-20,10.657
2020-11-20,10.9523
2020-12-20,11.9617
2021-01-20,12.3656
2021-02-20,13.7617
2021-03-20,14.1401
2021-04-20,14.6526
2021-05-20,14.7833
2021-06-20,15.0031
2021-07-20,14.8254
2021-08-20,12.6429
2021-09-20,12.3274
2021-10-20,11.8015
2021-11-20,12.1868
2021-12-20,11.2727
2022-01-20,11.2357
2022-02-20,12.0667
2022-03-20,11.5066
2022-04-20,11.4075
2022-05-20,10.9739
2022-06-20,11.1448
2022-07-20,11.3757
2022-08-20,10.4464
2022-09-20,10.6323
2022-10-20,9.1575
2022-11-20,7.8337
2022-12-20,9.9191
2023-01-20,10.5507
2023-02-20,12.2369
2023-03-20,11.1527
2023-04-20,11.4355
2023-05-20,11.184
2023-06-20,9.4616
2023-07-20,9.8474
2023-08-20,10.4667
2023-09-20,10.2799
2023-10-20,10.1916
2023-11-20,9.7995
2023-12-20,9.0675
2024-01-20,9.0761
2024-02-20,8.2511
2024-03-20,8.812
2024-04-20,9.335
2024-05-20,9.9491
2024-06-20,10.1298
2024-07-20,9.8224
2024-08-20,9.6358
2024-09-20,9.6115
2024-10-20,11.3414
2024-11-20,10.8964
2024-12-20,9.6729
2025-01-20,9.9949
2025-02-20,10.077
2025-03-20,11.4457
2025-04-20,11.6171
2025-05-20,11.164
2025-06-20,10.9531
2025-07-20,11.2978
2025-08-20,11.6518
2025-09-20,12.0625
2025-10-20,13.0633
2025-11-20,12.6973
2025-12-20,12.9616
2026-01-20,12.8479
2026-02-20,13.8529
2026-03-20,13.4719
2026-04-20,13.6721
