date,roa
2013-04-20,1.6593
2013-05-20,1.6762
2013-06-20,1.6762
2013-07-20,1.6762
2013-08-20,1.686
2013-09-20,1.7233
2013-10-20,1.771
2013-11-20,1.7602
2013-12-20,1.7602
2014-01-20,1.7602
2014-02-20,1.6914
2014-03-20,1.7136
2014-04-20,1.6771
2014-05-20,1.6649
2014-06-20,1.6649
2014-07-20,1.6649
2014-08-20,1.6342
2014-09-20,1.6515
2014-10-20,1.6813
2014-11-20,1.6716
2014-12-20,1.6716
2015-01-20,1.6716
2015-02-20,1.6751
2015-03-20,1.7253
2015-04-20,1.7481
2015-05-20,1.7331
2015-06-20,1.7418
2015-07-20,1.7651
2015-08-20,1.6251
2015-09-20,1.7785
2015-10-20,1.8286
2015-11-20,1.6812
2015-12-20,1.6837
2016-01-20,1.6837
2016-02-20,1.5436
2016-03-20,1.5396
2016-04-20,1.7307
2016-05-20,1.5933
2016-06-20,1.5912
2016-07-20,1.6059
2016-08-20,1.4122
2016-09-20,1.292
2016-10-20,1.3231
2016-11-20,1.2788
2016-12-20,1.2825
2017-01-20,1.2825
2017-02-20,1.2476
2017-03-20,1.2523
2017-04-20,1.2893
2017-05-20,1.249
2017-06-20,1.2477
2017-07-20,1.264
2017-08-20,1.2432
2017-09-20,1.2757
2017-10-20,1.3091
2017-11-20,1.302
2017-12-20,1.3144
2018-01-20,1.3144
2018-02-20,1.3601
2018-03-20,1.3957
2018-04-20,1.4838
2018-05-20,1.4815
2018-06-20,1.4817
2018-07-20,1.5222
2018-08-20,1.492
2018-09-20,1.5019
2018-10-20,1.5585
2018-11-20,1.5584
2018-12-20,1.5754
2019-01-20,1.5754
2019-02-20,1.533
2019-03-20,1.5443
2019-04-20,1.4827
2019-05-20,1.4828
2019-06-20,1.4824
2019-07-20,1.5099
2019-08-20,1.4365
2019-09-20,1.4124
2019-10-20,1.4485
2019-11-20,1.4484
2019-12-20,1.4523
2020-01-20,1.4523
2020-02-20,1.4328
2020-03-20,1.4238
2020-04-20,1.3244
2020-05-20,1.3225
2020-06-20,1.3225
2020-07-20,1.1166
2020-08-20,1.1086
2020-09-20,0.8664
2020-10-20,0.8707
2020-11-20,0.8706
2020-12-20,0.8546
2021-01-20,0.8546
2021-02-20,0.8631
2021-03-20,0.8606
2021-04-20,0.9296
2021-05-20,1.0114
2021-06-20,1.0113
2021-07-20,0.9938
2021-08-20,1.0941
2021-09-20,1.195
2021-10-20,1.1983
2021-11-20,1.1982
2021-12-20,1.2032
2022-01-20,1.2032
2022-02-20,1.2473
2022-03-20,1.2457
2022-04-20,1.2482
2022-05-20,1.2483
2022-06-20,1.2483
2022-07-20,1.2531
2022-08-20,1.2255
2022-09-20,1.1796
2022-10-20,1.1802
2022-11-20,1.1765
2022-12-20,1.1813
2023-01-20,1.1813
2023-02-20,1.1888
2023-03-20,1.1764
2023-04-20,1.1067
2023-05-20,1.1906
2023-06-20,1.3211
2023-07-20,1.3236
2023-08-20,1.3205
2023-09-20,1.2908
2023-10-20,1.2931
2023-11-20,1.2923
2023-12-20,1.4194
2024-01-20,1.4183
2024-02-20,1.4163
2024-03-20,1.4095
2024-04-20,1.3558
2024-05-20,1.3147
2024-06-20,1.3133
2024-07-20,1.2906
2024-08-20,1.2946
2024-09-20,1.3185
2024-10-20,1.3064
2024-11-20,1.3074
2024-12-20,1.3734
2025-01-20,1.3726
2025-02-20,1.3719
2025-03-20,1.3685
2025-04-20,1.4452
2025-05-20,1.4577
2025-06-20,1.4024
2025-07-20,1.4028
2025-08-20,1.3998
2025-09-20,1.3861
2025-10-20,1.3906
2025-11-20,1.3794
2025-12-20,1.3733
2026-01-20,1.3732
2026-02-20,1.3602
2026-03-20,1.3589
2026-04-20,1.316
