date,roc
2013-04-20,5.5624
2013-05-20,5.5696
2013-06-20,5.5696
2013-07-20,5.5696
2013-08-20,5.7429
2013-09-20,5.9517
2013-10-20,5.978
2013-11-20,5.9422
2013-12-20,5.9422
2014-01-20,5.9422
2014-02-20,5.7243
2014-03-20,5.7992
2014-04-20,5.9253
2014-05-20,5.9198
2014-06-20,5.9198
2014-07-20,5.9198
2014-08-20,5.3626
2014-09-20,5.7001
2014-10-20,5.6726
2014-11-20,5.6402
2014-12-20,5.6402
2015-01-20,5.6402
2015-02-20,5.6547
2015-03-20,5.8242
2015-04-20,5.8603
2015-05-20,5.8107
2015-06-20,5.8399
2015-07-20,5.9179
2015-08-20,5.4225
2015-09-20,5.9193
2015-10-20,5.9259
2015-11-20,5.4484
2015-12-20,5.4564
2016-01-20,5.4564
2016-02-20,4.9568
2016-03-20,4.944
2016-04-20,5.6428
2016-05-20,5.1909
2016-06-20,5.1841
2016-07-20,5.2322
2016-08-20,4.7102
2016-09-20,4.3134
2016-10-20,4.3149
2016-11-20,4.1703
2016-12-20,4.1825
2017-01-20,4.1825
2017-02-20,4.0943
2017-03-20,4.1099
2017-04-20,4.3029
2017-05-20,4.169
2017-06-20,4.1647
2017-07-20,4.2191
2017-08-20,4.1275
2017-09-20,4.2906
2017-10-20,4.3174
2017-11-20,4.2939
2017-12-20,4.3348
2018-01-20,4.3348
2018-02-20,4.4714
2018-03-20,4.5886
2018-04-20,4.8869
2018-05-20,4.8789
2018-06-20,4.8795
2018-07-20,5.0129
2018-08-20,5.1177
2018-09-20,5.4464
2018-10-20,5.521
2018-11-20,5.5207
2018-12-20,5.5811
2019-01-20,5.5811
2019-02-20,5.2179
2019-03-20,5.2562
2019-04-20,4.9927
2019-05-20,4.9929
2019-06-20,4.9915
2019-07-20,5.084
2019-08-20,4.9388
2019-09-20,4.8967
2019-10-20,4.8633
2019-11-20,4.8629
2019-12-20,4.876
2020-01-20,4.876
2020-02-20,4.916
2020-03-20,4.8852
2020-04-20,4.4539
2020-05-20,4.4479
2020-06-20,4.4478
2020-07-20,3.8167
2020-08-20,3.7895
2020-09-20,3.1571
2020-10-20,3.1405
2020-11-20,3.1402
2020-12-20,3.0825
2021-01-20,3.0825
2021-02-20,3.1009
2021-03-20,3.0918
2021-04-20,3.3746
2021-05-20,3.634
2021-06-20,3.6338
2021-07-20,3.5707
2021-08-20,3.8972
2021-09-20,4.3208
2021-10-20,4.2074
2021-11-20,4.2071
2021-12-20,4.2246
2022-01-20,4.2246
2022-02-20,4.3306
2022-03-20,4.325
2022-04-20,4.3156
2022-05-20,4.3151
2022-06-20,4.3153
2022-07-20,4.3318
2022-08-20,4.2123
2022-09-20,4.1703
2022-10-20,4.0992
2022-11-20,4.0862
2022-12-20,4.1028
2023-01-20,4.1028
2023-02-20,4.0723
2023-03-20,4.0297
2023-04-20,3.8747
2023-05-20,4.1418
2023-06-20,4.5253
2023-07-20,4.5326
2023-08-20,4.518
2023-09-20,4.5036
2023-10-20,4.4343
2023-11-20,4.4314
2023-12-20,4.799
2024-01-20,4.7955
2024-02-20,4.7885
2024-03-20,4.7657
2024-04-20,4.5785
2024-05-20,4.37
2024-06-20,4.3654
2024-07-20,4.1624
2024-08-20,4.1753
2024-09-20,4.3693
2024-10-20,4.2687
2024-11-20,4.2717
2024-12-20,4.3324
2025-01-20,4.3299
2025-02-20,4.3279
2025-03-20,4.3171
2025-04-20,4.7386
2025-05-20,4.773
2025-06-20,4.4657
2025-07-20,4.4663
2025-08-20,4.4566
2025-09-20,4.5161
2025-10-20,4.4922
2025-11-20,4.456
2025-12-20,4.228
2026-01-20,4.2278
2026-02-20,4.1878
2026-03-20,4.1838
2026-04-20,4.1194
