Rank_2026,Rank_2025,Group_Name_Korean,Group_Name_English,Fair_Assets_KRW_Trillion,Cross_Shareholding_Restricted,Newly_Designated_2026,Notes
1,1,삼성,Samsung,,Yes,No,
2,2,에스케이,SK,422.0,Yes,No,
3,3,현대자동차,Hyundai Motor,,Yes,No,
4,4,엘지,LG,186.3,Yes,No,
5,7,한화,Hanwha,149.6,Yes,No,Rose 2 spots; defense sector boom (Hanwha Aerospace etc.)
6,5,롯데,Lotte,142.4,Yes,No,Fell from #5
7,6,포스코,POSCO,140.6,Yes,No,Fell from #6
8,8,에이치디현대,HD Hyundai,,Yes,No,
9,9,농협,NongHyup,,Yes,No,
10,10,지에스,GS,,Yes,No,
11,11,세계,Segye,,Yes,No,
12,12,한진,Hanjin,,Yes,No,
13,13,케이티,KT,,Yes,No,
14,14,씨제이,CJ,,Yes,No,
15,15,엘에스,LS,,Yes,No,
16,16,카카오,Kakao,,Yes,No,
17,17,에이치엠엠,HMM,,Yes,No,
18,18,두산,Doosan,,Yes,No,
19,19,디엘,DL,,Yes,No,
20,20,중흥건설,Joonghong Construction,,Yes,No,Same person changed to Jeong Won-joo (founder Jeong Chang-sun died Feb 2026)
21,21,셀트리온,Celltrion,,Yes,No,
22,22,네이버,Naver,,Yes,No,
23,23,에스-오일,S-Oil,,Yes,No,
24,24,미래에셋,Mirae Asset,,Yes,No,
25,25,쿠팡,Coupang,,Yes,No,Same person changed to Kim Beom-seok (natural person; brother's mgmt role triggered change)
26,26,현대백화점,Hyundai Department Store,,Yes,No,
27,27,한국앤컴퍼니그룹,Korea Ancompany Group,,Yes,No,
28,28,부영,Booyoung,,Yes,No,
29,29,영풍,Youngpoong,,Yes,No,
30,30,하림,Harim,,Yes,No,
31,31,효성,Hyosung,,Yes,No,
32,32,장금상선,Janggeum Shipping,,Yes,No,
33,33,에스엠,SM,,Yes,No,
34,34,에이치디씨,HDC,,Yes,No,
35,35,호반건설,Hoban Construction,,Yes,No,
36,36,두나무,Dunamu,,Yes,No,Legal entity (Dunamu Co.) maintained as same person
37,40,디비,DB,,Yes,No,Rose from #40; stock market boom boosted securities affiliates
38,38,케이티앤지,KT&G,,Yes,No,
39,39,코오롱,Kolon,,Yes,No,
40,40,케이씨씨,KCC,,Yes,No,
41,41,넥슨,Nexon,,Yes,No,
42,47,교보생명보험,Kyobo Life Insurance,,Yes,No,Upgraded to cross-shareholding restricted; acquired SBI Savings Bank
43,43,오씨아이,OCI,,Yes,No,
44,44,엘엑스,LX,,Yes,No,
45,45,세아,SeAH,,Yes,No,
46,46,넷마블,Netmarble,,No,No,
47,49,다우키움,Daou Kiwoom,,Yes,No,Upgraded to cross-shareholding restricted; stock market boom
48,59,태광,Taekwang,,Yes,No,Rose from #59; acquired AK Industries (애경산업)
49,50,이랜드,Eland,,No,No,Downgraded from cross-shareholding restricted
50,51,한국지엠,Korea GM,,No,No,
51,52,케이지,KG,,No,No,
52,64,소노인터내셔널,Sono International,,No,No,Rose from #64; acquired T'way Air (티웨이항공)
53,62,한국항공우주산업,Korea Aerospace Industries (KAI),,No,No,Rose from #62; defense sector demand surge
