date,div_yield
2004-01-20,2.353
2004-02-20,2.0904
2004-03-20,2.071
2004-04-20,2.0145
2004-05-20,2.4341
2004-06-20,2.5084
2004-07-20,2.6581
2004-08-20,2.5242
2004-09-20,2.3061
2004-10-20,2.3777
2004-11-20,2.2654
2004-12-20,2.1573
2005-01-20,2.7406
2005-02-20,2.5371
2005-03-20,2.5575
2005-04-20,2.6796
2005-05-20,2.6248
2005-06-20,2.5222
2005-07-20,2.2207
2005-08-20,2.1696
2005-09-20,1.981
2005-10-20,1.9948
2005-11-20,1.8205
2005-12-20,1.7031
2006-01-20,1.8432
2006-02-20,1.7911
2006-03-20,1.791
2006-04-20,1.7313
2006-05-20,1.8077
2006-06-20,1.9583
2006-07-20,1.8979
2006-08-20,1.7559
2006-09-20,1.7144
2006-10-20,1.6988
2006-11-20,1.6437
2006-12-20,1.6024
2007-01-20,2.0748
2007-02-20,1.8933
2007-03-20,1.9116
2007-04-20,1.9394
2007-05-20,1.8593
2007-06-20,1.6991
2007-07-20,1.541
2007-08-20,1.7661
2007-09-20,1.5685
2007-10-20,1.5327
2007-11-20,1.5966
2007-12-20,1.5798
2008-01-20,1.8469
2008-02-20,1.8843
2008-03-20,1.9503
2008-04-20,1.7345
2008-05-20,1.6378
2008-06-20,1.7613
2008-07-20,2.0149
2008-08-20,2.0293
2008-09-20,2.1249
2008-10-20,2.2928
2008-11-20,2.9248
2008-12-20,2.3447
2009-01-20,1.8092
2009-02-20,1.9155
2009-03-20,1.701
2009-04-20,1.4516
2009-05-20,1.3577
2009-06-20,1.4086
2009-07-20,1.2614
2009-08-20,1.1821
2009-09-20,1.0876
2009-10-20,1.0866
2009-11-20,1.1055
2009-12-20,1.0901
2010-01-20,1.2834
2010-02-20,1.3829
2010-03-20,1.3094
2010-04-20,1.2969
2010-05-20,1.3958
2010-06-20,1.3176
2010-07-20,1.3927
2010-08-20,1.3618
2010-09-20,1.3169
2010-10-20,1.3184
2010-11-20,1.2596
2010-12-20,1.1918
2011-01-20,1.3523
2011-02-20,1.4186
2011-03-20,1.4311
2011-04-20,1.3119
2011-05-20,1.3523
2011-06-20,1.433
2011-07-20,1.3391
2011-08-20,1.6832
2011-09-20,1.5786
2011-10-20,1.53
2011-11-20,1.5094
2011-12-20,1.5478
2012-01-20,1.3488
2012-02-20,1.3011
2012-03-20,1.2786
2012-04-20,1.2967
2012-05-20,1.4392
2012-06-20,1.3327
2012-07-20,1.3788
2012-08-20,1.2106
2012-09-20,1.1926
2012-10-20,1.2327
2012-11-20,1.2669
2012-12-20,1.1833
2013-01-20,1.153
2013-02-20,1.1251
2013-03-20,1.1734
2013-04-20,1.2044
2013-05-20,1.165
2013-06-20,1.2447
2013-07-20,1.2361
2013-08-20,1.2201
2013-09-20,1.1344
2013-10-20,1.0976
2013-11-20,1.1209
2013-12-20,1.14
2014-01-20,1.1405
2014-02-20,1.1584
2014-03-20,1.1692
2014-04-20,1.1008
2014-05-20,1.0947
2014-06-20,1.1278
2014-07-20,1.0962
2014-08-20,1.0753
2014-09-20,1.0946
2014-10-20,1.1816
2014-11-20,1.1573
2014-12-20,1.1619
2015-01-20,1.4281
2015-02-20,1.4112
2015-03-20,1.2855
2015-04-20,1.286
2015-05-20,1.3019
2015-06-20,1.3794
2015-07-20,1.3879
2015-08-20,1.4848
2015-09-20,1.4097
2015-10-20,1.3665
