date,ebitda_margin
2004-05-20,17.6198
2004-06-20,17.622
2004-07-20,17.6317
2004-08-20,17.7713
2004-09-20,17.7713
2004-10-20,17.7713
2004-11-20,17.7713
2004-12-20,17.7713
2005-01-20,17.7713
2005-02-20,17.7713
2005-03-20,17.7713
2005-04-20,17.7713
2005-05-20,19.8927
2005-06-20,18.0148
2005-07-20,18.0383
2005-08-20,18.1092
2005-09-20,18.1042
2005-10-20,18.1042
2005-11-20,18.1042
2005-12-20,18.1042
2006-01-20,18.1042
2006-02-20,18.1042
2006-03-20,18.1042
2006-04-20,18.1042
2006-05-20,16.503
2006-06-20,15.8811
2006-07-20,15.9178
2006-08-20,15.9169
2006-09-20,15.9169
2006-10-20,15.9169
2006-11-20,15.9169
2006-12-20,15.9169
2007-01-20,15.9169
2007-02-20,15.9169
2007-03-20,15.9169
2007-04-20,15.9169
2007-05-20,16.1125
2007-06-20,16.0855
2007-07-20,16.062
2007-08-20,20.2393
2007-09-20,19.0124
2007-10-20,19.2109
2007-11-20,20.0982
2007-12-20,20.0775
2008-01-20,20.4707
2008-02-20,7.9224
2008-03-20,7.67
2008-04-20,15.9918
2008-05-20,16.0835
2008-06-20,16.0835
2008-07-20,16.2845
2008-08-20,16.9664
2008-09-20,17.3246
2008-10-20,17.7075
2008-11-20,17.5473
2008-12-20,17.678
2009-01-20,17.6013
2009-02-20,17.2806
2009-03-20,17.5787
2009-04-20,15.6094
2009-05-20,14.3631
2009-06-20,14.3631
2009-07-20,14.295
2009-08-20,13.5345
2009-09-20,14.2366
2009-10-20,14.3983
2009-11-20,14.0629
2009-12-20,13.7777
2010-01-20,13.7449
2010-02-20,13.1449
2010-03-20,14.359
2010-04-20,14.7383
2010-05-20,14.3452
2010-06-20,14.3604
2010-07-20,14.4786
2010-08-20,13.9869
2010-09-20,15.6788
2010-10-20,15.7027
2010-11-20,15.7589
2010-12-20,15.1327
2011-01-20,15.5543
2011-02-20,15.4555
2011-03-20,15.0623
2011-04-20,14.7535
2011-05-20,14.6909
2011-06-20,13.4399
2011-07-20,13.4333
2011-08-20,13.4412
2011-09-20,13.5649
2011-10-20,13.5579
2011-11-20,13.539
2011-12-20,13.5062
2012-01-20,13.4258
2012-02-20,13.4608
2012-03-20,12.8306
2012-04-20,13.9746
2012-05-20,14.029
2012-06-20,13.8738
2012-07-20,13.8624
2012-08-20,13.8866
2012-09-20,13.4839
2012-10-20,13.4838
2012-11-20,13.5145
2012-12-20,13.5128
2013-01-20,13.5082
2013-02-20,13.5025
2013-03-20,12.9983
2013-04-20,13.3214
2013-05-20,13.3726
2013-06-20,13.098
2013-07-20,13.0905
2013-08-20,13.141
2013-09-20,13.2171
2013-10-20,13.2215
2013-11-20,13.2706
2013-12-20,13.1348
2014-01-20,13.1325
2014-02-20,13.1978
2014-03-20,12.0234
2014-04-20,12.8393
2014-05-20,12.8244
2014-06-20,12.6149
2014-07-20,12.6149
2014-08-20,12.6355
2014-09-20,12.6558
2014-10-20,12.6558
2014-11-20,12.6514
2014-12-20,12.0975
2015-01-20,12.0687
2015-02-20,12.0738
2015-03-20,11.4846
2015-04-20,12.5732
2015-05-20,12.5732
2015-06-20,12.7648
2015-07-20,12.7652
2015-08-20,12.7851
2015-09-20,13.6002
2015-10-20,13.6002
2015-11-20,13.3586
2015-12-20,14.8782
2016-01-20,14.8782
2016-02-20,14.083
2016-03-20,13.6119
2016-04-20,14.1818
2016-05-20,14.1928
2016-06-20,15.1909
2016-07-20,15.1909
2016-08-20,14.6059
2016-09-20,15.5711
2016-10-20,15.5711
2016-11-20,14.695
2016-12-20,15.749
2017-01-20,15.749
2017-02-20,14.861
2017-03-20,15.0007
2017-04-20,15.0727
2017-05-20,15.0727
2017-06-20,15.6601
2017-07-20,15.6601
2017-08-20,15.6601
2017-09-20,15.8766
2017-10-20,15.8766
2017-11-20,15.8766
2017-12-20,16.4445
2018-01-20,16.4445
2018-02-20,16.4445
2018-03-20,16.7121
2018-04-20,16.8921
2018-05-20,16.8736
2018-06-20,17.1451
2018-07-20,17.1451
2018-08-20,17.1425
2018-09-20,17.4598
2018-10-20,17.4598
2018-11-20,17.4598
2018-12-20,17.7588
2019-01-20,17.7588
2019-02-20,17.7585
2019-03-20,17.147
2019-04-20,17.6353
2019-05-20,17.6349
2019-06-20,16.8775
2019-07-20,16.8775
2019-08-20,16.8775
2019-09-20,16.1935
2019-10-20,16.1935
2019-11-20,16.1375
2019-12-20,15.2138
2020-01-20,15.2138
2020-02-20,15.1604
2020-03-20,13.5752
2020-04-20,15.0735
2020-05-20,15.0152
2020-06-20,14.5567
2020-07-20,14.576
2020-08-20,14.5457
2020-09-20,14.8487
2020-10-20,14.8487
2020-11-20,14.8337
2020-12-20,15.4156
2021-01-20,15.4156
2021-02-20,15.3613
2021-03-20,15.1939
2021-04-20,15.8503
2021-05-20,15.8503
2021-06-20,16.6997
2021-07-20,16.5967
2021-08-20,16.5961
2021-09-20,17.1236
2021-10-20,17.1236
2021-11-20,17.1256
2021-12-20,17.8671
2022-01-20,17.8671
2022-02-20,17.9073
2022-03-20,17.7376
2022-04-20,18.0026
2022-05-20,18.0026
2022-06-20,17.9457
2022-07-20,17.9471
2022-08-20,17.9628
2022-09-20,17.894
2022-10-20,17.894
2022-11-20,17.8987
2022-12-20,16.7583
2023-01-20,16.7583
2023-02-20,16.7625
2023-03-20,14.7392
2023-04-20,15.4664
2023-05-20,15.4664
2023-06-20,14.6617
2023-07-20,14.6617
2023-08-20,14.696
2023-09-20,14.1146
2023-10-20,14.1146
2023-11-20,14.1934
2023-12-20,14.5813
2024-01-20,14.5813
2024-02-20,14.5813
2024-03-20,10.2518
2024-04-20,15.3917
2024-05-20,15.3917
2024-06-20,16.2923
2024-07-20,16.2803
2024-08-20,16.2803
2024-09-20,17.2135
2024-10-20,17.2135
2024-11-20,17.2135
2024-12-20,17.9146
2025-01-20,17.9146
2025-02-20,17.9146
2025-03-20,18.8743
2025-04-20,18.6891
2025-05-20,18.6891
2025-06-20,18.8249
2025-07-20,18.8225
2025-08-20,18.8225
2025-09-20,18.7454
2025-10-20,18.7454
2025-11-20,18.7454
2025-12-20,18.9876
2026-01-20,18.9876
2026-02-20,18.9876
2026-03-20,18.1559
2026-04-20,19.7518
