date,gross_margin
2004-05-16,25.9423
2004-06-16,26.0068
2004-07-16,26.0413
2004-08-16,26.4045
2004-09-16,26.4045
2004-10-16,26.4045
2004-11-16,26.4045
2004-12-16,26.4045
2005-01-16,26.4045
2005-02-16,26.4045
2005-03-16,26.4045
2005-04-16,26.4045
2005-05-16,24.7127
2005-06-16,25.6814
2005-07-16,25.8217
2005-08-16,25.9852
2005-09-16,26.0492
2005-10-16,26.0492
2005-11-16,26.0492
2005-12-16,26.0492
2006-01-16,26.0492
2006-02-16,26.0492
2006-03-16,26.0492
2006-04-16,26.0492
2006-05-16,23.6829
2006-06-16,23.762
2006-07-16,23.9654
2006-08-16,24.1086
2006-09-16,24.1086
2006-10-16,24.1086
2006-11-16,24.1086
2006-12-16,24.1086
2007-01-16,24.1086
2007-02-16,24.1086
2007-03-16,24.1086
2007-04-16,24.1086
2007-05-16,21.5963
2007-06-16,21.5609
2007-07-16,21.5547
2007-08-16,29.6251
2007-09-16,29.5843
2007-10-16,29.8082
2007-11-16,29.8082
2007-12-16,29.8082
2008-01-16,29.8082
2008-02-16,29.8082
2008-03-16,29.8082
2008-04-16,23.4186
2008-05-16,21.5075
2008-06-16,21.5075
2008-07-16,22.0433
2008-08-16,27.7511
2008-09-16,28.3845
2008-10-16,28.3961
2008-11-16,28.3961
2008-12-16,28.3961
2009-01-16,28.3961
2009-02-16,28.3961
2009-03-16,28.3961
2009-04-16,22.1012
2009-05-16,20.0679
2009-06-16,20.0679
2009-07-16,20.1766
2009-08-16,29.2503
2009-09-16,30.8996
2009-10-16,31.1765
2009-11-16,31.1765
2009-12-16,31.1765
2010-01-16,31.1765
2010-02-16,31.1765
2010-03-16,31.1765
2010-04-16,22.2743
2010-05-16,21.7915
2010-06-16,21.8968
2010-07-16,22.1664
2010-08-16,291573353.5379
2010-09-16,295986902.6934
2010-10-16,295986902.6934
2010-11-16,295338562.5852
2010-12-16,264538802.9478
2011-01-16,272735676.7813
2011-02-16,268295368.909
2011-03-16,260486472.657
2011-04-16,23.1019
2011-05-16,22.943
2011-06-16,25.6241
2011-07-16,25.6594
2011-08-16,25.6879
2011-09-16,25.6879
2011-10-16,25.6879
2011-11-16,25.6879
2011-12-16,25.6879
2012-01-16,25.6879
2012-02-16,25.6879
2012-03-16,23.9458
2012-04-16,20.768
2012-05-16,20.8625
2012-06-16,20.5339
2012-07-16,20.5113
2012-08-16,20.6102
2012-09-16,20.2503
2012-10-16,20.25
2012-11-16,20.3394
2012-12-16,20.3199
2013-01-16,20.3108
2013-02-16,20.3917
2013-03-16,23.3537
2013-04-16,20.2049
2013-05-16,20.3383
2013-06-16,20.7278
2013-07-16,20.6931
2013-08-16,20.8129
2013-09-16,21.5062
2013-10-16,21.5135
2013-11-16,21.6529
2013-12-16,21.728
2014-01-16,21.7241
2014-02-16,21.8953
2014-03-16,23.0325
2014-04-16,21.688
2014-05-16,22.0275
2014-06-16,22.3343
2014-07-16,22.3343
2014-08-16,22.3994
2014-09-16,22.0115
2014-10-16,22.0115
2014-11-16,21.9787
2014-12-16,22.2974
2015-01-16,22.1924
2015-02-16,22.1894
2015-03-16,23.244
2015-04-16,22.0067
2015-05-16,22.0067
2015-06-16,21.9031
2015-07-16,21.8995
2015-08-16,21.9568
2015-09-16,24.9552
2015-10-16,24.9552
2015-11-16,22.7846
2015-12-16,24.001
2016-01-16,24.001
2016-02-16,24.001
2016-03-16,26.2634
2016-04-16,24.2395
2016-05-16,24.2585
2016-06-16,24.4666
2016-07-16,24.4666
2016-08-16,29.9739
2016-09-16,24.9679
2016-10-16,24.9679
2016-11-16,24.9679
2016-12-16,25.2787
2017-01-16,25.2787
2017-02-16,25.2787
2017-03-16,31.8248
2017-04-16,25.7314
2017-05-16,25.7314
2017-06-16,26.3008
2017-07-16,26.3008
2017-08-16,26.3008
2017-09-16,26.5425
2017-10-16,26.5425
2017-11-16,26.5425
2017-12-16,27.0761
2018-01-16,27.0761
2018-02-16,27.0761
2018-03-16,28.6356
2018-04-16,27.4646
2018-05-16,27.5075
2018-06-16,27.1711
2018-07-16,27.1711
2018-08-16,27.1711
2018-09-16,26.9724
2018-10-16,26.9724
2018-11-16,26.9724
2018-12-16,26.8936
2019-01-16,26.887
2019-02-16,26.8865
2019-03-16,28.4974
2019-04-16,25.9877
2019-05-16,26.0052
2019-06-16,25.1846
2019-07-16,25.1846
2019-08-16,25.1846
2019-09-16,24.3475
2019-10-16,24.3475
2019-11-16,24.3475
2019-12-16,23.2235
2020-01-16,23.2235
2020-02-16,23.2235
2020-03-16,23.6943
2020-04-16,22.7221
2020-05-16,22.7194
2020-06-16,22.0679
2020-07-16,22.0738
2020-08-16,22.0738
2020-09-16,22.157
2020-10-16,22.157
2020-11-16,22.157
2020-12-16,23.1215
2021-01-16,23.1215
2021-02-16,23.1215
2021-03-16,18.591
2021-04-16,23.2539
2021-05-16,23.2539
2021-06-16,24.0837
2021-07-16,24.3995
2021-08-16,24.4001
2021-09-16,24.9159
2021-10-16,24.9159
2021-11-16,24.9193
2021-12-16,25.9239
2022-01-16,25.9239
2022-02-16,25.9315
2022-03-16,25.3578
2022-04-16,26.0065
2022-05-16,26.0065
2022-06-16,25.9922
2022-07-16,25.9622
2022-08-16,25.9964
2022-09-16,25.4119
2022-10-16,25.4119
2022-11-16,25.4275
2022-12-16,23.9118
2023-01-16,23.9118
2023-02-16,23.9147
2023-03-16,21.3908
2023-04-16,22.4298
2023-05-16,22.4298
2023-06-16,20.7588
2023-07-16,20.7588
2023-08-16,20.8081
2023-09-16,19.3263
2023-10-16,19.3263
2023-11-16,19.4323
2023-12-16,19.4887
2024-01-16,19.4887
2024-02-16,19.4887
2024-03-16,47.9679
2024-04-16,20.0012
2024-05-16,20.0012
2024-06-16,21.2073
2024-07-16,21.1946
2024-08-16,21.1946
2024-09-16,22.1864
2024-10-16,22.1864
2024-11-16,22.1864
2024-12-16,23.3667
2025-01-16,23.3667
2025-02-16,23.3667
2025-03-16,25.6065
2025-04-16,24.5566
2025-05-16,24.5566
2025-06-16,24.6754
2025-07-16,24.6754
2025-08-16,24.6754
2025-09-16,24.9055
2025-10-16,24.9055
2025-11-16,24.9055
2025-12-16,24.7799
2026-01-16,24.7799
2026-02-16,24.7799
2026-03-16,24.9279
2026-04-16,24.8955
