date,pb
2004-01-16,1.2756
2004-02-16,1.3521
2004-03-16,1.4134
2004-04-16,1.4141
2004-05-16,1.2853
2004-06-16,1.1908
2004-07-16,1.1613
2004-08-16,1.0732
2004-09-16,1.159
2004-10-16,1.2131
2004-11-16,1.1971
2004-12-16,1.2571
2005-01-16,1.2776
2005-02-16,1.3412
2005-03-16,1.4497
2005-04-16,1.3825
2005-05-16,1.1652
2005-06-16,1.2409
2005-07-16,1.2865
2005-08-16,1.4237
2005-09-16,1.3905
2005-10-16,1.5638
2005-11-16,1.4838
2005-12-16,1.6543
2006-01-16,1.7688
2006-02-16,1.8144
2006-03-16,1.7823
2006-04-16,1.7697
2006-05-16,1.6289
2006-06-16,1.4977
2006-07-16,1.4665
2006-08-16,1.466
2006-09-16,1.5263
2006-10-16,1.549
2006-11-16,1.6086
2006-12-16,1.6825
2007-01-16,1.6864
2007-02-16,1.5953
2007-03-16,1.6607
2007-04-16,1.6964
2007-05-16,1.6388
2007-06-16,1.7861
2007-07-16,1.8237
2007-08-16,2.0147
2007-09-16,1.9649
2007-10-16,2.0355
2007-11-16,2.1164
2007-12-16,1.9659
2008-01-16,1.9607
2008-02-16,1.6595
2008-03-16,1.732
2008-04-16,1.6042
2008-05-16,1.7232
2008-06-16,1.7412
2008-07-16,1.5671
2008-08-16,1.4869
2008-09-16,1.3774
2008-10-16,1.3603
2008-11-16,1.0921
2008-12-16,1.0415
2009-01-16,1.0836
2009-02-16,1.1071
2009-03-16,1.0071
2009-04-16,1.0916
2009-05-16,1.2357
2009-06-16,1.2547
2009-07-16,1.2567
2009-08-16,1.4629
2009-09-16,1.4952
2009-10-16,1.584
2009-11-16,1.4926
2009-12-16,1.4777
2010-01-16,1.6012
2010-02-16,1.5251
2010-03-16,1.5107
2010-04-16,1.4154
2010-05-16,1.4692
2010-06-16,1.3873
2010-07-16,1.4269
2010-08-16,1.4505
2010-09-16,1.4073
2010-10-16,1.5074
2010-11-16,1.5078
2010-12-16,1.5327
2011-01-16,1.665
2011-02-16,1.6778
2011-03-16,1.5748
2011-04-16,1.5361
2011-05-16,1.6105
2011-06-16,1.462
2011-07-16,1.4244
2011-08-16,1.4407
2011-09-16,1.2108
2011-10-16,1.1521
2011-11-16,1.2521
2011-12-16,1.1807
2012-01-16,1.1655
2012-02-16,1.2628
2012-03-16,1.328
2012-04-16,1.2865
2012-05-16,1.2851
2012-06-16,1.1529
2012-07-16,1.1572
2012-08-16,1.1868
2012-09-16,1.1763
2012-10-16,1.2323
2012-11-16,1.1796
2012-12-16,1.1602
2013-01-16,1.2043
2013-02-16,1.1828
2013-03-16,1.228
2013-04-16,1.1894
2013-05-16,1.1563
2013-06-16,1.1666
2013-07-16,1.0811
2013-08-16,1.1091
2013-09-16,1.1125
2013-10-16,1.1531
2013-11-16,1.1777
2013-12-16,1.1698
2014-01-16,1.1467
2014-02-16,1.096
2014-03-16,1.1134
2014-04-16,1.1046
2014-05-16,1.0912
2014-06-16,1.1045
2014-07-16,1.1072
2014-08-16,1.1449
2014-09-16,1.117
2014-10-16,1.0806
2014-11-16,1.0552
2014-12-16,1.0504
2015-01-16,1.0107
2015-02-16,1.0358
2015-03-16,1.0341
2015-04-16,1.0505
2015-05-16,1.0878
2015-06-16,1.0704
2015-07-16,1.0375
2015-08-16,1.0047
2015-09-16,0.9417
2015-10-16,0.9575
2015-11-16,1.0089
2015-12-16,0.9775
2016-01-16,0.9621
2016-02-16,0.9289
2016-03-16,0.9019
2016-04-16,0.987
2016-05-16,0.9844
2016-06-16,0.97
2016-07-16,0.972
2016-08-16,1.018
2016-09-16,1.0095
2016-10-16,1.0119
2016-11-16,1.0058
2016-12-16,0.983
2017-01-16,1.0052
2017-02-16,1.0365
2017-03-16,0.9773
2017-04-16,1.0551
2017-05-16,1.0798
2017-06-16,1.1617
2017-07-16,1.1887
2017-08-16,1.1995
2017-09-16,1.1159
2017-10-16,1.1448
2017-11-16,1.2074
2017-12-16,1.1484
2018-01-16,1.1466
2018-02-16,1.1771
2018-03-16,1.0793
2018-04-16,1.1075
2018-05-16,1.1391
2018-06-16,1.1168
2018-07-16,1.0764
2018-08-16,1.0684
2018-09-16,1.0535
2018-10-16,1.055
2018-11-16,0.9269
2018-12-16,0.9267
2019-01-16,0.895
2019-02-16,0.9767
2019-03-16,0.9335
2019-04-16,0.9194
2019-05-16,0.9474
2019-06-16,0.8659
2019-07-16,0.9105
2019-08-16,0.8739
2019-09-16,0.8377
2019-10-16,0.8847
2019-11-16,0.8921
2019-12-16,0.885
2020-01-16,0.9393
2020-02-16,0.9097
2020-03-16,0.847
2020-04-16,0.7558
2020-05-16,0.8249
2020-06-16,0.8644
2020-07-16,0.9023
2020-08-16,0.9643
2020-09-16,0.9809
2020-10-16,0.9882
2020-11-16,0.9632
2020-12-16,1.0845
2021-01-16,1.22
2021-02-16,1.2687
2021-03-16,1.2906
2021-04-16,1.3201
2021-05-16,1.3434
2021-06-16,1.3306
2021-07-16,1.3645
2021-08-16,1.3181
2021-09-16,1.2724
2021-10-16,1.2163
2021-11-16,1.1775
2021-12-16,1.1024
2022-01-16,1.1643
2022-02-16,1.0574
2022-03-16,1.0739
