date,pe
2004-05-16,11.578
2004-06-16,10.7346
2004-07-16,10.5929
2004-08-16,9.8809
2004-09-16,10.6712
2004-10-16,11.1691
2004-11-16,11.1691
2004-12-16,11.1691
2005-01-16,11.1691
2005-02-16,11.1691
2005-03-16,11.1691
2005-04-16,11.1691
2005-05-16,7.0593
2005-06-16,7.3651
2005-07-16,7.6849
2005-08-16,8.6033
2005-09-16,8.4472
2005-10-16,9.5
2005-11-16,9.5
2005-12-16,9.5
2006-01-16,9.5
2006-02-16,9.5
2006-03-16,9.5
2006-04-16,9.5
2006-05-16,12.6023
2006-06-16,11.0653
2006-07-16,10.8597
2006-08-16,11.0421
2006-09-16,11.4962
2006-10-16,11.6672
2006-11-16,11.6672
2006-12-16,11.6672
2007-01-16,11.6672
2007-02-16,11.6672
2007-03-16,11.6672
2007-04-16,11.6672
2007-05-16,14.0801
2007-06-16,15.3519
2007-07-16,15.6936
2007-08-16,15.4705
2007-09-16,15.1092
2007-10-16,15.8203
2007-11-16,15.2915
2007-12-16,14.3815
2008-01-16,14.145
2008-02-16,11.8256
2008-03-16,12.3975
2008-04-16,13.8354
2008-05-16,15.3323
2008-06-16,15.4928
2008-07-16,14.1476
2008-08-16,11.7413
2008-09-16,10.8386
2008-10-16,10.6724
2008-11-16,7.8837
2008-12-16,7.5303
2009-01-16,7.8232
2009-02-16,8.3821
2009-03-16,7.7882
2009-04-16,14.0266
2009-05-16,17.3788
2009-06-16,17.6454
2009-07-16,17.8587
2009-08-16,19.3468
2009-09-16,19.8919
2009-10-16,20.9672
2009-11-16,22.4511
2009-12-16,22.2855
2010-01-16,24.2391
2010-02-16,22.648
2010-03-16,23.1218
2010-04-16,16.8122
2010-05-16,17.3771
2010-06-16,16.3028
2010-07-16,16.8005
2010-08-16,12.2869
2010-09-16,10.6151
2010-10-16,11.3777
2010-11-16,11.4183
2010-12-16,10.7439
2011-01-16,11.6101
2011-02-16,11.8675
2011-03-16,11.4977
2011-04-16,12.7826
2011-05-16,13.5426
2011-06-16,12.9815
2011-07-16,12.6438
2011-08-16,12.7746
2011-09-16,10.1427
2011-10-16,9.6525
2011-11-16,10.4565
2011-12-16,10.75
2012-01-16,10.7187
