date,roa
2004-05-16,1.8544
2004-06-16,1.8539
2004-07-16,1.8355
2004-08-16,1.8145
2004-09-16,1.8145
2004-10-16,1.8145
2004-11-16,1.8145
2004-12-16,1.8145
2005-01-16,1.8145
2005-02-16,1.8145
2005-03-16,1.8145
2005-04-16,1.8145
2005-05-16,3.3088
2005-06-16,3.3275
2005-07-16,3.3071
2005-08-16,3.2623
2005-09-16,3.2473
2005-10-16,3.2473
2005-11-16,3.2473
2005-12-16,3.2473
2006-01-16,3.2473
2006-02-16,3.2473
2006-03-16,3.2473
2006-04-16,3.2473
2006-05-16,3.276
2006-06-16,3.5417
2006-07-16,3.5232
2006-08-16,3.4632
2006-09-16,3.4632
2006-10-16,3.4632
2006-11-16,3.4632
2006-12-16,3.4632
2007-01-16,3.4632
2007-02-16,3.4632
2007-03-16,3.4632
2007-04-16,3.4632
2007-05-16,2.5189
2007-06-16,2.5182
2007-07-16,2.5241
2007-08-16,2.754
2007-09-16,2.7521
2007-10-16,2.7462
2007-11-16,3.0381
2007-12-16,2.9561
2008-01-16,3.0166
2008-02-16,2.9345
2008-03-16,2.923
2008-04-16,2.5958
2008-05-16,2.4894
2008-06-16,2.4894
2008-07-16,2.4736
2008-08-16,2.5899
2008-09-16,2.5957
2008-10-16,2.6049
2008-11-16,2.8232
2008-12-16,2.8128
2009-01-16,2.808
2009-02-16,2.666
2009-03-16,2.6451
2009-04-16,1.3016
2009-05-16,1.1938
2009-06-16,1.1938
2009-07-16,1.1878
2009-08-16,1.3598
2009-09-16,1.3402
2009-10-16,1.3461
2009-11-16,1.1877
2009-12-16,1.1927
2010-01-16,1.1826
2010-02-16,1.2994
2010-03-16,1.2797
2010-04-16,1.6206
2010-05-16,1.7182
2010-06-16,1.7217
2010-07-16,1.7206
2010-08-16,2.4637
2010-09-16,2.8706
2010-10-16,2.8688
2010-11-16,2.8655
2010-12-16,3.1531
2011-01-16,3.1658
2011-02-16,3.0633
2011-03-16,2.9484
2011-04-16,2.7714
2011-05-16,2.7423
2011-06-16,2.8917
2011-07-16,2.8822
2011-08-16,2.8734
2011-09-16,2.9137
2011-10-16,2.9136
2011-11-16,2.9269
2011-12-16,2.6753
2012-01-16,2.6525
2012-02-16,2.6459
2012-03-16,2.6759
2012-04-16,2.4881
2012-05-16,2.564
2012-06-16,2.3827
2012-07-16,2.3502
2012-08-16,2.4128
2012-09-16,2.0648
2012-10-16,2.0649
2012-11-16,2.0541
2012-12-16,2.3107
2013-01-16,2.3097
2013-02-16,2.2993
2013-03-16,2.3806
2013-04-16,2.244
2013-05-16,2.3082
2013-06-16,1.9736
2013-07-16,1.9445
2013-08-16,2.0044
2013-09-16,1.9876
2013-10-16,1.987
2013-11-16,2.0485
2013-12-16,2.0755
2014-01-16,2.075
2014-02-16,2.0709
2014-03-16,2.1087
2014-04-16,2.0604
2014-05-16,2.0363
2014-06-16,2.0187
2014-07-16,2.0187
2014-08-16,2.0203
2014-09-16,2.0343
2014-10-16,2.0343
2014-11-16,2.0327
2014-12-16,1.8099
2015-01-16,1.804
2015-02-16,1.8024
2015-03-16,2.0149
2015-04-16,1.7462
2015-05-16,1.7462
2015-06-16,1.7645
2015-07-16,1.7642
2015-08-16,1.7693
2015-09-16,1.8552
2015-10-16,1.8552
2015-11-16,1.7407
2015-12-16,1.8752
2016-01-16,1.8752
2016-02-16,1.8752
2016-03-16,2.1722
2016-04-16,1.8095
2016-05-16,1.8077
2016-06-16,2.0034
2016-07-16,2.0034
2016-08-16,2.2184
2016-09-16,1.9692
2016-10-16,1.9692
2016-11-16,1.9692
2016-12-16,2.002
2017-01-16,2.002
2017-02-16,1.8648
2017-03-16,2.1176
2017-04-16,1.9037
