date,roc
2004-05-16,3.8153
2004-06-16,3.8141
2004-07-16,3.7749
2004-08-16,3.7711
2004-09-16,3.7711
2004-10-16,3.7711
2004-11-16,3.7711
2004-12-16,3.7711
2005-01-16,3.7711
2005-02-16,3.7711
2005-03-16,3.7711
2005-04-16,3.7711
2005-05-16,7.2959
2005-06-16,6.9404
2005-07-16,6.8979
2005-08-16,6.704
2005-09-16,6.6647
2005-10-16,6.6647
2005-11-16,6.6647
2005-12-16,6.6647
2006-01-16,6.6647
2006-02-16,6.6647
2006-03-16,6.6647
2006-04-16,6.6647
2006-05-16,5.9546
2006-06-16,6.2605
2006-07-16,6.2278
2006-08-16,6.1659
2006-09-16,6.1659
2006-10-16,6.1659
2006-11-16,6.1659
2006-12-16,6.1659
2007-01-16,6.1659
2007-02-16,6.1659
2007-03-16,6.1659
2007-04-16,6.1659
2007-05-16,5.0326
2007-06-16,5.0308
2007-07-16,5.0361
2007-08-16,5.4637
2007-09-16,5.4599
2007-10-16,5.4419
2007-11-16,6.0736
2007-12-16,5.9097
2008-01-16,6.0306
2008-02-16,5.8026
2008-03-16,5.7799
2008-04-16,5.1665
2008-05-16,4.8629
2008-06-16,4.8629
2008-07-16,4.8341
2008-08-16,5.0752
2008-09-16,5.0864
2008-10-16,5.1044
2008-11-16,5.5234
2008-12-16,5.5029
2009-01-16,5.4937
2009-02-16,5.2539
2009-03-16,5.2127
2009-04-16,1.9245
2009-05-16,2.3696
2009-06-16,2.3696
2009-07-16,2.3576
2009-08-16,2.717
2009-09-16,2.6778
2009-10-16,2.6896
2009-11-16,2.2923
2009-12-16,2.3021
2010-01-16,2.2825
2010-02-16,2.5282
2010-03-16,2.4898
2010-04-16,3.3316
2010-05-16,3.4706
2010-06-16,3.4728
2010-07-16,3.469
2010-08-16,4.9754
2010-09-16,5.7815
2010-10-16,5.7778
2010-11-16,5.7712
2010-12-16,6.4455
2011-01-16,6.4714
2011-02-16,6.2618
2011-03-16,6.027
2011-04-16,5.6697
2011-05-16,5.6684
2011-06-16,5.6936
2011-07-16,5.7011
2011-08-16,5.6837
2011-09-16,5.8058
2011-10-16,5.8056
2011-11-16,5.8321
2011-12-16,5.3178
2012-01-16,5.2724
2012-02-16,5.2593
2012-03-16,5.3183
2012-04-16,4.9344
2012-05-16,5.0849
2012-06-16,4.8286
2012-07-16,4.7966
2012-08-16,4.9243
2012-09-16,4.2029
2012-10-16,4.203
2012-11-16,4.1811
2012-12-16,4.7071
2013-01-16,4.7051
2013-02-16,4.6838
2013-03-16,4.8495
2013-04-16,4.5954
2013-05-16,4.7269
2013-06-16,4.0813
2013-07-16,4.0525
2013-08-16,4.1773
2013-09-16,4.1096
2013-10-16,4.1085
2013-11-16,4.2356
2013-12-16,4.274
2014-01-16,4.273
2014-02-16,4.2611
2014-03-16,4.339
2014-04-16,4.3535
2014-05-16,4.2554
2014-06-16,4.1819
2014-07-16,4.1819
2014-08-16,4.1851
2014-09-16,4.1658
2014-10-16,4.1658
2014-11-16,4.1625
2014-12-16,3.7208
2015-01-16,3.7083
2015-02-16,3.7049
2015-03-16,4.1419
2015-04-16,3.6416
2015-05-16,3.6416
2015-06-16,3.6873
2015-07-16,3.6862
2015-08-16,3.6968
2015-09-16,3.8728
2015-10-16,3.8728
2015-11-16,3.6336
2015-12-16,3.9339
2016-01-16,3.9339
2016-02-16,3.9339
2016-03-16,4.8625
2016-04-16,3.8205
2016-05-16,3.8168
2016-06-16,4.2652
2016-07-16,4.2652
2016-08-16,4.6751
2016-09-16,4.1638
2016-10-16,4.1638
2016-11-16,4.1638
2016-12-16,4.2179
2017-01-16,4.2179
2017-02-16,3.9288
2017-03-16,5.0371
2017-04-16,4.0775
2017-05-16,4.0775
2017-06-16,4.6521
2017-07-16,4.6521
2017-08-16,4.6521
2017-09-16,4.8693
2017-10-16,4.8693
2017-11-16,4.8693
2017-12-16,5.193
2018-01-16,5.193
2018-02-16,5.193
2018-03-16,6.9767
2018-04-16,5.6445
2018-05-16,5.6288
2018-06-16,5.6925
2018-07-16,5.6925
2018-08-16,5.6733
2018-09-16,5.5588
2018-10-16,5.5588
2018-11-16,5.5588
2018-12-16,5.5643
2019-01-16,5.5692
2019-02-16,5.5764
2019-03-16,5.7405
2019-04-16,5.0805
2019-05-16,5.0843
2019-06-16,4.6699
2019-07-16,4.6699
2019-08-16,4.6699
2019-09-16,3.9719
2019-10-16,3.9719
2019-11-16,3.9818
2019-12-16,3.2749
2020-01-16,3.2749
2020-02-16,3.2749
2020-03-16,2.8438
2020-04-16,2.5165
2020-05-16,2.5254
2020-06-16,2.2357
2020-07-16,2.2262
2020-08-16,2.2262
2020-09-16,2.0074
2020-10-16,2.0074
2020-11-16,2.0074
2020-12-16,2.3348
2021-01-16,2.3348
2021-02-16,2.3343
2021-03-16,2.9113
2021-04-16,2.8024
2021-05-16,2.8024
2021-06-16,3.9979
2021-07-16,3.9981
2021-08-16,3.9946
2021-09-16,4.6095
2021-10-16,4.6095
2021-11-16,4.605
2021-12-16,5.0425
2022-01-16,5.0425
2022-02-16,5.0425
2022-03-16,5.5557
2022-04-16,5.4199
2022-05-16,5.4199
2022-06-16,4.9629
2022-07-16,4.9627
2022-08-16,4.9627
2022-09-16,4.9643
2022-10-16,4.9643
2022-11-16,4.9643
2022-12-16,4.2851
2023-01-16,4.2851
2023-02-16,4.2843
2023-03-16,4.349
2023-04-16,4.1941
2023-05-16,4.1941
2023-06-16,3.4007
2023-07-16,3.4007
2023-08-16,3.3995
2023-09-16,2.7229
2023-10-16,2.7229
2023-11-16,2.7071
2023-12-16,2.6371
2024-01-16,2.6371
2024-02-16,2.6371
2024-03-16,3.2017
2024-04-16,2.3314
2024-05-16,2.3314
2024-06-16,2.6894
2024-07-16,2.6894
2024-08-16,2.6894
2024-09-16,3.228
2024-10-16,3.228
2024-11-16,3.228
2024-12-16,3.5549
2025-01-16,3.5549
2025-02-16,3.5549
2025-03-16,3.9755
2025-04-16,3.7847
2025-05-16,3.7847
2025-06-16,4.0408
2025-07-16,4.0408
2025-08-16,4.0408
2025-09-16,4.0031
2025-10-16,4.0031
2025-11-16,4.0031
2025-12-16,4.2591
2026-01-16,4.2591
2026-02-16,4.2591
2026-03-16,4.8517
2026-04-16,4.5861
