date,roce
2004-05-20,9.4
2004-06-20,9.398
2004-07-20,9.2814
2004-08-20,9.2307
2004-09-20,9.2307
2004-10-20,9.2307
2004-11-20,9.2307
2004-12-20,9.2307
2005-01-20,9.2307
2005-02-20,9.2307
2005-03-20,9.2307
2005-04-20,9.2307
2005-05-20,16.2252
2005-06-20,16.3543
2005-07-20,16.2542
2005-08-20,16.0709
2005-09-20,15.9853
2005-10-20,15.9853
2005-11-20,15.9853
2005-12-20,15.9853
2006-01-20,15.9853
2006-02-20,15.9853
2006-03-20,15.9853
2006-04-20,15.9853
2006-05-20,12.7174
2006-06-20,13.582
2006-07-20,13.5131
2006-08-20,13.299
2006-09-20,13.299
2006-10-20,13.299
2006-11-20,13.299
2006-12-20,13.299
2007-01-20,13.299
2007-02-20,13.299
2007-03-20,13.299
2007-04-20,13.299
2007-05-20,11.9318
2007-06-20,11.925
2007-07-20,11.9191
2007-08-20,13.2621
2007-09-20,13.254
2007-10-20,13.1679
2007-11-20,14.4641
2007-12-20,14.2718
2008-01-20,14.3617
2008-02-20,14.356
2008-03-20,14.2999
2008-04-20,12.0861
2008-05-20,11.7911
2008-06-20,11.7911
2008-07-20,11.7368
2008-08-20,12.834
2008-09-20,12.8602
2008-10-20,12.9044
2008-11-20,14.0077
2008-12-20,13.9555
2009-01-20,13.931
2009-02-20,13.1832
2009-03-20,13.0095
2009-04-20,7.316
2009-05-20,6.4509
2009-06-20,6.4509
2009-07-20,6.4213
2009-08-20,7.7602
2009-09-20,7.6435
2009-10-20,7.6746
2009-11-20,6.4195
2009-12-20,6.4498
2010-01-20,6.3959
2010-02-20,7.0141
2010-03-20,6.7345
2010-04-20,8.2019
2010-05-20,8.2672
2010-06-20,8.2873
2010-07-20,8.2771
2010-08-20,11.7851
2010-09-20,13.4108
2010-10-20,13.4028
2010-11-20,13.3909
2010-12-20,14.8493
2011-01-20,14.9039
2011-02-20,14.6036
2011-03-20,14.051
2011-04-20,12.3447
2011-05-20,12.296
2011-06-20,11.6749
2011-07-20,11.674
2011-08-20,11.6867
2011-09-20,11.8742
2011-10-20,11.8737
2011-11-20,11.957
2011-12-20,11.1286
2012-01-20,11.0305
2012-02-20,11.0492
2012-03-20,11.664
2012-04-20,9.9473
2012-05-20,10.3499
2012-06-20,9.7534
2012-07-20,9.7565
2012-08-20,10.0818
2012-09-20,8.4626
2012-10-20,8.4626
2012-11-20,8.4538
2012-12-20,9.4315
2013-01-20,9.4264
2013-02-20,9.4238
2013-03-20,10.5622
2013-04-20,9.2119
2013-05-20,9.5031
2013-06-20,8.0111
2013-07-20,8.0116
2013-08-20,8.3019
2013-09-20,8.0313
2013-10-20,8.0285
2013-11-20,8.289
2013-12-20,8.147
2014-01-20,8.1451
2014-02-20,8.1418
2014-03-20,8.5246
2014-04-20,7.9442
2014-05-20,7.9518
2014-06-20,7.9789
2014-07-20,7.9789
2014-08-20,7.9786
2014-09-20,7.9205
2014-10-20,7.9205
2014-11-20,7.9156
2014-12-20,6.9895
2015-01-20,6.9659
2015-02-20,6.9657
2015-03-20,8.0747
2015-04-20,6.8482
2015-05-20,6.8482
