date,div_yield
2004-01-20,2.3639
2004-02-20,2.1234
2004-03-20,2.1116
2004-04-20,2.0455
2004-05-20,2.4467
2004-06-20,2.5291
2004-07-20,2.7449
2004-08-20,2.4522
2004-09-20,2.2572
2004-10-20,2.3296
2004-11-20,2.2208
2004-12-20,2.1754
2005-01-20,2.7575
2005-02-20,2.5367
2005-03-20,2.5468
2005-04-20,2.6812
2005-05-20,2.6286
2005-06-20,2.5182
2005-07-20,2.2223
2005-08-20,2.1764
2005-09-20,1.9805
2005-10-20,1.9457
2005-11-20,1.8019
2005-12-20,1.6793
2006-01-20,1.8342
2006-02-20,1.7572
2006-03-20,1.7557
2006-04-20,1.7069
2006-05-20,1.7852
2006-06-20,1.9962
2006-07-20,1.9288
2006-08-20,1.7997
2006-09-20,1.7518
2006-10-20,1.7375
2006-11-20,1.6586
2006-12-20,1.611
2007-01-20,2.0802
2007-02-20,1.8992
2007-03-20,1.9114
2007-04-20,1.9464
2007-05-20,1.8227
2007-06-20,1.6463
2007-07-20,1.477
2007-08-20,1.6616
2007-09-20,1.5051
2007-10-20,1.4597
2007-11-20,1.5294
2007-12-20,1.5516
2008-01-20,1.8163
2008-02-20,1.8505
2008-03-20,1.9302
2008-04-20,1.6904
2008-05-20,1.6033
2008-06-20,1.7503
2008-07-20,2.0216
2008-08-20,1.961
2008-09-20,2.0748
2008-10-20,2.3416
2008-11-20,2.9748
2008-12-20,2.3597
2009-01-20,1.8184
2009-02-20,1.9213
2009-03-20,1.7499
2009-04-20,1.4714
2009-05-20,1.3642
2009-06-20,1.4113
2009-07-20,1.3026
2009-08-20,1.2336
2009-09-20,1.1419
2009-10-20,1.1307
2009-11-20,1.1513
2009-12-20,1.1301
2010-01-20,1.3456
2010-02-20,1.4437
2010-03-20,1.3525
2010-04-20,1.3647
2010-05-20,1.4485
2010-06-20,1.3541
2010-07-20,1.3809
2010-08-20,1.347
2010-09-20,1.3009
2010-10-20,1.297
2010-11-20,1.2501
2010-12-20,1.199
2011-01-20,1.3922
2011-02-20,1.4582
2011-03-20,1.4759
2011-04-20,1.375
2011-05-20,1.4124
2011-06-20,1.4707
2011-07-20,1.3829
2011-08-20,1.7056
2011-09-20,1.6189
2011-10-20,1.5752
2011-11-20,1.55
2011-12-20,1.5928
2012-01-20,1.3927
2012-02-20,1.341
2012-03-20,1.3252
2012-04-20,1.3539
2012-05-20,1.4983
2012-06-20,1.4027
2012-07-20,1.4479
2012-08-20,1.2655
2012-09-20,1.2378
2012-10-20,1.2669
2012-11-20,1.301
2012-12-20,1.2293
2013-01-20,1.2052
2013-02-20,1.1829
2013-03-20,1.2225
2013-04-20,1.2351
2013-05-20,1.1885
2013-06-20,1.2754
2013-07-20,1.2592
2013-08-20,1.2474
2013-09-20,1.17
2013-10-20,1.1436
2013-11-20,1.1612
2013-12-20,1.1811
2014-01-20,1.1516
2014-02-20,1.1707
2014-03-20,1.1662
2014-04-20,1.1081
2014-05-20,1.0957
2014-06-20,1.1197
2014-07-20,1.0923
2014-08-20,1.0614
2014-09-20,1.0706
2014-10-20,1.1392
2014-11-20,1.0962
2014-12-20,1.0964
