date,ebitda_margin
2004-05-16,16.6978
2004-06-16,16.3551
2004-07-16,16.3711
2004-08-16,16.3879
2004-09-16,16.3875
2004-10-16,16.3785
2004-11-16,16.3785
2004-12-16,16.3785
2005-01-16,16.3785
2005-02-16,16.3785
2005-03-16,16.3785
2005-04-16,16.3785
2005-05-16,18.4032
2005-06-16,16.7112
2005-07-16,16.7473
2005-08-16,16.7283
2005-09-16,16.7223
2005-10-16,16.7141
2005-11-16,16.7141
2005-12-16,16.7141
2006-01-16,16.7141
2006-02-16,16.7141
2006-03-16,16.7141
2006-04-16,16.7141
2006-05-16,15.3047
2006-06-16,14.8487
2006-07-16,14.8879
2006-08-16,14.8897
2006-09-16,14.896
2006-10-16,14.896
2006-11-16,14.896
2006-12-16,14.896
2007-01-16,14.896
2007-02-16,14.896
2007-03-16,14.896
2007-04-16,14.896
2007-05-16,15.1774
2007-06-16,15.1474
2007-07-16,15.1395
2007-08-16,14.9828
2007-09-16,14.9836
2007-10-16,14.9796
2007-11-16,14.9796
2007-12-16,14.9796
2008-01-16,14.9796
2008-02-16,14.9796
2008-03-16,14.9796
2008-04-16,16.3363
2008-05-16,14.9039
2008-06-16,14.9045
2008-07-16,15.0651
2008-08-16,16.5653
2008-09-16,16.8802
2008-10-16,16.8723
2008-11-16,16.3956
2008-12-16,16.5849
2009-01-16,16.5162
2009-02-16,16.5162
2009-03-16,16.5162
2009-04-16,14.7027
2009-05-16,13.0066
2009-06-16,13.0064
2009-07-16,12.9722
2009-08-16,12.8971
2009-09-16,13.4112
2009-10-16,13.4908
2009-11-16,13.5992
2009-12-16,13.5737
2010-01-16,13.5157
2010-02-16,13.5157
2010-03-16,13.5157
2010-04-16,14.0291
2010-05-16,13.2069
2010-06-16,13.2532
2010-07-16,13.2991
2010-08-16,13.3708
2010-09-16,14.9157
2010-10-16,14.9083
2010-11-16,14.9644
2010-12-16,14.7467
2011-01-16,15.0948
2011-02-16,14.9275
2011-03-16,14.5999
2011-04-16,13.6811
2011-05-16,13.3991
2011-06-16,12.8125
2011-07-16,12.6723
2011-08-16,12.6676
2011-09-16,12.7487
2011-10-16,12.7249
2011-11-16,12.7131
2011-12-16,12.6809
2012-01-16,12.6229
2012-02-16,12.6425
2012-03-16,12.1022
2012-04-16,12.3153
2012-05-16,12.3499
2012-06-16,12.7105
2012-07-16,12.6719
2012-08-16,12.6884
2012-09-16,12.3711
2012-10-16,12.3654
2012-11-16,12.4023
2012-12-16,12.3781
2013-01-16,12.3626
2013-02-16,12.3806
2013-03-16,12.1371
2013-04-16,11.6688
2013-05-16,11.7549
2013-06-16,11.5722
2013-07-16,11.5476
2013-08-16,11.6578
2013-09-16,11.6904
2013-10-16,11.6926
2013-11-16,11.7335
2013-12-16,11.5362
2014-01-16,11.5263
2014-02-16,11.5395
2014-03-16,11.1098
2014-04-16,11.2168
2014-05-16,11.1458
2014-06-16,11.0842
2014-07-16,11.0784
2014-08-16,11.0463
2014-09-16,11.234
2014-10-16,11.2334
2014-11-16,11.186
2014-12-16,10.7463
2015-01-16,10.6545
2015-02-16,10.5804
2015-03-16,10.5464
2015-04-16,11.1332
2015-05-16,11.0881
2015-06-16,11.445
2015-07-16,11.4232
2015-08-16,11.3851
2015-09-16,11.7368
2015-10-16,11.7364
2015-11-16,11.7466
2015-12-16,12.3582
2016-01-16,12.3603
2016-02-16,12.3488
2016-03-16,12.2489
2016-04-16,12.3852
2016-05-16,12.4157
2016-06-16,12.6277
2016-07-16,12.6382
2016-08-16,12.6007
2016-09-16,12.8963
2016-10-16,12.8906
2016-11-16,12.8625
2016-12-16,13.0748
2017-01-16,13.0807
2017-02-16,13.0773
2017-03-16,13.5961
2017-04-16,13.2818
2017-05-16,13.2596
2017-06-16,13.6368
2017-07-16,13.6322
2017-08-16,13.7656
2017-09-16,13.8793
2017-10-16,13.8732
2017-11-16,13.9318
2017-12-16,14.3109
2018-01-16,14.3091
2018-02-16,14.3202
2018-03-16,14.8307
2018-04-16,14.596
2018-05-16,14.5205
2018-06-16,14.6644
2018-07-16,14.6621
2018-08-16,14.7587
2018-09-16,14.7958
2018-10-16,14.7906
2018-11-16,14.903
2018-12-16,15.013
2019-01-16,15.0084
2019-02-16,14.9934
2019-03-16,14.7793
2019-04-16,14.6621
2019-05-16,14.6061
2019-06-16,13.3852
2019-07-16,14.0555
2019-08-16,14.0795
2019-09-16,13.6126
2019-10-16,13.7023
2019-11-16,13.6421
2019-12-16,12.9969
2020-01-16,13.0899
2020-02-16,13.0372
2020-03-16,12.1649
2020-04-16,13.1027
2020-05-16,13.0456
2020-06-16,12.5688
2020-07-16,12.5667
2020-08-16,12.5735
2020-09-16,12.7502
2020-10-16,12.7492
2020-11-16,12.7558
2020-12-16,13.2149
2021-01-16,13.229
2021-02-16,13.2147
2021-03-16,13.6454
2021-04-16,13.5956
2021-05-16,13.5956
2021-06-16,14.4447
2021-07-16,14.3836
2021-08-16,14.4282
2021-09-16,14.8569
2021-10-16,14.8572
2021-11-16,14.8962
2021-12-16,15.6161
2022-01-16,15.614
2022-02-16,15.6642
2022-03-16,15.6231
2022-04-16,15.5197
2022-05-16,15.5172
2022-06-16,15.2345
2022-07-16,15.2304
2022-08-16,15.2831
2022-09-16,14.98
2022-10-16,14.9756
2022-11-16,15.0146
2022-12-16,14.0724
2023-01-16,14.0646
2023-02-16,14.1069
2023-03-16,10.6824
2023-04-16,13.0954
2023-05-16,13.0529
2023-06-16,12.4183
2023-07-16,12.4283
2023-08-16,12.4735
2023-09-16,11.9275
2023-10-16,11.9309
2023-11-16,11.9634
2023-12-16,12.3927
2024-01-16,12.3896
2024-02-16,12.4167
2024-03-16,12.4144
2024-04-16,13.138
2024-05-16,13.1571
2024-06-16,13.8449
2024-07-16,13.8499
2024-08-16,13.8839
2024-09-16,14.5994
2024-10-16,14.6107
2024-11-16,14.6351
2024-12-16,15.0505
2025-01-16,15.058
2025-02-16,15.0648
2025-03-16,16.2401
2025-04-16,15.4463
2025-05-16,15.4521
2025-06-16,15.5585
2025-07-16,15.5814
2025-08-16,15.5811
2025-09-16,15.5017
2025-10-16,15.5139
2025-11-16,15.5157
2025-12-16,15.8268
2026-01-16,15.8343
