date,ev_ebit
2004-05-16,10.1447
2004-06-16,10.2915
2004-07-16,10.3057
2004-08-16,10.5782
2004-09-16,10.5781
2004-10-16,10.5737
2004-11-16,10.5737
2004-12-16,10.5737
2005-01-16,10.5737
2005-02-16,10.5737
2005-03-16,10.5737
2005-04-16,10.5737
2005-05-16,8.2885
2005-06-16,7.9533
2005-07-16,7.9989
2005-08-16,8.4404
2005-09-16,8.4815
2005-10-16,8.4816
2005-11-16,8.4816
2005-12-16,8.4816
2006-01-16,8.4816
2006-02-16,8.4816
2006-03-16,8.4816
2006-04-16,8.4816
2006-05-16,10.7785
2006-06-16,10.711
2006-07-16,10.7658
2006-08-16,10.7042
2006-09-16,10.6993
2006-10-16,10.6993
2006-11-16,10.6993
2006-12-16,10.6993
2007-01-16,10.6993
2007-02-16,10.6993
2007-03-16,10.6993
2007-04-16,10.6993
2007-05-16,13.4225
2007-06-16,13.4227
2007-07-16,13.4669
2007-08-16,14.7799
2007-09-16,14.6666
2007-10-16,14.6432
2007-11-16,14.8083
2007-12-16,14.8083
2008-01-16,14.8079
2008-02-16,16.0638
2008-03-16,16.0615
2008-04-16,13.5534
2008-05-16,14.0499
2008-06-16,14.0543
2008-07-16,14.3266
2008-08-16,14.5622
2008-09-16,14.6353
2008-10-16,14.5701
2008-11-16,14.177
2008-12-16,14.2534
2009-01-16,14.2496
2009-02-16,13.655
2009-03-16,13.7673
2009-04-16,13.0132
2009-05-16,13.5092
2009-06-16,13.5084
2009-07-16,13.6576
2009-08-16,17.9331
2009-09-16,18.2665
2009-10-16,18.3153
2009-11-16,20.33
2009-12-16,20.3301
2010-01-16,20.3301
2010-02-16,19.8777
2010-03-16,20.0992
2010-04-16,14.5053
2010-05-16,13.8807
2010-06-16,13.9351
2010-07-16,14.0145
2010-08-16,14.2589
2010-09-16,12.7082
2010-10-16,12.7254
2010-11-16,12.7284
2010-12-16,12.931
2011-01-16,13.01
2011-02-16,13.1088
2011-03-16,13.3185
2011-04-16,12.5729
2011-05-16,12.415
2011-06-16,13.0679
2011-07-16,12.9148
2011-08-16,12.905
2011-09-16,13.1715
2011-10-16,13.2813
2011-11-16,13.2293
2011-12-16,12.3019
2012-01-16,12.3104
2012-02-16,12.2282
2012-03-16,10.0699
2012-04-16,13.8037
2012-05-16,13.8127
2012-06-16,14.7216
2012-07-16,14.7445
2012-08-16,14.7337
2012-09-16,15.095
2012-10-16,15.1853
2012-11-16,15.1365
2012-12-16,15.3117
2013-01-16,15.2936
2013-02-16,15.2545
2013-03-16,12.6458
2013-04-16,15.2728
2013-05-16,15.2914
2013-06-16,16.1151
2013-07-16,16.1318
2013-08-16,16.0463
2013-09-16,15.051
2013-10-16,15.0439
2013-11-16,14.9708
2013-12-16,15.9142
2014-01-16,15.9111
2014-02-16,15.9271
2014-03-16,12.9718
2014-04-16,15.9582
2014-05-16,15.9275
2014-06-16,16.0779
2014-07-16,16.1149
2014-08-16,16.0804
2014-09-16,16.4552
2014-10-16,16.4484
2014-11-16,16.4352
2014-12-16,17.5245
2015-01-16,17.6367
2015-02-16,17.6352
2015-03-16,13.5548
2015-04-16,16.5226
2015-05-16,16.5279
2015-06-16,16.6561
2015-07-16,16.6608
2015-08-16,16.7249
2015-09-16,16.6054
2015-10-16,16.6041
2015-11-16,16.6279
2015-12-16,15.908
2016-01-16,15.9181
2016-02-16,15.9882
2016-03-16,13.0115
2016-04-16,15.6042
2016-05-16,15.6455
2016-06-16,15.1314
2016-07-16,15.1335
2016-08-16,15.1443
2016-09-16,14.1068
2016-10-16,14.1016
2016-11-16,14.102
2016-12-16,13.6909
2017-01-16,13.6902
2017-02-16,13.7099
2017-03-16,12.0503
2017-04-16,13.7164
2017-05-16,13.7002
2017-06-16,12.9925
2017-07-16,13.0306
2017-08-16,12.9296
2017-09-16,13.4133
2017-10-16,13.415
2017-11-16,13.4372
2017-12-16,12.5698
2018-01-16,12.5694
2018-02-16,12.6349
2018-03-16,10.0539
2018-04-16,11.895
2018-05-16,11.8412
2018-06-16,11.9005
2018-07-16,11.9016
2018-08-16,11.9889
2018-09-16,11.5679
2018-10-16,11.57
2018-11-16,11.5768
2018-12-16,11.1286
2019-01-16,11.118
2019-02-16,11.1631
2019-03-16,9.5821
2019-04-16,11.0774
2019-05-16,11.0645
2019-06-16,11.4946
2019-07-16,12.1059
2019-08-16,12.1437
2019-09-16,13.444
2019-10-16,13.4881
2019-11-16,13.4881
2019-12-16,15.0004
2020-01-16,15.1183
2020-02-16,15.1431
2020-03-16,16.2967
2020-04-16,17.9618
2020-05-16,17.9066
2020-06-16,17.1882
2020-07-16,17.2172
2020-08-16,17.2471
2020-09-16,19.7192
2020-10-16,19.7151
2020-11-16,19.7573
2020-12-16,19.2638
2021-01-16,19.2693
2021-02-16,19.2828
2021-03-16,20.2731
2021-04-16,20.9013
2021-05-16,20.9013
2021-06-16,17.6686
2021-07-16,17.6538
2021-08-16,17.5856
2021-09-16,16.3399
2021-10-16,16.3332
2021-11-16,16.2978
2021-12-16,14.6085
2022-01-16,14.6139
2022-02-16,14.6418
2022-03-16,12.6895
2022-04-16,13.8316
2022-05-16,13.8334
2022-06-16,13.33
2022-07-16,13.3381
2022-08-16,13.3433
2022-09-16,12.066
2022-10-16,12.0682
2022-11-16,12.0803
2022-12-16,12.8052
2023-01-16,12.8067
2023-02-16,12.8473
2023-03-16,11.734
2023-04-16,14.4108
2023-05-16,14.4118
2023-06-16,17.8146
2023-07-16,17.8231
2023-08-16,17.9251
2023-09-16,21.5815
2023-10-16,21.465
2023-11-16,21.5906
2023-12-16,20.6908
2024-01-16,20.6999
2024-02-16,20.917
2024-03-16,20.9198
2024-04-16,20.2008
2024-05-16,20.2676
2024-06-16,19.0609
