date,ev_ebitda
2004-05-20,4.9955
2004-06-20,5.0708
2004-07-20,5.074
2004-08-20,5.1712
2004-09-20,5.1708
2004-10-20,5.1706
2004-11-20,5.1706
2004-12-20,5.1706
2005-01-20,5.1706
2005-02-20,5.1706
2005-03-20,5.1706
2005-04-20,5.1706
2005-05-20,4.6047
2005-06-20,4.4586
2005-07-20,4.4817
2005-08-20,4.7011
2005-09-20,4.7202
2005-10-20,4.7202
2005-11-20,4.7202
2005-12-20,4.7202
2006-01-20,4.7202
2006-02-20,4.7202
2006-03-20,4.7202
2006-04-20,4.7202
2006-05-20,5.6952
2006-06-20,5.7216
2006-07-20,5.7557
2006-08-20,5.6835
2006-09-20,5.6885
2006-10-20,5.6885
2006-11-20,5.6885
2006-12-20,5.6885
2007-01-20,5.6885
2007-02-20,5.6885
2007-03-20,5.6885
2007-04-20,5.6885
2007-05-20,6.5654
2007-06-20,6.5676
2007-07-20,6.6012
2007-08-20,6.7291
2007-09-20,6.7294
2007-10-20,6.735
2007-11-20,6.735
2007-12-20,6.735
2008-01-20,6.735
2008-02-20,6.735
2008-03-20,6.735
2008-04-20,6.8514
2008-05-20,7.256
2008-06-20,7.2573
2008-07-20,7.3501
2008-08-20,8.2183
2008-09-20,8.2637
2008-10-20,8.3011
2008-11-20,8.2439
2008-12-20,8.2439
2009-01-20,8.2439
2009-02-20,8.2439
2009-03-20,8.2439
2009-04-20,5.7736
2009-05-20,6.0059
2009-06-20,6.0058
2009-07-20,6.0471
2009-08-20,9.4937
2009-09-20,9.4937
2009-10-20,9.4937
2009-11-20,9.6431
2009-12-20,9.6431
2010-01-20,9.6431
2010-02-20,9.6431
2010-03-20,9.6431
2010-04-20,6.514
2010-05-20,6.4536
2010-06-20,6.4794
2010-07-20,6.5034
2010-08-20,8.8453
2010-09-20,8.1127
2010-10-20,8.0997
2010-11-20,8.0551
2010-12-20,7.9227
2011-01-20,7.9774
2011-02-20,7.8397
2011-03-20,7.8027
2011-04-20,6.7152
2011-05-20,6.7054
2011-06-20,8.2078
2011-07-20,8.1695
2011-08-20,8.1516
2011-09-20,8.1375
2011-10-20,8.1346
2011-11-20,8.0793
2011-12-20,7.6779
2012-01-20,7.6813
2012-02-20,7.6207
2012-03-20,6.5459
2012-04-20,7.4125
2012-05-20,7.4002
2012-06-20,7.767
2012-07-20,7.7921
2012-08-20,7.7599
2012-09-20,7.5858
2012-10-20,7.5796
2012-11-20,7.5213
2012-12-20,7.7289
2013-01-20,7.7289
2013-02-20,7.6739
2013-03-20,6.7925
2013-04-20,7.6674
2013-05-20,7.6373
2013-06-20,7.8724
2013-07-20,7.8979
2013-08-20,7.8421
2013-09-20,7.4081
2013-10-20,7.4081
2013-11-20,7.4103
2013-12-20,7.7694
2014-01-20,7.7745
2014-02-20,7.8104
2014-03-20,6.9859
2014-04-20,7.7734
2014-05-20,7.8282
2014-06-20,8.0443
2014-07-20,8.0507
2014-08-20,8.0749
2014-09-20,8.0254
2014-10-20,8.0234
2014-11-20,8.0536
2014-12-20,8.4259
2015-01-20,8.4827
2015-02-20,8.5278
2015-03-20,7.3337
2015-04-20,7.9513
2015-05-20,7.9868
2015-06-20,8.2025
2015-07-20,8.2203
2015-08-20,8.2923
2015-09-20,8.1837
2015-10-20,8.182
2015-11-20,8.1929
2015-12-20,7.929
2016-01-20,7.9288
2016-02-20,7.9587
2016-03-20,7.1375
2016-04-20,7.8631
2016-05-20,7.8637
2016-06-20,7.7089
2016-07-20,7.7004
2016-08-20,7.7074
2016-09-20,7.4013
2016-10-20,7.4005
2016-11-20,7.4178
2016-12-20,7.4189
2017-01-20,7.4305
2017-02-20,7.4346
2017-03-20,7.0222
2017-04-20,7.3389
2017-05-20,7.3395
2017-06-20,7.2643
2017-07-20,7.2896
2017-08-20,7.2908
2017-09-20,7.6363
2017-10-20,7.6367
2017-11-20,7.681
2017-12-20,7.2785
2018-01-20,7.2779
2018-02-20,7.343
2018-03-20,6.1293
2018-04-20,7.1554
2018-05-20,7.1348
2018-06-20,7.1538
2018-07-20,7.1543
2018-08-20,7.1877
2018-09-20,6.9204
2018-10-20,6.9216
2018-11-20,6.9472
2018-12-20,6.6417
2019-01-20,6.6375
2019-02-20,6.6616
2019-03-20,6.0186
2019-04-20,6.298
2019-05-20,6.3155
2019-06-20,6.9915
2019-07-20,6.9927
2019-08-20,7.0001
2019-09-20,7.3377
2019-10-20,7.3081
2019-11-20,7.3404
2019-12-20,7.5535
2020-01-20,7.5549
2020-02-20,7.6087
2020-03-20,8.0572
2020-04-20,7.9047
2020-05-20,7.9171
2020-06-20,7.2103
2020-07-20,7.2248
2020-08-20,7.2356
2020-09-20,8.0704
2020-10-20,8.0683
2020-11-20,8.0782
2020-12-20,8.4154
2021-01-20,8.4283
2021-02-20,8.4587
2021-03-20,9.579
2021-04-20,9.6474
2021-05-20,9.6474
2021-06-20,9.026
2021-07-20,9.0644
2021-08-20,9.0681
2021-09-20,8.938
2021-10-20,8.9349
2021-11-20,8.9469
2021-12-20,8.091
2022-01-20,8.095
2022-02-20,8.1291
2022-03-20,7.4662
2022-04-20,7.8981
2022-05-20,7.8989
2022-06-20,7.5
2022-07-20,7.5078
2022-08-20,7.5236
2022-09-20,6.7583
2022-10-20,6.76
2022-11-20,6.7761
2022-12-20,6.8235
2023-01-20,6.8276
2023-02-20,6.8608
2023-03-20,6.9852
2023-04-20,7.1112
2023-05-20,7.1349
2023-06-20,8.3185
2023-07-20,8.3222
2023-08-20,8.3448
2023-09-20,8.9887
2023-10-20,8.9525
2023-11-20,8.984
2023-12-20,8.649
2024-01-20,8.6548
2024-02-20,8.6897
2024-03-20,8.691
2024-04-20,8.401
2024-05-20,8.4238
2024-06-20,8.2096
2024-07-20,8.2291
2024-08-20,8.2478
2024-09-20,7.8097
2024-10-20,7.8044
2024-11-20,7.829
2024-12-20,7.2059
2025-01-20,7.214
2025-02-20,7.2301
2025-03-20,6.3798
2025-04-20,6.6764
2025-05-20,6.6943
2025-06-20,6.7295
2025-07-20,6.7392
2025-08-20,6.7611
2025-09-20,7.5622
2025-10-20,7.5635
2025-11-20,7.5823
2025-12-20,7.8143
2026-01-20,7.8149
2026-02-20,7.8461
2026-03-20,9.0086
2026-04-20,8.4587
