date,gross_margin
2004-05-20,25.0229
2004-06-20,24.6828
2004-07-20,24.7313
2004-08-20,24.8574
2004-09-20,24.8607
2004-10-20,24.8477
2004-11-20,24.8477
2004-12-20,24.8477
2005-01-20,24.8477
2005-02-20,24.8477
2005-03-20,24.8477
2005-04-20,24.8477
2005-05-20,23.5899
2005-06-20,24.3247
2005-07-20,24.5033
2005-08-20,24.522
2005-09-20,24.5767
2005-10-20,24.577
2005-11-20,24.577
2005-12-20,24.577
2006-01-20,24.577
2006-02-20,24.577
2006-03-20,24.577
2006-04-20,24.577
2006-05-20,24.577
2006-06-20,22.9971
2006-07-20,23.194
2006-08-20,23.335
2006-09-20,23.3606
2006-10-20,23.3606
2006-11-20,23.3606
2006-12-20,23.3606
2007-01-20,23.3606
2007-02-20,23.3606
2007-03-20,23.3606
2007-04-20,23.3606
2007-05-20,21.5039
2007-06-20,21.4822
2007-07-20,21.5551
2007-08-20,21.4722
2007-09-20,21.4744
2007-10-20,21.4527
2007-11-20,21.4527
2007-12-20,21.4527
2008-01-20,21.4527
2008-02-20,21.4527
2008-03-20,21.4527
2008-04-20,23.5445
2008-05-20,20.6021
2008-06-20,20.6071
2008-07-20,21.06
2008-08-20,27.3621
2008-09-20,28.0515
2008-10-20,28.0362
2008-11-20,28.0362
2008-12-20,28.0362
2009-01-20,28.0362
2009-02-20,28.0362
2009-03-20,28.0362
2009-04-20,21.4613
2009-05-20,19.0581
2009-06-20,19.0584
2009-07-20,19.1472
2009-08-20,29.0351
2009-09-20,30.1854
2009-10-20,30.3646
2009-11-20,30.3646
2009-12-20,30.3646
2010-01-20,30.3646
2010-02-20,30.3646
2010-03-20,30.3646
2010-04-20,21.7421
2010-05-20,20.9772
2010-06-20,21.0884
2010-07-20,21.2567
2010-08-20,29.0951
2010-09-20,29.0951
2010-10-20,29.0951
2010-11-20,29.0951
2010-12-20,29.0951
2011-01-20,29.0951
2011-02-20,29.0951
2011-03-20,29.0951
2011-04-20,21.4058
2011-05-20,21.0523
2011-06-20,25.0441
2011-07-20,24.8284
2011-08-20,24.8397
2011-09-20,24.8397
2011-10-20,24.8397
2011-11-20,24.8397
2011-12-20,24.8397
2012-01-20,24.8397
2012-02-20,24.8397
2012-03-20,22.455
2012-04-20,19.4574
2012-05-20,19.5472
2012-06-20,19.6513
2012-07-20,19.6029
2012-08-20,19.628
2012-09-20,19.4428
2012-10-20,19.4413
2012-11-20,19.4965
2012-12-20,19.4686
2013-01-20,19.4457
2013-02-20,19.5336
2013-03-20,22.0072
2013-04-20,18.9759
2013-05-20,19.1072
2013-06-20,19.5172
2013-07-20,19.4563
2013-08-20,19.5881
2013-09-20,19.9427
2013-10-20,19.9554
2013-11-20,20.1366
2013-12-20,20.1378
2014-01-20,20.1333
2014-02-20,20.3321
2014-03-20,23.3198
2014-04-20,19.6736
2014-05-20,20.1129
2014-06-20,20.2185
2014-07-20,20.2201
2014-08-20,20.3505
2014-09-20,19.9857
2014-10-20,19.9924
2014-11-20,20.0886
2014-12-20,20.4398
2015-01-20,20.2993
2015-02-20,20.3595
2015-03-20,21.2945
2015-04-20,19.9752
2015-05-20,20.0755
2015-06-20,20.1887
2015-07-20,20.1876
2015-08-20,20.2825
2015-09-20,20.6389
2015-10-20,20.6475
2015-11-20,20.6985
2015-12-20,21.7339
2016-01-20,21.7394
2016-02-20,21.7317
2016-03-20,25.4643
2016-04-20,21.9555
2016-05-20,22.011
2016-06-20,22.1473
2016-07-20,22.1345
2016-08-20,22.0891
2016-09-20,22.4999
2016-10-20,22.5037
2016-11-20,22.5072
2016-12-20,22.7999
2017-01-20,22.8499
2017-02-20,22.8559
2017-03-20,26.1522
2017-04-20,23.2585
2017-05-20,23.2732
2017-06-20,23.5686
2017-07-20,23.5631
2017-08-20,23.8089
2017-09-20,23.7855
2017-10-20,23.7899
2017-11-20,23.9547
2017-12-20,24.1786
2018-01-20,24.1786
2018-02-20,24.4137
2018-03-20,27.8873
2018-04-20,24.2173
2018-05-20,24.3276
2018-06-20,23.812
2018-07-20,23.8103
2018-08-20,24.0215
2018-09-20,23.5819
2018-10-20,23.5903
2018-11-20,23.81
2018-12-20,23.6102
2019-01-20,23.6046
2019-02-20,23.6426
2019-03-20,24.3447
2019-04-20,22.7803
2019-05-20,22.8037
2019-06-20,21.0902
2019-07-20,22.1487
2019-08-20,22.2099
2019-09-20,21.4424
2019-10-20,21.5977
2019-11-20,21.5977
2019-12-20,20.6753
2020-01-20,20.8281
2020-02-20,20.8917
2020-03-20,22.3841
2020-04-20,20.6207
2020-05-20,20.6312
2020-06-20,19.9422
2020-07-20,19.9583
2020-08-20,19.9723
2020-09-20,19.9911
2020-10-20,20.0055
2020-11-20,20.0097
2020-12-20,20.6537
2021-01-20,20.7273
2021-02-20,20.7798
2021-03-20,18.5621
2021-04-20,20.8529
2021-05-20,20.8529
2021-06-20,21.4142
2021-07-20,21.8044
2021-08-20,21.8562
2021-09-20,22.234
2021-10-20,22.2528
2021-11-20,22.3057
2021-12-20,23.4013
2022-01-20,23.3914
2022-02-20,23.4837
2022-03-20,22.311
2022-04-20,23.5347
2022-05-20,23.5385
2022-06-20,22.8142
2022-07-20,22.8142
2022-08-20,22.9413
2022-09-20,22.0804
2022-10-20,22.1124
2022-11-20,22.2228
2022-12-20,20.992
2023-01-20,20.9916
2023-02-20,21.0756
2023-03-20,14.1548
2023-04-20,19.9633
2023-05-20,19.962
2023-06-20,17.7578
2023-07-20,17.8001
2023-08-20,17.8533
2023-09-20,16.932
