date,oper_margin
2004-05-16,8.2224
2004-06-16,8.0584
2004-07-16,8.0604
2004-08-16,8.0113
2004-09-16,8.0106
2004-10-16,8.0091
2004-11-16,8.0091
2004-12-16,8.0091
2005-01-16,8.0091
2005-02-16,8.0091
2005-03-16,8.0091
2005-04-16,8.0091
2005-05-16,10.224
2005-06-16,9.3683
2005-07-16,9.3832
2005-08-16,9.3172
2005-09-16,9.3065
2005-10-16,9.3018
2005-11-16,9.3018
2005-12-16,9.3018
2006-01-16,9.3018
2006-02-16,9.3018
2006-03-16,9.3018
2006-04-16,9.3018
2006-05-16,8.0868
2006-06-16,7.9319
2006-07-16,7.9595
2006-08-16,7.9058
2006-09-16,7.9197
2006-10-16,7.9197
2006-11-16,7.9197
2006-12-16,7.9197
2007-01-16,7.9197
2007-02-16,7.9197
2007-03-16,7.9197
2007-04-16,7.9197
2007-05-16,7.4238
2007-06-16,7.4115
2007-07-16,7.4211
2007-08-16,6.8215
2007-09-16,6.8749
2007-10-16,6.8897
2007-11-16,6.8897
2007-12-16,6.8897
2008-01-16,10.9921
2008-02-16,4.3413
2008-03-16,4.3953
2008-04-16,8.2582
2008-05-16,7.697
2008-06-16,7.6964
2008-07-16,7.729
2008-08-16,9.3488
2008-09-16,9.5313
2008-10-16,9.6127
2008-11-16,9.534
2008-12-16,9.5924
2009-01-16,9.5551
2009-02-16,8.823
2009-03-16,8.8934
2009-04-16,6.5232
2009-05-16,5.7829
2009-06-16,5.783
2009-07-16,5.7441
2009-08-16,6.8281
2009-09-16,6.9707
2009-10-16,6.9934
2009-11-16,6.4504
2009-12-16,6.4384
2010-01-16,6.4108
2010-02-16,6.9458
2010-03-16,6.5598
2010-04-16,6.2496
2010-05-16,6.0939
2010-06-16,6.1156
2010-07-16,6.1243
2010-08-16,8.2926
2010-09-16,9.52
2010-10-16,9.4859
2010-11-16,9.4468
2010-12-16,9.014
2011-01-16,9.2356
2011-02-16,8.9075
2011-03-16,8.5345
2011-04-16,7.3071
2011-05-16,7.237
2011-06-16,8.0425
2011-07-16,8.0133
2011-08-16,7.9974
2011-09-16,7.8742
2011-10-16,7.794
2011-11-16,7.7658
2011-12-16,7.9122
2012-01-16,7.8747
2012-02-16,7.8781
2012-03-16,7.867
2012-04-16,6.6132
2012-05-16,6.6165
2012-06-16,6.702
2012-07-16,6.6929
2012-08-16,6.6787
2012-09-16,6.2176
2012-10-16,6.1727
2012-11-16,6.1634
2012-12-16,6.2485
2013-01-16,6.248
2013-02-16,6.2286
2013-03-16,6.5195
2013-04-16,5.8581
2013-05-16,5.871
2013-06-16,5.6532
2013-07-16,5.6535
2013-08-16,5.6974
2013-09-16,5.754
2013-10-16,5.7578
2013-11-16,5.8079
2013-12-16,5.6321
2014-01-16,5.632
2014-02-16,5.6588
2014-03-16,5.9831
2014-04-16,5.4638
2014-05-16,5.478
2014-06-16,5.5458
2014-07-16,5.5345
2014-08-16,5.547
2014-09-16,5.479
2014-10-16,5.4796
2014-11-16,5.4814
2014-12-16,5.1669
2015-01-16,5.1245
2015-02-16,5.1164
2015-03-16,5.7061
2015-04-16,5.3583
2015-05-16,5.3588
2015-06-16,5.6363
2015-07-16,5.6361
2015-08-16,5.6448
2015-09-16,5.7843
2015-10-16,5.7833
2015-11-16,5.7878
2015-12-16,6.1596
2016-01-16,6.1567
2016-02-16,6.1471
2016-03-16,6.7192
2016-04-16,6.241
2016-05-16,6.2403
2016-06-16,6.4334
2016-07-16,6.4307
2016-08-16,6.4129
2016-09-16,6.7662
2016-10-16,6.765
2016-11-16,6.7658
2016-12-16,7.0851
2017-01-16,7.0997
2017-02-16,7.0916
2017-03-16,7.923
2017-04-16,7.1064
2017-05-16,7.1034
2017-06-16,7.6246
2017-07-16,7.6261
2017-08-16,7.7622
2017-09-16,7.9016
2017-10-16,7.8975
2017-11-16,7.9637
2017-12-16,8.2867
2018-01-16,8.2852
