date,pb
2004-01-16,1.2022
2004-02-16,1.2664
2004-03-16,1.3141
2004-04-16,1.3097
2004-05-16,1.197
2004-06-16,1.1333
2004-07-16,1.1051
2004-08-16,1.0232
2004-09-16,1.1177
2004-10-16,1.1616
2004-11-16,1.1497
2004-12-16,1.2092
2005-01-16,1.2338
2005-02-16,1.3059
2005-03-16,1.4159
2005-04-16,1.352
2005-05-16,1.1052
2005-06-16,1.195
2005-07-16,1.2418
2005-08-16,1.3878
2005-09-16,1.352
2005-10-16,1.5238
2005-11-16,1.4368
2005-12-16,1.6097
2006-01-16,1.7114
2006-02-16,1.7448
2006-03-16,1.7096
2006-04-16,1.6948
2006-05-16,1.5836
2006-06-16,1.4575
2006-07-16,1.4326
2006-08-16,1.4526
2006-09-16,1.5133
2006-10-16,1.5342
2006-11-16,1.5447
2006-12-16,1.6213
2007-01-16,1.6239
2007-02-16,1.542
2007-03-16,1.6086
2007-04-16,1.6443
2007-05-16,1.5778
2007-06-16,1.7386
2007-07-16,1.7835
2007-08-16,1.9775
2007-09-16,1.9161
2007-10-16,1.9886
2007-11-16,2.0942
2007-12-16,1.9331
2008-01-16,1.924
2008-02-16,1.6151
2008-03-16,1.7013
2008-04-16,1.6943
2008-05-16,1.6678
2008-06-16,1.6922
2008-07-16,1.5315
2008-08-16,1.4442
2008-09-16,1.3362
2008-10-16,1.3132
2008-11-16,1.0074
2008-12-16,0.9739
2009-01-16,1.0177
2009-02-16,1.048
2009-03-16,0.9562
2009-04-16,1.0444
2009-05-16,1.1786
2009-06-16,1.2013
2009-07-16,1.1971
2009-08-16,1.3457
2009-09-16,1.3756
2009-10-16,1.4458
2009-11-16,1.3669
2009-12-16,1.3452
2010-01-16,1.4551
2010-02-16,1.3966
2010-03-16,1.3897
2010-04-16,1.3637
2010-05-16,1.3715
2010-06-16,1.2982
2010-07-16,1.3408
2010-08-16,1.3629
2010-09-16,1.3435
2010-10-16,1.4431
2010-11-16,1.4514
2010-12-16,1.4546
2011-01-16,1.5663
2011-02-16,1.5822
2011-03-16,1.4825
2011-04-16,1.4907
2011-05-16,1.533
2011-06-16,1.3826
2011-07-16,1.3554
2011-08-16,1.3799
2011-09-16,1.1501
2011-10-16,1.0826
2011-11-16,1.1866
2011-12-16,1.1133
2012-01-16,1.1001
2012-02-16,1.1991
2012-03-16,1.2769
2012-04-16,1.2144
2012-05-16,1.2018
2012-06-16,1.0892
2012-07-16,1.0947
2012-08-16,1.1176
2012-09-16,1.1047
2012-10-16,1.1578
2012-11-16,1.1223
2012-12-16,1.0935
2013-01-16,1.1298
2013-02-16,1.1233
2013-03-16,1.1963
2013-04-16,1.1362
2013-05-16,1.1171
2013-06-16,1.1217
2013-07-16,1.0429
2013-08-16,1.0772
2013-09-16,1.0623
2013-10-16,1.101
2013-11-16,1.1268
2013-12-16,1.1136
2014-01-16,1.0954
2014-02-16,1.0647
2014-03-16,1.0816
2014-04-16,1.0797
2014-05-16,1.0715
2014-06-16,1.0818
2014-07-16,1.0853
2014-08-16,1.1303
2014-09-16,1.1019
2014-10-16,1.0758
2014-11-16,1.054
2014-12-16,1.0315
2015-01-16,0.9969
2015-02-16,1.02
2015-03-16,1.0695
2015-04-16,1.0772
2015-05-16,1.1286
2015-06-16,1.113
2015-07-16,1.0919
2015-08-16,1.0687
2015-09-16,1.004
2015-10-16,1.0148
2015-11-16,1.0492
2015-12-16,1.0099
2016-01-16,0.9943
2016-02-16,0.9696
2016-03-16,0.9604
2016-04-16,1.0176
2016-05-16,1.0189
2016-06-16,1.0052
2016-07-16,0.9989
2016-08-16,1.0221
2016-09-16,1.0065
2016-10-16,1.0107
2016-11-16,0.9932
2016-12-16,0.9699
2017-01-16,0.9908
2017-02-16,1.0109
2017-03-16,0.9924
2017-04-16,1.0345
2017-05-16,1.0587
2017-06-16,1.1424
2017-07-16,1.1637
2017-08-16,1.169
2017-09-16,1.0915
2017-10-16,1.1056
2017-11-16,1.1651
2017-12-16,1.1216
2018-01-16,1.1175
2018-02-16,1.1623
2018-03-16,1.0642
2018-04-16,1.0852
2018-05-16,1.1265
2018-06-16,1.0947
2018-07-16,1.0508
