date,pe
2004-05-16,11.541
2004-06-16,10.284
2004-07-16,10.1353
2004-08-16,9.45
2004-09-16,10.3296
2004-10-16,10.7345
2004-11-16,10.7345
2004-12-16,10.7345
2005-01-16,10.7345
2005-02-16,10.7345
2005-03-16,10.7345
2005-04-16,10.7345
2005-05-16,7.0727
2005-06-16,7.4484
2005-07-16,7.7943
2005-08-16,8.7245
2005-09-16,8.5408
2005-10-16,9.6273
2005-11-16,9.6273
2005-12-16,9.6273
2006-01-16,9.6273
2006-02-16,9.6273
2006-03-16,9.6273
2006-04-16,9.6273
2006-05-16,12.385
2006-06-16,10.8952
2006-07-16,10.7311
2006-08-16,11.1424
2006-09-16,11.606
2006-10-16,11.7662
2006-11-16,11.7662
2006-12-16,11.7662
2007-01-16,11.7662
2007-02-16,11.7662
2007-03-16,11.7662
2007-04-16,11.7662
2007-05-16,14.2
2007-06-16,15.6716
2007-07-16,16.0737
2007-08-16,15.7198
2007-09-16,15.2235
2007-10-16,15.9569
2007-11-16,15.5661
2007-12-16,14.5408
2008-01-16,14.266
2008-02-16,11.7086
2008-03-16,12.3844
2008-04-16,13.5644
2008-05-16,14.7471
2008-06-16,15.8069
2008-07-16,14.5533
2008-08-16,11.9546
2008-09-16,11.0056
2008-10-16,10.7077
2008-11-16,7.6309
2008-12-16,7.3881
2009-01-16,7.7039
2009-02-16,8.2919
2009-03-16,7.7097
2009-04-16,14.5166
2009-05-16,19.5706
2009-06-16,19.9327
2009-07-16,20.2927
2009-08-16,20.0444
2009-09-16,20.517
2009-10-16,21.5664
2009-11-16,23.8998
2009-12-16,23.5884
2010-01-16,25.6207
2010-02-16,23.7781
2010-03-16,23.8927
2010-04-16,17.727
2010-05-16,18.3135
2010-06-16,17.1512
2010-07-16,17.6238
2010-08-16,12.5114
2010-09-16,10.7257
2010-10-16,11.5606
2010-11-16,11.6719
2010-12-16,10.8913
2011-01-16,11.6694
2011-02-16,11.9715
2011-03-16,11.5561
2011-04-16,13.3067
2011-05-16,14.0587
2011-06-16,13.5092
2011-07-16,13.2773
2011-08-16,13.5091
2011-09-16,10.6743
2011-10-16,10.1677
2011-11-16,10.9418
2011-12-16,11.3337
2012-01-16,11.3167
2012-02-16,12.1404
2012-03-16,11.6241
2012-04-16,15.1085
2012-05-16,15.0402
2012-06-16,14.1741
2012-07-16,14.2517
2012-08-16,14.6995
2012-09-16,17.6767
2012-10-16,18.7847
2012-11-16,17.5446
2012-12-16,14.1417
2013-01-16,14.6376
2013-02-16,14.4573
2013-03-16,12.1599
2013-04-16,14.8366
2013-05-16,14.6698
2013-06-16,17.8049
2013-07-16,16.6207
2013-08-16,16.4134
2013-09-16,16.9362
2013-10-16,17.5686
2013-11-16,17.9335
2013-12-16,16.8741
2014-01-16,16.3688
2014-02-16,16.2917
2014-03-16,14.2897
2014-04-16,17.5213
2014-05-16,17.003
2014-06-16,21.4789
2014-07-16,21.6552
2014-08-16,22.4919
2014-09-16,21.3605
2014-10-16,20.8549
2014-11-16,20.4017
2014-12-16,26.5719
2015-01-16,26.119
2015-02-16,26.777
2015-03-16,14.0262
2015-04-16,17.4391
2015-05-16,18.2797
2015-06-16,17.6654
2015-07-16,17.3459
2015-08-16,16.9704
2015-09-16,16.4632
2015-10-16,16.6524
2015-11-16,17.2072
2015-12-16,17.6115
2016-01-16,17.34
2016-02-16,16.8869
2016-03-16,13.1613
2016-04-16,16.2674
2016-05-16,16.298
2016-06-16,16.1357
2016-07-16,16.059
2016-08-16,16.4377
2016-09-16,16.3291
2016-10-16,16.4107
2016-11-16,16.121
2016-12-16,14.8801
2017-01-16,15.2052
2017-02-16,15.5136
2017-03-16,11.8492
2017-04-16,14.5886
2017-05-16,14.9299
2017-06-16,15.9762
2017-07-16,16.3077
2017-08-16,14.5091
2017-09-16,15.5837
2017-10-16,15.7984
2017-11-16,14.3669
2017-12-16,16.3514
2018-01-16,16.2937
2018-02-16,13.5014
2018-03-16,10.6929
2018-04-16,11.5667
2018-05-16,11.9917
2018-06-16,12.0933
2018-07-16,11.615
2018-08-16,11.5349
2018-09-16,11.6343
2018-10-16,11.7409
2018-11-16,10.1466
2018-12-16,10.1893
2019-01-16,9.9182
2019-02-16,10.7481
2019-03-16,9.3384
2019-04-16,10.789
2019-05-16,11.1455
2019-06-16,10.2403
2019-07-16,10.6909
2019-08-16,10.1937
2019-09-16,10.9244
2019-10-16,11.4577
2019-11-16,11.5778
2019-12-16,13.4667
2020-01-16,14.1682
2020-02-16,13.6709
2020-03-16,16.1812
2020-04-16,14.6187
2020-05-16,16.1627
2020-06-16,19.8382
2020-07-16,20.6232
2020-08-16,22.004
2020-09-16,23.9989
2020-10-16,24.0331
2020-11-16,23.4362
2020-12-16,23.6165
2021-01-16,26.1952
2021-02-16,26.9135
2021-03-16,7.7006
2021-04-16,25.6693
2021-05-16,26.3941
2021-06-16,21.1103
2021-07-16,21.7574
2021-08-16,20.7567
2021-09-16,17.1229
2021-10-16,16.4268
2021-11-16,15.7984
2021-12-16,13.8301
2022-01-16,14.5081
2022-02-16,12.9817
2022-03-16,10.3964
2022-04-16,12.4679
2022-05-16,12.1844
2022-06-16,12.505
2022-07-16,10.8628
2022-08-16,11.4161
2022-09-16,11.1568
2022-10-16,9.7528
2022-11-16,10.3778
2022-12-16,12.3034
2023-01-16,11.1344
