date,roa
2004-05-20,1.7186
2004-06-20,1.8275
2004-07-20,1.8119
2004-08-20,1.8199
2004-09-20,1.8195
2004-10-20,1.8208
2004-11-20,1.8208
2004-12-20,1.8208
2005-01-20,1.8208
2005-02-20,1.8208
2005-03-20,1.8208
2005-04-20,1.8208
2005-05-20,3.1702
2005-06-20,3.2018
2005-07-20,3.1828
2005-08-20,3.1548
2005-09-20,3.1415
2005-10-20,3.1415
2005-11-20,3.1415
2005-12-20,3.1415
2006-01-20,3.1415
2006-02-20,3.1415
2006-03-20,3.1415
2006-04-20,3.1415
2006-05-20,3.2866
2006-06-20,3.5328
2006-07-20,3.5162
2006-08-20,3.4925
2006-09-20,3.493
2006-10-20,3.493
2006-11-20,3.493
2006-12-20,3.493
2007-01-20,3.493
2007-02-20,3.493
2007-03-20,3.493
2007-04-20,3.493
2007-05-20,2.4389
2007-06-20,2.4365
2007-07-20,2.4452
2007-08-20,2.7003
2007-09-20,2.7034
2007-10-20,2.6973
2007-11-20,2.9892
2007-12-20,2.9137
2008-01-20,2.9722
2008-02-20,2.9752
2008-03-20,2.9716
2008-04-20,2.8036
2008-05-20,2.542
2008-06-20,2.4173
2008-07-20,2.3947
2008-08-20,2.5402
2008-09-20,2.55
2008-10-20,2.5632
2008-11-20,2.7618
2008-12-20,2.7525
2009-01-20,2.7486
2009-02-20,2.6125
2009-03-20,2.5945
2009-04-20,1.2019
2009-05-20,1.0399
2009-06-20,1.0414
2009-07-20,1.0336
2009-08-20,1.2612
2009-09-20,1.2425
2009-10-20,1.2435
2009-11-20,1.123
2009-12-20,1.1284
2010-01-20,1.1175
2010-02-20,1.2472
2010-03-20,1.249
2010-04-20,1.4547
2010-05-20,1.5488
2010-06-20,1.5544
2010-07-20,1.5635
2010-08-20,2.2294
2010-09-20,2.5655
2010-10-20,2.5397
2010-11-20,2.5405
2010-12-20,2.7995
2011-01-20,2.7977
2011-02-20,2.7109
2011-03-20,2.6156
2011-04-20,2.4159
2011-05-20,2.4023
2011-06-20,2.6585
2011-07-20,2.5896
2011-08-20,2.5853
2011-09-20,2.6728
2011-10-20,2.6239
2011-11-20,2.6365
2011-12-20,2.4007
2012-01-20,2.3796
2012-02-20,2.3705
2012-03-20,2.4498
2012-04-20,2.1662
2012-05-20,2.2123
2012-06-20,2.1848
2012-07-20,2.1273
2012-08-20,2.178
2012-09-20,1.8491
2012-10-20,1.8235
2012-11-20,1.8183
2012-12-20,2.1115
2013-01-20,2.1089
2013-02-20,2.0962
2013-03-20,2.2038
2013-04-20,1.9737
2013-05-20,2.0006
2013-06-20,1.775
2013-07-20,1.7113
2013-08-20,1.7598
2013-09-20,1.7205
2013-10-20,1.72
2013-11-20,1.7767
2013-12-20,1.663
2014-01-20,1.6629
2014-02-20,1.6627
2014-03-20,1.8687
2014-04-20,1.601
2014-05-20,1.5783
2014-06-20,1.6525
2014-07-20,1.6454
2014-08-20,1.6432
2014-09-20,1.7677
2014-10-20,1.768
2014-11-20,1.7615
2014-12-20,1.601
2015-01-20,1.5823
2015-02-20,1.5768
2015-03-20,1.8935
2015-04-20,1.6073
2015-05-20,1.5994
2015-06-20,1.6148
2015-07-20,1.6144
2015-08-20,1.6155
2015-09-20,1.5888
2015-10-20,1.589
2015-11-20,1.5901
2015-12-20,1.816
2016-01-20,1.8162
2016-02-20,1.8048
2016-03-20,1.9062
2016-04-20,1.738
2016-05-20,1.7348
2016-06-20,1.7783
2016-07-20,1.7771
2016-08-20,1.7754
2016-09-20,1.8431
2016-10-20,1.8421
2016-11-20,1.8423
2016-12-20,1.6553
2017-01-20,1.6554
2017-02-20,1.6552
2017-03-20,2.1187
2017-04-20,1.73
2017-05-20,1.7256
2017-06-20,1.9281
2017-07-20,1.9234
2017-08-20,1.975
2017-09-20,2.1149
2017-10-20,2.1142
2017-11-20,2.1055
2017-12-20,2.2221
2018-01-20,2.222
2018-02-20,2.2029
2018-03-20,2.5482
2018-04-20,2.5044
2018-05-20,2.4854
2018-06-20,2.4554
2018-07-20,2.4547
2018-08-20,2.4233
2018-09-20,2.3786
2018-10-20,2.3777
2018-11-20,2.3773
2018-12-20,2.4224
2019-01-20,2.4248
2019-02-20,2.4176
2019-03-20,2.5433
2019-04-20,2.0643
2019-05-20,2.0616
2019-06-20,1.9585
2019-07-20,1.958
2019-08-20,1.9523
2019-09-20,1.7077
2019-10-20,1.7072
2019-11-20,1.7069
2019-12-20,1.4416
2020-01-20,1.443
2020-02-20,1.442
2020-03-20,1.1981
2020-04-20,1.0476
2020-05-20,1.0532
2020-06-20,0.8962
2020-07-20,0.895
2020-08-20,0.8971
2020-09-20,0.8376
2020-10-20,0.8379
2020-11-20,0.8378
2020-12-20,0.9729
2021-01-20,0.9728
2021-02-20,0.9823
2021-03-20,1.227
2021-04-20,1.1496
2021-05-20,1.1496
2021-06-20,1.6614
2021-07-20,1.6592
2021-08-20,1.6731
2021-09-20,1.9872
2021-10-20,1.9881
2021-11-20,1.999
2021-12-20,2.1824
2022-01-20,2.1822
2022-02-20,2.1777
2022-03-20,2.4203
2022-04-20,2.3496
2022-05-20,2.3489
2022-06-20,2.1656
2022-07-20,2.1638
2022-08-20,2.1616
2022-09-20,2.1445
2022-10-20,2.1396
2022-11-20,2.1396
2022-12-20,1.8467
2023-01-20,1.8454
2023-02-20,1.8412
2023-03-20,1.869
2023-04-20,1.7825
2023-05-20,1.7789
2023-06-20,1.5291
2023-07-20,1.5283
2023-08-20,1.5246
2023-09-20,1.249
2023-10-20,1.2512
2023-11-20,1.2464
2023-12-20,1.2804
2024-01-20,1.2807
2024-02-20,1.2672
2024-03-20,1.2726
2024-04-20,1.1812
2024-05-20,1.178
2024-06-20,1.2912
2024-07-20,1.2911
2024-08-20,1.3136
2024-09-20,1.5277
2024-10-20,1.5289
2024-11-20,1.5217
2024-12-20,1.6428
2025-01-20,1.6404
2025-02-20,1.636
2025-03-20,1.5526
2025-04-20,1.6738
2025-05-20,1.6853
2025-06-20,1.7977
2025-07-20,1.7951
2025-08-20,1.8057
2025-09-20,1.7824
2025-10-20,1.782
2025-11-20,1.7886
2025-12-20,1.8983
2026-01-20,1.8963
2026-02-20,1.8995
2026-03-20,2.1755
2026-04-20,2.0424
