date,roc
2004-05-16,3.5193
2004-06-16,3.7518
2004-07-16,3.7186
2004-08-16,3.7447
2004-09-16,3.7437
2004-10-16,3.7464
2004-11-16,3.7464
2004-12-16,3.7464
2005-01-16,3.7464
2005-02-16,3.7464
2005-03-16,3.7464
2005-04-16,3.7464
2005-05-16,6.8652
2005-06-16,6.6136
2005-07-16,6.5741
2005-08-16,6.4592
2005-09-16,6.4248
2005-10-16,6.4247
2005-11-16,6.4247
2005-12-16,6.4247
2006-01-16,6.4247
2006-02-16,6.4247
2006-03-16,6.4247
2006-04-16,6.4247
2006-05-16,6.0262
2006-06-16,6.3063
2006-07-16,6.2766
2006-08-16,6.1243
2006-09-16,6.1258
2006-10-16,6.1258
2006-11-16,6.1258
2006-12-16,6.1258
2007-01-16,6.1258
2007-02-16,6.1258
2007-03-16,6.1258
2007-04-16,6.1258
2007-05-16,4.7209
2007-06-16,4.7144
2007-07-16,4.7264
2007-08-16,5.2767
2007-09-16,5.2826
2007-10-16,5.2656
2007-11-16,5.827
2007-12-16,5.6799
2008-01-16,5.7935
2008-02-16,5.8031
2008-03-16,5.7957
2008-04-16,5.4682
2008-05-16,4.8664
2008-06-16,4.6277
2008-07-16,4.5871
2008-08-16,4.843
2008-09-16,4.8613
2008-10-16,4.8854
2008-11-16,5.2623
2008-12-16,5.2445
2009-01-16,5.2371
2009-02-16,4.993
2009-03-16,4.9587
2009-04-16,1.5909
2009-05-16,1.9934
2009-06-16,1.9963
2009-07-16,1.9806
2009-08-16,2.4237
2009-09-16,2.3877
2009-10-16,2.3895
2009-11-16,2.0066
2009-12-16,2.0162
2010-01-16,1.9967
2010-02-16,2.2775
2010-03-16,2.2809
2010-04-16,2.9399
2010-05-16,3.0205
2010-06-16,3.0262
2010-07-16,3.0423
2010-08-16,4.3571
2010-09-16,5.1312
2010-10-16,5.1099
2010-11-16,5.1075
2010-12-16,5.6217
2011-01-16,5.6181
2011-02-16,5.451
2011-03-16,5.2595
2011-04-16,4.9129
2011-05-16,4.8787
2011-06-16,5.0342
2011-07-16,5.0595
2011-08-16,5.0458
2011-09-16,5.1505
2011-10-16,5.0891
2011-11-16,5.1137
2011-12-16,4.6581
2012-01-16,4.6171
2012-02-16,4.5989
2012-03-16,4.7514
2012-04-16,4.1862
2012-05-16,4.2752
2012-06-16,4.2096
2012-07-16,4.1994
2012-08-16,4.302
2012-09-16,3.6027
2012-10-16,3.5616
2012-11-16,3.5726
2012-12-16,4.1552
2013-01-16,4.1499
2013-02-16,4.1247
2013-03-16,4.3365
2013-04-16,3.9001
2013-05-16,3.9533
2013-06-16,3.4596
2013-07-16,3.4336
2013-08-16,3.5324
2013-09-16,3.4088
2013-10-16,3.4071
2013-11-16,3.5194
2013-12-16,3.2748
2014-01-16,3.2743
2014-02-16,3.2722
2014-03-16,3.6777
2014-04-16,3.256
2014-05-16,3.1726
2014-06-16,3.296
2014-07-16,3.284
2014-08-16,3.2805
2014-09-16,3.4721
2014-10-16,3.4721
2014-11-16,3.4594
2014-12-16,3.1881
2015-01-16,3.1492
2015-02-16,3.1381
2015-03-16,3.7685
2015-04-16,3.2365
2015-05-16,3.2203
2015-06-16,3.2711
2015-07-16,3.2692
2015-08-16,3.2711
2015-09-16,3.2019
2015-10-16,3.2013
2015-11-16,3.2036
2015-12-16,3.6852
2016-01-16,3.6853
2016-02-16,3.6624
2016-03-16,3.8681
2016-04-16,3.5315
2016-05-16,3.525
2016-06-16,3.6413
2016-07-16,3.6375
2016-08-16,3.6341
2016-09-16,3.7727
2016-10-16,3.7696
2016-11-16,3.7699
2016-12-16,3.3756
2017-01-16,3.3755
2017-02-16,3.3752
2017-03-16,4.3203
2017-04-16,3.562
2017-05-16,3.5524
2017-06-16,4.0161
2017-07-16,3.999
2017-08-16,4.1062
2017-09-16,4.3254
2017-10-16,4.323
2017-11-16,4.3051
2017-12-16,4.55
2018-01-16,4.5495
2018-02-16,4.5102
2018-03-16,6.875
2018-04-16,5.1513
2018-05-16,5.1051
2018-06-16,5.0489
2018-07-16,5.0469
2018-08-16,4.9821
2018-09-16,4.8356
2018-10-16,4.8324
2018-11-16,4.8315
2018-12-16,4.9167
2019-01-16,4.9202
2019-02-16,4.9055
2019-03-16,5.1607
2019-04-16,4.1882
2019-05-16,4.1811
2019-06-16,3.9383
2019-07-16,3.9365
2019-08-16,3.925
2019-09-16,3.4074
2019-10-16,3.4057
2019-11-16,3.4049
2019-12-16,2.8549
2020-01-16,2.8572
2020-02-16,2.8553
2020-03-16,2.3724
2020-04-16,2.0759
2020-05-16,2.0857
2020-06-16,1.785
2020-07-16,1.7819
2020-08-16,1.786
2020-09-16,1.6486
2020-10-16,1.6485
2020-11-16,1.6483
2020-12-16,1.9288
2021-01-16,1.9282
2021-02-16,1.9468
