date,roce
2004-05-20,8.9157
2004-06-20,10.2024
2004-07-20,10.0948
2004-08-20,10.0522
2004-09-20,10.0454
2004-10-20,10.0526
2004-11-20,10.0526
2004-12-20,10.0526
2005-01-20,10.0526
2005-02-20,10.0526
2005-03-20,10.0526
2005-04-20,10.0526
2005-05-20,15.3876
2005-06-20,15.7738
2005-07-20,15.6842
2005-08-20,15.6622
2005-09-20,15.5866
2005-10-20,15.5864
2005-11-20,15.5864
2005-12-20,15.5864
2006-01-20,15.5864
2006-02-20,15.5864
2006-03-20,15.5864
2006-04-20,15.5864
2006-05-20,12.9421
2006-06-20,13.7237
2006-07-20,13.6626
2006-08-20,13.3455
2006-09-20,13.3476
2006-10-20,13.3476
2006-11-20,13.3476
2006-12-20,13.3476
2007-01-20,13.3476
2007-02-20,13.3476
2007-03-20,13.3476
2007-04-20,13.3476
2007-05-20,11.2202
2007-06-20,11.2015
2007-07-20,11.207
2007-08-20,12.819
2007-09-20,12.8355
2007-10-20,12.7583
2007-11-20,14.0908
2007-12-20,13.9089
2008-01-20,14.0093
2008-02-20,14.1096
2008-03-20,14.0899
2008-04-20,12.8915
2008-05-20,11.8714
2008-06-20,11.2653
2008-07-20,11.1652
2008-08-20,12.2107
2008-09-20,12.2545
2008-10-20,12.3887
2008-11-20,13.3707
2008-12-20,13.3251
2009-01-20,13.3054
2009-02-20,12.6452
2009-03-20,12.504
2009-04-20,6.7623
2009-05-20,5.4511
2009-06-20,5.4589
2009-07-20,5.411
2009-08-20,6.9285
2009-09-20,6.8208
2009-10-20,6.8229
2009-11-20,5.5831
2009-12-20,5.612
2010-01-20,5.5588
2010-02-20,6.1848
2010-03-20,6.0794
2010-04-20,7.8373
2010-05-20,7.6907
2010-06-20,7.7194
2010-07-20,7.7612
2010-08-20,10.9248
2010-09-20,12.6533
2010-10-20,12.6102
2010-11-20,12.6102
2010-12-20,13.8842
2011-01-20,13.871
2011-02-20,13.6029
2011-03-20,13.1224
2011-04-20,11.652
2011-05-20,11.4516
2011-06-20,10.7689
2011-07-20,10.7517
2011-08-20,10.7577
2011-09-20,10.7415
2011-10-20,10.6209
2011-11-20,10.8458
2011-12-20,9.9717
2012-01-20,9.8811
2012-02-20,10.0165
2012-03-20,10.8795
2012-04-20,8.6479
2012-05-20,8.8971
2012-06-20,8.6721
2012-07-20,8.6602
2012-08-20,8.9345
2012-09-20,7.3931
2012-10-20,7.3075
2012-11-20,7.3739
2012-12-20,8.4422
2013-01-20,8.4292
2013-02-20,8.479
2013-03-20,9.8481
2013-04-20,8.0067
2013-05-20,8.1592
2013-06-20,7.0482
2013-07-20,7.0284
2013-08-20,7.2856
2013-09-20,6.8663
2013-10-20,6.8607
2013-11-20,7.1577
2013-12-20,6.4483
2014-01-20,6.4481
2014-02-20,6.5117
