date,div_yield
2004-01-20,108.449
2004-02-20,107.6904
2004-03-20,105.4182
2004-04-20,111.4446
2004-05-20,87.6584
2004-06-20,77.0177
2004-07-20,90.948
2004-08-20,75.7567
2004-09-20,78.2068
2004-10-20,57.6802
2004-11-20,55.0445
2004-12-20,51.3527
2005-01-20,53.3136
2005-02-20,64.5541
2005-03-20,61.4552
2005-04-20,70.2903
2005-05-20,72.272
2005-06-20,65.464
2005-07-20,50.1264
2005-08-20,46.8747
2005-09-20,41.1804
2005-10-20,44.7177
2005-11-20,3.9094
2005-12-20,3.6153
2006-01-20,3.6285
2006-02-20,3.5462
2006-03-20,3.5649
2006-04-20,3.2847
2006-05-20,3.167
2006-06-20,3.4736
2006-07-20,3.2064
2006-08-20,3.1195
2006-09-20,3.4559
2006-10-20,3.288
2006-11-20,3.5253
2006-12-20,3.3188
2007-01-20,3.1455
2007-02-20,2.9905
2007-03-20,3.0536
2007-04-20,2.6748
2007-05-20,2.5268
2007-06-20,2.3631
2007-07-20,2.1531
2007-08-20,2.7967
2007-09-20,2.4633
2007-10-20,2.3829
2007-11-20,1.9555
2007-12-20,1.9765
2008-01-20,2.3301
2008-02-20,2.0405
2008-03-20,2.3716
2008-04-20,2.174
2008-05-20,1.9818
2008-06-20,2.3371
2008-07-20,2.5485
2008-08-20,2.609
2008-09-20,2.8924
2008-10-20,3.5774
2008-11-20,4.2925
2008-12-20,3.7978
2009-01-20,4.5216
2009-02-20,4.2066
2009-03-20,4.0843
2009-04-20,4.0301
2009-05-20,3.5497
2009-06-20,3.5549
2009-07-20,3.635
2009-08-20,3.5429
2009-09-20,3.3246
2009-10-20,3.1015
2009-11-20,3.0549
2009-12-20,2.9036
2010-01-20,2.5168
2010-02-20,2.8732
2010-03-20,2.9354
2010-04-20,3.083
2010-05-20,3.6287
2010-06-20,3.2826
2010-07-20,3.074
2010-08-20,3.2349
2010-09-20,3.1326
2010-10-20,3.0816
2010-11-20,3.068
2010-12-20,3.28
2011-01-20,3.4302
2011-02-20,3.2022
2011-03-20,3.184
2011-04-20,3.3736
2011-05-20,3.6741
2011-06-20,3.7393
2011-07-20,3.8793
2011-08-20,4.7216
2011-09-20,4.3274
2011-10-20,4.7277
2011-11-20,4.5107
2011-12-20,4.4637
2012-01-20,4.0176
2012-02-20,3.8988
2012-03-20,3.9547
2012-04-20,4.4903
2012-05-20,4.933
2012-06-20,4.6595
2012-07-20,4.8054
2012-08-20,4.1239
2012-09-20,4.0716
2012-10-20,4.1476
2012-11-20,4.1206
2012-12-20,3.6058
2013-01-20,3.7786
2013-02-20,4.0257
2013-03-20,4.0105
2013-04-20,3.7374
2013-05-20,3.7225
2013-06-20,3.9717
2013-07-20,4.0401
2013-08-20,3.9428
2013-09-20,3.7818
2013-10-20,3.6254
2013-11-20,3.7154
2013-12-20,3.8834
2014-01-20,4.0204
2014-02-20,4.3743
2014-03-20,4.3317
2014-04-20,4.4942
2014-05-20,4.1859
2014-06-20,4.0747
2014-07-20,4.0724
2014-08-20,4.0298
2014-09-20,4.0032
2014-10-20,4.3717
2014-11-20,4.5002
2014-12-20,4.6375
2015-01-20,4.8732
2015-02-20,4.7878
2015-03-20,4.7427
2015-04-20,3.9104
2015-05-20,3.8016
2015-06-20,3.9327
2015-07-20,3.903
2015-08-20,4.3246
2015-09-20,4.1215
2015-10-20,4.0228
2015-11-20,3.7351
2015-12-20,4.5923
2016-01-20,5.0629
2016-02-20,4.4896
2016-03-20,3.6714
2016-04-20,3.2129
2016-05-20,3.422
2016-06-20,3.2905
2016-07-20,3.0091
2016-08-20,2.8801
2016-09-20,2.854
2016-10-20,2.8352
2016-11-20,3.0995
2016-12-20,2.5345
2017-01-20,2.703
2017-02-20,2.2756
2017-03-20,2.7082
2017-04-20,2.7179
2017-05-20,3.1168
2017-06-20,3.1401
2017-07-20,2.9988
2017-08-20,2.8877
2017-09-20,2.6184
2017-10-20,2.4233
2017-11-20,2.4849
2017-12-20,2.6202
2018-01-20,2.4673
2018-02-20,2.85
2018-03-20,2.9821
2018-04-20,2.986
2018-05-20,2.8993
2018-06-20,3.3152
2018-07-20,3.0518
2018-08-20,3.792
2018-09-20,3.628
2018-10-20,3.4093
2018-11-20,3.293
2018-12-20,3.5603
2019-01-20,3.1701
2019-02-20,2.6562
2019-03-20,2.7742
2019-04-20,2.9363
2019-05-20,3.1687
2019-06-20,2.8505
2019-07-20,2.7752
2019-08-20,2.9315
2019-09-20,2.6928
2019-10-20,3.0354
2019-11-20,3.0241
2019-12-20,2.8842
2020-01-20,2.8714
2020-02-20,3.0218
2020-03-20,5.0975
2020-04-20,4.3511
2020-05-20,4.0951
2020-06-20,3.4142
2020-07-20,3.0214
2020-08-20,3.024
2020-09-20,2.947
2020-10-20,3.0919
2020-11-20,2.8545
2020-12-20,2.3854
2021-01-20,2.1407
2021-02-20,2.0729
2021-03-20,3.0675
2021-04-20,3.4765
2021-05-20,3.466
2021-06-20,3.358
2021-07-20,3.7507
2021-08-20,4.76
2021-09-20,5.1221
2021-10-20,6.507
2021-11-20,7.0618
2021-12-20,8.8872
2022-01-20,8.5556
2022-02-20,8.2513
2022-03-20,7.9241
2022-04-20,10.0109
2022-05-20,10.5522
2022-06-20,10.8085
2022-07-20,10.238
2022-08-20,11.5982
2022-09-20,11.4448
2022-10-20,9.098
2022-11-20,9.8122
2022-12-20,10.0299
2023-01-20,9.6859
2023-02-20,9.7628
2023-03-20,10.2018
2023-04-20,9.9368
2023-05-20,7.0139
2023-06-20,6.0426
2023-07-20,6.1134
2023-08-20,5.697
2023-09-20,5.4947
2023-10-20,5.7508
2023-11-20,5.2546
2023-12-20,5.1939
2024-01-20,5.2135
2024-02-20,5.0098
2024-03-20,5.9723
2024-04-20,6.2258
2024-05-20,7.1723
2024-06-20,7.5159
2024-07-20,7.1222
2024-08-20,6.7014
2024-09-20,5.9788
2024-10-20,5.9996
2024-11-20,6.1474
2024-12-20,7.4851
2025-01-20,6.6786
2025-02-20,6.9883
2025-03-20,6.6787
2025-04-20,6.6151
2025-05-20,5.5832
2025-06-20,5.4604
2025-07-20,5.5536
2025-08-20,5.8726
2025-09-20,5.1344
2025-10-20,5.3291
2025-11-20,5.202
2025-12-20,6.4208
2026-01-20,6.3811
2026-02-20,5.2658
2026-03-20,5.4927
2026-04-20,5.0076
