date,ev_ebitda
2004-01-20,18.2939
2004-02-20,15.4462
2004-03-20,6.1496
2004-04-20,7.1468
2004-05-20,7.1468
2004-06-20,7.214
2004-07-20,6.9619
2004-08-20,6.9619
2004-09-20,6.9619
2004-10-20,6.9619
2004-11-20,6.9619
2004-12-20,6.9619
2005-01-20,6.9619
2005-02-20,16.9025
2005-03-20,5.7975
2005-04-20,5.8242
2005-05-20,5.8242
2005-06-20,6.2849
2005-07-20,6.2849
2005-08-20,6.2849
2005-09-20,6.2849
2005-10-20,6.2849
2005-11-20,6.2849
2005-12-20,6.2849
2006-01-20,6.2849
2006-02-20,6.2849
2006-03-20,6.2849
2006-04-20,5.6399
2006-05-20,5.7524
2006-06-20,6.3584
2006-07-20,6.3814
2006-08-20,6.3841
2006-09-20,6.4986
2006-10-20,6.4949
2006-11-20,6.4703
2006-12-20,6.0679
2007-01-20,6.0695
2007-02-20,6.0321
2007-03-20,6.04
2007-04-20,7.0608
2007-05-20,7.0343
2007-06-20,7.9172
2007-07-20,7.92
2007-08-20,7.8571
2007-09-20,7.7132
2007-10-20,7.7228
2007-11-20,7.6444
2007-12-20,8.1223
2008-01-20,8.1318
2008-02-20,8.0572
2008-03-20,8.0827
2008-04-20,8.4973
2008-05-20,8.4297
2008-06-20,8.1139
2008-07-20,8.118
2008-08-20,8.0591
2008-09-20,8.1546
2008-10-20,8.1421
2008-11-20,8.0945
2008-12-20,5.0004
2009-01-20,4.9946
2009-02-20,5.0273
2009-03-20,5.4694
2009-04-20,4.0787
2009-05-20,4.0061
2009-06-20,4.4841
2009-07-20,4.4944
2009-08-20,4.5002
2009-09-20,5.206
2009-10-20,5.2164
2009-11-20,5.3644
2009-12-20,6.7103
2010-01-20,6.7085
2010-02-20,6.733
2010-03-20,6.6335
2010-04-20,9.3165
2010-05-20,9.3652
2010-06-20,8.4607
2010-07-20,8.4593
2010-08-20,8.7123
2010-09-20,7.0167
2010-10-20,7.0939
2010-11-20,7.1298
2010-12-20,8.3743
2011-01-20,8.3736
2011-02-20,8.4155
2011-03-20,8.4663
2011-04-20,8.2618
2011-05-20,8.4695
2011-06-20,7.8706
2011-07-20,7.8568
2011-08-20,7.9459
2011-09-20,7.1298
2011-10-20,7.1295
2011-11-20,7.1508
2011-12-20,6.3892
2012-01-20,6.3882
2012-02-20,6.3862
2012-03-20,6.7472
2012-04-20,7.3147
2012-05-20,7.4038
2012-06-20,8.2653
2012-07-20,8.2019
2012-08-20,8.2274
2012-09-20,8.5324
2012-10-20,8.5349
2012-11-20,8.5316
2012-12-20,9.1956
2013-01-20,9.1949
2013-02-20,9.5702
2013-03-20,8.8673
2013-04-20,10.3223
2013-05-20,11.0075
2013-06-20,11.1131
2013-07-20,11.0905
2013-08-20,11.0852
2013-09-20,10.4087
2013-10-20,10.4135
2013-11-20,10.407
2013-12-20,10.2592
2014-01-20,10.2592
2014-02-20,10.2534
2014-03-20,8.4525
2014-04-20,8.634
2014-05-20,8.6313
2014-06-20,8.7845
2014-07-20,8.7844
2014-08-20,8.7737
2014-09-20,9.2944
2014-10-20,9.2964
2014-11-20,9.306
2014-12-20,9.0403
2015-01-20,9.0436
2015-02-20,9.1081
2015-03-20,9.5052
2015-04-20,8.2565
2015-05-20,11.3813
2015-06-20,12.6648
2015-07-20,12.6606
2015-08-20,12.648
2015-09-20,13.1585
2015-10-20,13.037
2015-11-20,12.9947
2015-12-20,11.6017
2016-01-20,11.6265
2016-02-20,11.6268
2016-03-20,10.391
2016-04-20,15.7639
2016-05-20,15.7448
2016-06-20,16.6168
2016-07-20,16.6168
2016-08-20,16.5912
2016-09-20,15.5913
2016-10-20,15.5913
2016-11-20,15.587
2016-12-20,17.9699
2017-01-20,17.9699
2017-02-20,17.9687
2017-03-20,18.1253
2017-04-20,9.473
2017-05-20,9.4774
2017-06-20,9.6024
2017-07-20,9.6017
2017-08-20,9.6011
2017-09-20,9.3578
2017-10-20,9.3578
2017-11-20,9.3905
2017-12-20,9.6058
2018-01-20,9.6219
2018-02-20,9.6216
2018-03-20,9.6216
2018-04-20,9.6864
2018-05-20,9.6869
2018-06-20,10.5703
2018-07-20,10.5703
