date,gross_margin
2004-01-20,49.6828
2004-02-20,49.6828
2004-03-20,49.6828
2004-04-20,50.2854
2004-05-20,50.2854
2004-06-20,41.3941
2004-07-20,41.3941
2004-08-20,41.3941
2004-09-20,42.5639
2004-10-20,42.5938
2004-11-20,42.5938
2004-12-20,44.1599
2005-01-20,44.1599
2005-02-20,44.1599
2005-03-20,43.8666
2005-04-20,39.9712
2005-05-20,39.9712
2005-06-20,41.7203
2005-07-20,41.7203
2005-08-20,41.7203
2005-09-20,44.1585
2005-10-20,44.1585
2005-11-20,44.1585
2005-12-20,44.0193
2006-01-20,44.0193
2006-02-20,44.0193
2006-03-20,44.0193
2006-04-20,43.6263
2006-05-20,43.0964
2006-06-20,42.4388
2006-07-20,42.2878
2006-08-20,42.2883
2006-09-20,40.3982
2006-10-20,40.3941
2006-11-20,40.2452
2006-12-20,39.8237
2007-01-20,39.8237
2007-02-20,39.6625
2007-03-20,39.5337
2007-04-20,41.3008
2007-05-20,40.8596
2007-06-20,37.9796
2007-07-20,37.9476
2007-08-20,38.029
2007-09-20,39.5193
2007-10-20,39.4863
2007-11-20,39.241
2007-12-20,39.0205
2008-01-20,38.7822
2008-02-20,37.9989
2008-03-20,37.9984
2008-04-20,40.1243
2008-05-20,39.9272
2008-06-20,34.3513
2008-07-20,34.2148
2008-08-20,34.67
2008-09-20,33.9956
2008-10-20,33.9693
2008-11-20,34.2531
2008-12-20,34.8332
2009-01-20,34.8513
2009-02-20,35.7481
2009-03-20,35.7792
2009-04-20,35.1364
2009-05-20,36.1501
2009-06-20,38.6758
2009-07-20,38.5807
2009-08-20,38.6814
2009-09-20,31.1757
2009-10-20,31.1654
2009-11-20,31.4804
2009-12-20,34.6539
2010-01-20,34.6532
2010-02-20,34.7999
2010-03-20,35.0717
2010-04-20,35.5028
2010-05-20,35.6517
2010-06-20,44.4631
2010-07-20,45.0502
2010-08-20,45.1897
2010-09-20,40.7316
2010-10-20,40.8483
2010-11-20,40.9328
2010-12-20,36.4871
2011-01-20,36.4871
2011-02-20,36.5698
