date,oper_margin
2004-01-20,29.535
2004-02-20,29.535
2004-03-20,29.535
2004-04-20,28.6195
2004-05-20,28.6195
2004-06-20,25.1918
2004-07-20,25.1918
2004-08-20,25.1918
2004-09-20,24.38
2004-10-20,24.3421
2004-11-20,24.3421
2004-12-20,25.3394
2005-01-20,25.3394
2005-02-20,25.3394
2005-03-20,24.9312
2005-04-20,25.5594
2005-05-20,25.5594
2005-06-20,26.1754
2005-07-20,26.1754
2005-08-20,26.1754
2005-09-20,27.6224
2005-10-20,27.6224
2005-11-20,27.6224
2005-12-20,27.5463
2006-01-20,27.5463
2006-02-20,27.5463
2006-03-20,27.5463
2006-04-20,26.6175
2006-05-20,26.2329
2006-06-20,25.8052
2006-07-20,25.7867
2006-08-20,25.7868
2006-09-20,24.0062
2006-10-20,24.0019
2006-11-20,24.0985
2006-12-20,22.2373
2007-01-20,22.2395
2007-02-20,22.3577
2007-03-20,22.2851
2007-04-20,22.4854
2007-05-20,22.6457
2007-06-20,20.4793
2007-07-20,20.4403
2007-08-20,20.3904
2007-09-20,21.1304
2007-10-20,21.0925
2007-11-20,20.9583
2007-12-20,21.4751
2008-01-20,21.2583
2008-02-20,21.0225
2008-03-20,21.0197
2008-04-20,20.822
2008-05-20,20.6321
2008-06-20,15.3532
2008-07-20,15.3097
2008-08-20,15.5823
2008-09-20,14.8273
2008-10-20,14.8641
2008-11-20,14.9773
2008-12-20,15.8623
2009-01-20,15.9395
2009-02-20,16.1664
2009-03-20,14.7888
2009-04-20,17.3833
2009-05-20,18.2108
2009-06-20,16.731
2009-07-20,16.6056
2009-08-20,16.608
2009-09-20,16.9794
2009-10-20,16.9069
2009-11-20,16.8111
2009-12-20,16.1285
2010-01-20,16.1712
2010-02-20,16.2569
2010-03-20,16.1698
2010-04-20,13.4312
2010-05-20,13.411
2010-06-20,15.942
2010-07-20,16.4214
2010-08-20,16.415
2010-09-20,15.218
2010-10-20,15.606
2010-11-20,15.645
2010-12-20,15.6571
2011-01-20,15.6561
2011-02-20,15.6736
2011-03-20,15.5908
2011-04-20,19.3931
2011-05-20,18.0013
2011-06-20,18.8842
2011-07-20,18.9765
2011-08-20,18.9583
2011-09-20,18.9288
2011-10-20,18.9078
2011-11-20,18.9195
2011-12-20,18.3729
2012-01-20,18.3799
2012-02-20,18.3886
2012-03-20,17.1536
2012-04-20,16.7111
2012-05-20,16.5421
