date,pb
2004-01-20,4.248
2004-02-20,4.0581
2004-03-20,4.2074
2004-04-20,4.0342
2004-05-20,3.4195
2004-06-20,2.9
2004-07-20,3.0398
2004-08-20,3.2901
2004-09-20,3.3619
2004-10-20,3.6758
2004-11-20,3.7004
2004-12-20,3.2302
2005-01-20,3.5269
2005-02-20,3.4326
2005-03-20,4.0297
2005-04-20,3.0853
2005-05-20,2.924
2005-06-20,2.9352
2005-07-20,3.0467
2005-08-20,3.1476
2005-09-20,2.7849
2005-10-20,3.309
2005-11-20,3.0996
2005-12-20,2.9922
2006-01-20,2.9549
2006-02-20,3.6716
2006-03-20,3.7388
2006-04-20,3.7548
2006-05-20,4.0931
2006-06-20,3.1059
2006-07-20,3.2959
2006-08-20,3.3255
2006-09-20,3.1978
2006-10-20,3.1351
2006-11-20,3.3968
2006-12-20,3.1186
2007-01-20,3.3685
2007-02-20,3.3912
2007-03-20,3.2946
2007-04-20,3.48
2007-05-20,3.6707
2007-06-20,3.7321
2007-07-20,3.8888
2007-08-20,4.0442
2007-09-20,3.1031
2007-10-20,3.7229
2007-11-20,4.2593
2007-12-20,3.1448
2008-01-20,3.23
2008-02-20,2.876
2008-03-20,3.2181
2008-04-20,2.9331
2008-05-20,3.289
2008-06-20,3.5587
2008-07-20,3.279
2008-08-20,2.8881
2008-09-20,2.2805
2008-10-20,1.752
2008-11-20,1.1828
2008-12-20,1.126
2009-01-20,1.1327
2009-02-20,1.1922
2009-03-20,1.1573
2009-04-20,1.5417
2009-05-20,1.8611
2009-06-20,2.2675
2009-07-20,2.1704
2009-08-20,2.3636
2009-09-20,1.9565
2009-10-20,2.2527
2009-11-20,2.339
2009-12-20,2.2535
2010-01-20,2.2812
2010-02-20,2.0414
2010-03-20,2.1316
2010-04-20,2.1795
2010-05-20,2.1685
2010-06-20,1.899
2010-07-20,1.8145
2010-08-20,2.0855
2010-09-20,1.9246
2010-10-20,2.1253
2010-11-20,2.1682
2010-12-20,1.7673
2011-01-20,1.8849
2011-02-20,1.8157
2011-03-20,1.885
2011-04-20,1.7968
2011-05-20,1.7976
2011-06-20,1.7208
2011-07-20,1.704
2011-08-20,1.6384
2011-09-20,1.3991
2011-10-20,1.1408
2011-11-20,1.3577
2011-12-20,1.4662
2012-01-20,1.4318
2012-02-20,1.6477
2012-03-20,1.7359
2012-04-20,1.5867
2012-05-20,1.4841
2012-06-20,1.2014
2012-07-20,1.2132
2012-08-20,1.2302
2012-09-20,1.3419
2012-10-20,1.3783
2012-11-20,1.357
2012-12-20,1.2993
2013-01-20,1.3909
2013-02-20,1.4827
2013-03-20,1.4253
2013-04-20,1.4206
2013-05-20,1.4834
2013-06-20,1.3904
2013-07-20,1.2144
2013-08-20,1.1943
2013-09-20,1.2821
2013-10-20,1.4377
2013-11-20,1.518
2013-12-20,1.3957
2014-01-20,1.3282
2014-02-20,1.1841
2014-03-20,1.316
2014-04-20,1.4642
2014-05-20,1.5019
2014-06-20,1.3814
2014-07-20,1.4518
2014-08-20,1.4738
2014-09-20,1.5834
2014-10-20,1.2763
2014-11-20,1.2772
2014-12-20,1.3344
2015-01-20,1.1827
2015-02-20,1.095
2015-03-20,1.1233
2015-04-20,1.084
2015-05-20,1.3046
2015-06-20,1.363
2015-07-20,1.4119
2015-08-20,1.237
2015-09-20,1.0496
2015-10-20,0.9226
2015-11-20,0.9712
2015-12-20,1.1832
2016-01-20,1.1146
2016-02-20,1.0314
2016-03-20,1.1244
2016-04-20,1.548
2016-05-20,1.7044
2016-06-20,1.2861
2016-07-20,1.5349
2016-08-20,1.6838
2016-09-20,1.5014
2016-10-20,1.5055
2016-11-20,1.7114
2016-12-20,1.5266
2017-01-20,1.5304
2017-02-20,1.6927
2017-03-20,1.7606
2017-04-20,1.7219
2017-05-20,1.7163
2017-06-20,1.4925
2017-07-20,1.4653
2017-08-20,1.6244
2017-09-20,1.7886
2017-10-20,1.8629
2017-11-20,1.8044
2017-12-20,1.645
2018-01-20,1.7092
2018-02-20,1.9954
2018-03-20,1.9405
2018-04-20,1.9631
2018-05-20,1.8814
2018-06-20,1.5715
2018-07-20,1.4387
2018-08-20,1.6069
2018-09-20,1.6087
2018-10-20,1.7183
2018-11-20,2.0235
2018-12-20,2.018
2019-01-20,1.9676
2019-02-20,2.3155
2019-03-20,2.1112
2019-04-20,2.0116
2019-05-20,1.9952
2019-06-20,2.0634
2019-07-20,2.1892
2019-08-20,2.2427
2019-09-20,1.9062
2019-10-20,1.9523
2019-11-20,2.068
2019-12-20,2.1001
2020-01-20,2.3446
2020-02-20,2.1667
2020-03-20,1.8304
2020-04-20,1.1384
2020-05-20,1.2011
2020-06-20,1.7382
2020-07-20,1.8781
2020-08-20,2.141
2020-09-20,1.9843
2020-10-20,1.8317
2020-11-20,1.7846
2020-12-20,2.2488
2021-01-20,2.5466
2021-02-20,2.3443
2021-03-20,2.1935
2021-04-20,2.0281
2021-05-20,2.1461
2021-06-20,2.4982
2021-07-20,2.6189
2021-08-20,2.4543
2021-09-20,2.0143
2021-10-20,1.7207
2021-11-20,1.5647
2021-12-20,1.668
2022-01-20,1.706
2022-02-20,1.9257
2022-03-20,2.0268
2022-04-20,2.3204
2022-05-20,1.9738
2022-06-20,1.6696
2022-07-20,1.3473
2022-08-20,1.4212
2022-09-20,1.5719
2022-10-20,1.5175
2022-11-20,1.6479
2022-12-20,1.6261
2023-01-20,1.5676
2023-02-20,1.6718
2023-03-20,1.5152
2023-04-20,1.4492
2023-05-20,1.4823
2023-06-20,1.3958
2023-07-20,1.5993
2023-08-20,1.6763
2023-09-20,1.4371
2023-10-20,1.4441
2023-11-20,1.3894
2023-12-20,1.5975
2024-01-20,1.701
2024-02-20,1.5998
2024-03-20,1.5968
2024-04-20,1.4654
2024-05-20,1.4167
2024-06-20,1.3479
2024-07-20,1.2869
2024-08-20,1.3023
2024-09-20,1.5303
2024-10-20,1.5148
2024-11-20,1.4306
2024-12-20,1.4136
2025-01-20,1.2743
2025-02-20,1.4307
2025-03-20,1.5332
2025-04-20,1.6441
2025-05-20,1.7145
2025-06-20,1.6084
2025-07-20,1.7239
2025-08-20,1.6037
2025-09-20,1.619
2025-10-20,1.7034
2025-11-20,1.7146
2025-12-20,1.7789
2026-01-20,1.7169
2026-02-20,2.0025
2026-03-20,2.0796
2026-04-20,2.3682
