date,pe
2004-01-20,12.6919
2004-02-20,12.1245
2004-03-20,12.5705
2004-04-20,13.054
2004-05-20,11.0647
2004-06-20,10.9907
2004-07-20,11.5206
2004-08-20,12.4691
2004-09-20,13.3679
2004-10-20,14.7302
2004-11-20,14.829
2004-12-20,12.6172
2005-01-20,13.7759
2005-02-20,13.4075
2005-03-20,15.6911
2005-04-20,11.2011
2005-05-20,10.6155
2005-06-20,10.5509
2005-07-20,10.9517
2005-08-20,11.3144
2005-09-20,9.8253
2005-10-20,11.6746
2005-11-20,10.9359
2005-12-20,11.1283
2006-01-20,10.9893
2006-02-20,13.655
2006-03-20,13.9049
2006-04-20,12.1878
2006-05-20,13.4208
2006-06-20,10.422
2006-07-20,11.0623
2006-08-20,11.2051
2006-09-20,11.2137
2006-10-20,11.0221
2006-11-20,11.8348
2006-12-20,12.2483
2007-01-20,13.0431
2007-02-20,12.9912
2007-03-20,12.5802
2007-04-20,14.0237
2007-05-20,14.7071
2007-06-20,15.1295
2007-07-20,15.8184
2007-08-20,16.3967
2007-09-20,13.5583
2007-10-20,16.264
2007-11-20,18.4362
2007-12-20,14.4627
2008-01-20,15.1191
2008-02-20,13.8754
2008-03-20,15.5236
2008-04-20,13.7605
2008-05-20,15.8622
2008-06-20,18.3715
2008-07-20,15.9165
2008-08-20,14.2875
2008-09-20,11.0994
2008-10-20,8.401
2008-11-20,5.6133
2008-12-20,5.906
2009-01-20,5.6848
2009-02-20,6.0888
2009-03-20,6.3255
2009-04-20,8.9287
2009-05-20,10.6511
2009-06-20,14.8939
2009-07-20,14.1911
2009-08-20,15.3141
2009-09-20,13.0411
2009-10-20,15.0121
2009-11-20,15.5085
2009-12-20,16.4248
2010-01-20,16.6669
2010-02-20,14.7228
2010-03-20,14.6602
2010-04-20,14.568
2010-05-20,14.3885
2010-06-20,11.9376
2010-07-20,11.336
2010-08-20,13.0063
2010-09-20,12.2241
2010-10-20,13.5755
2010-11-20,13.8059
2010-12-20,12.7262
2011-01-20,13.5689
2011-02-20,13.0393
2011-03-20,13.4228
2011-04-20,12.5403
2011-05-20,12.5957
2011-06-20,12.5957
2011-07-20,12.5957
2011-08-20,12.5957
2011-09-20,12.5957
2011-10-20,12.5957
2011-11-20,12.5957
2011-12-20,10.2201
2012-01-20,9.9793
2012-02-20,11.4694
2012-03-20,12.0969
2012-04-20,12.005
2012-05-20,11.1631
2012-06-20,10.9825
2012-07-20,12.227
2012-08-20,12.1558
2012-09-20,16.9342
2012-10-20,16.0132
2012-11-20,16.6535
2012-12-20,13.2822
2013-01-20,14.2194
2013-02-20,14.8963
2013-03-20,15.1192
2013-04-20,15.4635
2013-05-20,16.012
2013-06-20,15.1723
2013-07-20,13.2411
2013-08-20,13.028
2013-09-20,13.3057
2013-10-20,14.9223
2013-11-20,15.7585
2013-12-20,13.8594
2014-01-20,13.189
2014-02-20,11.7648
2014-03-20,14.2985
2014-04-20,16.5894
2014-05-20,17.0153
2014-06-20,15.2703
2014-07-20,16.0478
2014-08-20,16.3091
2014-09-20,16.9471
2014-10-20,13.6605
2014-11-20,13.6698
2014-12-20,16.1971
2015-01-20,14.3562
2015-02-20,13.3831
2015-03-20,13.682
2015-04-20,11.2542
2015-05-20,11.0128
2015-06-20,18.3675
